en	hi
woman in back of a court##person,tennis racket,person,bicycle	एक कोर्ट के पीछे महिला
the date of the picture##person,dining table,tie,bottle,book,sports ball	तस्वीर की तारीख
gray color on court##person,person,person,person,tennis racket,tennis racket,tennis racket,tennis racket,car,car	कोर्ट पर ग्रे रंग
small models boats on TV##tv,cup,potted plant,vase,person,skateboard,book,bowl,vase,book	टीवी पर छोटी मॉडल नावें
glass block privacy wall##chair,cup,tv,book,mouse,dining table,book,dining table,dining table,dining table	ग्लास ब्लॉक गोपनीयता दीवार
red painted lines on wooden court floor##person,person,tennis racket,tennis racket	लकड़ी के फर्श पर लाल चित्रित रेखाएँ
red cross with a white background##clock,clock	सफेद पृष्ठभूमि के साथ लाल क्रॉस
soccer players in a light blue uniforms##person,person,person,person,person,person,sports ball,person,person,person	हल्के नीले रंग की वर्दी में फुटबॉल खिलाड़ी
car moving incredibly fast##car,car,motorcycle	तेजी से बढ़ रही कार
a small dark brown night stand##bed,chair,book,dining table,laptop,book	एक छोटे से गहरे भूरे रंग के नाइट स्टैंड
a sign in a language that isn't English##	एक संकेत जो अंग्रेजी में नहीं है
silver and black French press coffee pot##cup,cup,cup,cup,bowl,dining table,chair,cup,cup,cup	चांदी और का्ले रन्ग का फ्रेंच प्रेस कॉफी पॉट
green bench on court##person,person,chair,tennis racket,person,sports ball,person,chair,cup,bench	कोर्ट में हरी बेंच
pendent on a fine chain##person,person,cake,person,cake,dining table,cake,chair,person	लटकन एक बढिया चैन पर
Paper forms on the table.##banana,sandwich,dining table	मेज पर कागज।
A ball girl at the back of a tennis court##person,person,person,person,chair,tennis racket,tennis racket,chair,person,person	एक टेनिस कोर्ट के पीछे एक बॉल गर्ल
Thick white wooden cross.##person,car,cell phone,bus,truck,car	मोटी सफेद लकड़ी का क्रॉस।
the second cushioned seat##chair,chair,chair,book,bench,book,book,book,book,book	दूसरी गद्दी वाली सीट
A black barrier stand.##person,person,tv,person,person,person,person,cell phone,person	एक काला अवरोधक स्टैडं।
green surface surrounding tennis court##person,tennis racket,person	टेनिस कोर्ट के आसपास की हरी सतह
Silhouette of tennis player on court.##person,person,person,chair,tennis racket,tennis racket,person,sports ball,tennis racket	कोर्ट पर टेनिस खिलाड़ी की पर्छाई।
black electric clock on night stand##vase,bed,bed,couch,couch,cell phone,cell phone,bowl	नाइट स्टैंड पर काली बिजली की घड़ी
a skate boarder going fast##person,skateboard,person,person,person,person,train,person,person	तेजी से जा रहा एक स्केट बोर्डर
5 cars of varying models parked on the street##stop sign,car,car,car,car,car,car,car,truck	सड़क पर खड़ी पांच विभिन्न मॉडलों की कारें
Signs on signpost naming streets and block numbers##	साइनपोस्ट पर सड़कों के नाम और ब्लॉक नंबर
big hairy fair laps##person,refrigerator,bottle,bottle,banana	बड़े बालों वाले गोरे गोद
white edge of white tennis court##person,person,tennis racket,sports ball,sports ball,tennis racket	सफेद टेनिस कोर्ट का सफेद किनारा
name and date in the corner##person,umbrella,person,person,boat,umbrella,person,person	नाम और तारीख कोने में
yellowish green grass over fine tan sand##horse,horse,horse	बारीक ताम्र रेत पर पीली हरी घास
small child cross country skiing##person,skis	क्रॉस कंट्री स्कीइंग करता हुआ छोटा बच्चा
a net divides the court##person,person,person,person,tennis racket,tennis racket,bottle,sports ball,person,sports ball	कोर्ट को विभाजित करता हुआ एक जाल
walking so fast person is captured as a blur##person,person,person,person,car,car,umbrella,person,umbrella,traffic light	बहुत तेजी से चल रहा ईन्सान एक धुंधले रूप में व्य्क्त हुआ है
the knife block is filled##oven,refrigerator,microwave,cup,spoon,spoon	एक चाकू का ब्लॉक भरा हुआ है
Long forks and springs##person,person,truck,person,car,motorcycle,truck,truck,chair	लंबे कांटे और स्प्रिंग्स
baseball players dressed in red and gray##person,person,person,person,baseball bat,person,person,person,chair,person	बेसबॉल खिलाड़ी लाल और धूसर रंग के कपड़ों में
second paper notice in a row##tv,suitcase	एक पंक्ति में दूसरा पेपर नोटिस
second story seating area##bus,dining table,dining table,chair,chair,chair,chair,chair,person,dining table	दूसरी मन्ज़ील पर बैठने की जगह
a cross country skier bending low##person,person,person,person,person,person,person,skis,skis,skis	नीचे झुकता हुआ एक क्रॉस कंट्री स्कीयर
Shadow running across a tennis court##person,tennis racket	एक टेनिस कोर्ट के पार जाती हुई परछाई
Coolers in front of the players.##person,person,person,baseball bat,person,person,baseball glove,person,sports ball,person	खिलाड़ियों के सामने कूलरें।
Cartoon characters on top of the building.##car,donut,person,person,person,cake,car,person,person,person	इमारत के शीर्ष पर कार्टून पात्र।
black lamp with floor stand##laptop,tv,keyboard,mouse,chair,keyboard,spoon,person	स्टैंड के साथ काला दीपक
Security officer making sure everyone is safe at the fair##person,person,bottle,person,person,person,person,person,person,person	सुरक्षा अधिकारी सुनिश्चित करते हुए कि सभी लोग मेले में सुरक्षित हैं
the springs are silver##motorcycle,person,handbag,person,person,person,person,handbag,truck,person	स्प्रिंग्स चांदी के रंग के हैं
sticker is blue+white and i think written in English+kanji##teddy bear,skis,kite	स्टिकर नीला + सफेद है और मुझे लगता है कि अंग्रेजी+कन्जि में लिखा गया है
a white sign not in English##person,boat,boat,boat,boat,potted plant,person,boat,boat,boat	एक सफेद चिह्न अंग्रेजी में नहीं
man working at stand##person,person,person,person,person,person,person,bus,umbrella,motorcycle	स्टैंड पर काम कर रहा आदमी
man standing in a tennis court##person,bench,car,car,tennis racket,bench,sports ball,person,traffic light	एक टेनिस कोर्ट में खड़ा आदमी
black band on players wrist##person,tennis racket,sports ball,person	खिलाड़ी की कलाई पर काली पट्टी
Name and date on the bottom right corner.##motorcycle,car,motorcycle,car,person,motorcycle,motorcycle,car,motorcycle,person	नीचे दाएं कोने पर नाम और दिनांक।
red second hand##clock	लाल सैक्डं कांटा
orange line on court##person,sports ball,person,bench,person,bench	कोर्ट पर नारंगी लकीर
date on the screen##cell phone,mouse,person,person	स्क्रीन पर तारीख
Baseball cap to block sun##person,sports ball,baseball bat,bench	सूरज को ब्लॉक करने के लिए बेसबॉल टोपी
a missing cider block opening to the outside##toilet,boat	बाहर की ओर खुलता हुआ एक लापता साइडर ब्लॉक
a cross on the top of the church##clock,traffic light,traffic light,car,traffic light,potted plant,car,traffic light,traffic light,traffic light	चर्च के शीर्ष पर एक क्रॉस
green grass by tennis court##person,person,tennis racket,tennis racket,bench,person,person	टेनिस कोर्ट के पास हरी घास
Some traffic is moving very fast##person,motorcycle,car	कुछ वाहन बहुत तेजी से आगे बढ़ रहे हैं
Large blue flag above the entire fair##horse,horse,horse,horse,horse,person,horse,person,horse,person	पूरे मेले के ऊपर बड़ा नीला झंडा
A crack on the court##person,person,person,person,person,tennis racket,tennis racket,person,tennis racket,tennis racket	कोर्ट में दरार
The tennis players arm extended.##person,tennis racket,sports ball,potted plant,chair,chair,person	टेनिस खिलाड़ी का हाथ बढ़ा हुआ।
concrete block near street.##truck,car,car,person	सड़क के पास कंक्रीट ब्लॉक।
Number of court on the wall.##person,tennis racket,tennis racket	दीवार पर कोर्ट की संख्या।
wooden sign with white letters on second bus##person,bus,person,person,person,person,person,person,person,person	दूसरी बस में सफेद अक्षरों के साथ लकड़ी का चिन्ह
exte stamp on yellow metal##train,train,person,bus,person,boat	पीली धातु पर exte स्टैम्प
tree root jutting out in jagged forms##bear	दांतेदार रूपों में उभ्रे हुए पेड़ की जड़
microphones are lined up on stand##person,person,person,person,person,person,tie,tie,person,person	माइक्रोफोन स्टैंड पर पंक्तिबद्ध हैं
the white cross on the flag##person,tennis racket,person,person,tennis racket	ध्वज पर सफेद क्रॉस
the yellow block in the parking stall##person,person,person,cup,bottle,cell phone,bottle,dining table,cup,baseball bat	पार्किंग स्टाल में पीला ब्लॉक
a sign that forms an X##traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light	एक चिन्ह जो X बनाता है
Land forms in the distance##person,person,skis	दूरी में भूभाग
playing on green and blue court##person,tennis racket,sports ball	हरे और नीले कोर्ट पर खेल
the sport is cross country##person,person,skis,skis	यह खेल क्रॉस कंट्री है
this wall forms a stall##sink,toilet	यह दीवार एक स्टाल बनाती है
A metal and stone column holding a bell and cross.##clock	एक धातु और पत्थर के स्तंभ एक घंटी और क्रॉस के आधार बनें हुए।
a tea set on a wooden stand##person,cup,vase,chair,cup,dining table,cup,bowl,cake,cup	एक लकड़ी के स्टैंड पर एक चाय का सेट
this is a press conference##person,person,tie,person,car,car,tie,person,person,car	यह एक प्रेस कॉन्फ्रेंस है
second airplane leaves smoke trail##airplane,airplane,airplane,airplane	दूसरा हवाई जहाज धुआँ छोड़ता हुआ
white characters on the street##person,person,stop sign,bicycle,potted plant,potted plant,bench,parking meter	सड़क पर सफेद अक्षर
people eating fast food##person,person,person,person,chair,person,person,chair,person,person	फास्ट फूड खाते हुए लोग
date in the corner##person,person,kite,kite,kite	कोने में तारीख
Silver cross necklace##person,tennis racket	चाँदी का क्रॉस हार
block of snow on a hill##person,person,person,person,person,skis,person,skis,skis,kite	एक पहाड़ पर बर्फ का ब्लॉक
a red and white county fair tent##person,skateboard,person,person,person,person,person,person,person,person	एक लाल और सफेद काउंटी मेले का तम्बू
long fine whiskers on a cat##cat,fork	एक बिल्ली पर लंबे सुक्ष्म मूंछ
man in a white hat on the tennis court##person,tennis racket,person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	टेनिस कोर्ट पर एक सफेद टोपी पहने आदमी
a man in a yellow t-shirt sitting cross-legged##person,person,person,person,person,umbrella,person,person,person,person	पीले टी-शर्ट में एक आदमी पैर मोड़्कर बैठा है
long single block in row##banana	पंक्ति में एक लंबा खंड
Two fine drinking glasses##person,wine glass,person,person,wine glass,wine glass,person,wine glass,wine glass,bottle	दो बढिया ठीक पीने के गिलास
green baseball field with players on it##person,person,person,baseball bat,baseball bat,cell phone,cell phone,person	हरी बेसबॉल की मैदान खिलाड़ियों के साथ
Man stand in crane##traffic light,traffic light,truck,truck,car,car,car,car,car,car	आदमी क्रेन में खड़ा है
The characters 9F on the side of a plane##airplane	एक विमान के किनारे पर अक्षर 9F
English city bus on the road##bus	सड़क पर अंग्रेजी सिटी बस
the date is probably somehow, somewhat primitively digitally conveyed##clock,potted plant	तारीख शायद किसी तरह कुछ हद तक डिजिटल रूप से बताई गई है
blue plastic hot dog stand##fork,bottle,cup,cup,knife,dining table,hot dog,fork,cake,pizza	नीले प्लास्टिक का हॉट डॉग स्टैंड
A dirty white dish towel with red cross stripes##oven,laptop,bottle,refrigerator,cup,bottle	लाल क्रॉस धारियों के साथ एक गंदा सफेद डिश तौलिया
Two baseball players talking to each other##person,person,person,person,person,sports ball,baseball bat,baseball bat,chair,chair	बेसबॉल के दो खिलाड़ी आपस में बात करते हुए
long net across the court##person,person,sports ball,person,person,person,tennis racket	कोर्ट के आरपार लंबा जाल
a person cross country skiing in the background##person,person,person,skis,person,person,person,skis,person,car	पृष्ठभूमि में क्रॉस कटंरी स्कीइंग करता हुआ एक व्यक्ति
baseball players on field##person,person,person,person,sports ball,baseball glove,person,person,baseball glove,baseball glove	मैदान पर बेसबॉल खिलाड़ी
Yellow and black pole with a yellow cross.##train,person,train,traffic light,traffic light,traffic light,traffic light,train,train,train	एक पीले क्रॉस के साथ पीले और काले पोल।
A white box with a red cross.##toilet,sink,hair drier,cup	लाल क्रॉस के साथ एक सफेद बॉक्स।
Bread dough cross hatched design##oven,person,person,knife	ब्रेड आटा क्रॉस हैच डिज़ाइन
White boundary lines on the tennis court.##person,tennis racket	टेनिस कोर्ट पर सफेद सीमा रेखाएं।
waves forms behind the boat##boat,person,person,person,person,person	नाव के पीछे लहरें
second floor balcony##car	दूसरी मंजिल की बालकनी
fast food hot dogs and onion rings##person,hot dog,hot dog,cup,donut,dining table,donut,bowl	फास्ट फूड हॉट डॉग और प्याज के छल्ले
Time date stamp is bottom right##airplane,airplane,boat,airplane,boat	समय की तारीख की मोहर दाहिने नीचे है
12/22/2006 date stamp##person,book,book,book,book,book,book,chair,book,book	12/22/2006 तारीख की मुहर
fine grey gravel under players' legs##person,frisbee,person	खिलाड़ियों के पैरों के नीचे बारीक ग्रे बजरी
lamp stand light##bed,book,clock,book	दीपक स्टैडं की रोशनी
a professional tennis court##person,tennis racket,sports ball	एक पेशेवर टेनिस कोर्ट
Tall date palm##clock	ऊंचा खजूर
Dresser with dinosaur models on top##bed,potted plant,couch,clock	शीर्ष पर डायनासोर मॉडल के साथ ड्रेसर
top of tennis court##tennis racket,person,person,tennis racket,chair	टेनिस कोर्ट की जाली का ऊपरी हिस्सा
Woman dressed as a maiden at the fair##person,person,horse,horse,person,person,person,person,person,person	मेले में युवती की तरह कपड़े पहने महिला
characters apart on stage set##tv,person,remote,person,person,person,person,handbag,book,person	स्टेज सेट पर अलग से पात्र
Chinese characters on the back of the truck##car,truck,car,motorcycle,car,bus,person,car,traffic light,traffic light	ट्रक के पीछे चीनी अक्षर
fast blue and white train##person,train,tv,suitcase,handbag,person,person,car	तेज नीली और सफेद ट्रेन
players name on his shirt##person,person,person,baseball glove,person,person,baseball bat,baseball bat,person	खिलाड़ी के शर्ट पर उसक़ा नाम
College baseball players on the field.##person,person,person,person,baseball glove,person,person,person,person,person	मैदान पर कॉलेज के बेसबॉल खिलाड़ी।
blue court on the ground##person,sports ball,tennis racket	जमीन पर नीला कोर्ट
Two toasted English muffins on a plate.##bottle,cup,dining table,person,person,cup,cup,refrigerator,person,cup	एक प्लेट पर दो अंग्रेजी टोस्ट मफिन।
Bag on the cement block##bottle,sink	सीमेंट ब्लॉक पर थैला
flower on ice block##teddy bear,oven,person,train	बर्फ के ब्लॉक पर फूल
yellow tennis balls on court##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	कोर्ट पर पीली टेनिस की गेंद
A person waiting to cross the street##person,traffic light,traffic light,person,traffic light,car,car,potted plant,car,car	एक व्यक्ति सड़क पार करने की प्रतीक्षा में
tan colored brick block wall##traffic light,person,person	ताम्र रंग की ईंट ब्लॉक दीवार
A dark wooden cross with a small sign attached##stop sign,person,skateboard,dining table	एक छोटे संकेत के साथ एक लकड़ी का क्रॉस
A clock with cartoon characters on##person,person,person,person,clock,book,bird,book,book,book	कार्टून पात्रों के साथ एक घड़ी
rocky and rectangular block with openings on dirt##giraffe,giraffe,giraffe	चट्टानी और आयताकार छेद वाले ब्लॉक मिट्टी पर
adult on a tennis court##person,person,person,tennis racket,person,person,tennis racket,person,person,person	एक टेनिस कोर्ट पर वयस्क
Knives in a wooden block on the countertop.##refrigerator,oven,bowl,dining table,knife,orange,fork,knife,knife,knife	काउंटरटॉप पर एक लकड़ी के ब्लॉक में चाकू।
leg of the second person##person,bird,bird	दूसरे व्यक्ति का पैर
awning for food stand##cup,person,person,umbrella,person,person,person,person,person,person	फूड स्टैंड के लिए शामियाना
Knives in a wooden block behind the stove.##oven,knife,bottle,bottle,bottle,knife,bottle,bottle,microwave,knife	चूल्हे के पीछे एक लकड़ी के ब्लॉक में चाकू।
a red newspaper stand##car,car,car,traffic light,car,car,car	एक लाल अखबार स्टैंड
Brown block and white house with pitched black roof.##bus,person,person,person,person,bus,person,person	ब्राउन ब्लॉक और सफेद घर जिसमें काली छत है।
The train is traveling in fair weather##train,person,person,traffic light,train,traffic light,traffic light,person,person	ट्रेन उचित मौसम में यात्रा कर रही है
fast food on white plate##cup,hot dog,oven,dining table	सफेद प्लेट पर फास्ट फूड
air forces flag##airplane,truck,airplane	वायु सेना का झंडा
some watery plant forms##elephant,person,person,person,bench	कुछ गिले पौधे
curves of forms worn over shoes on snowboard##person,person,snowboard,snowboard,skis,skis,snowboard,bicycle,skis	स्नोबोर्ड पर जूतों के ऊपर पहने जाने वाले रूपों के वक्र
woman sitting on a stone block##person,suitcase,person,person,person,suitcase,bench,remote,person	पत्थर के ब्लॉक पर बैठी महिला
black lamb second from right##person,sheep,person,tie,sheep,sheep,dog,sheep,dog,dog	दाईं ओर से दूसरा का्ले भेड़ का बच्चा
blue wall of the court##person,tennis racket	कोर्ट की नीली दीवार
a wood night stand.##bed,bed	एक लकड़ी की नाईट स्टैंड।
the wall is cement block##train,person	दीवार सीमेंट ब्लॉक है
the court is dark blue##person,tennis racket,person,person,person,person,person	कोर्ट गहरा नीला है
The man's black shadow on the court##person,person,tennis racket,tennis racket,person,person,sports ball,person,person,person	कोर्ट पर आदमी की काली छाया
Woman standing on tennis court##person,tennis racket	टेनिस कोर्ट पर खड़ी महिला
a music stand on a curb##stop sign,person,person,car,person,person	एक वक्र पर एक संगीत स्टैंड
a weed growing up from the tennis court##person,sports ball,tennis racket,car	एक खरपतवार टेनिस कोर्ट से ऊग रहा है
The military plane has a cross on the tail.##airplane	सैन्य विमान की पूंछ पर एक क्रॉस है।
small food press on stove##donut,oven,pizza,donut,oven,cake,hot dog	स्टोव पर छोटा भोजन प्रेस
two bicyclists waiting to cross intersection##bicycle,traffic light,traffic light,person,traffic light,traffic light,car,traffic light,person,person	चौराहा पार करने का इंतजार कर रहे दो साइकिल सवार
cross nailed to a wall##person,person,tie,teddy bear,tie	कील से ठुकी हुई दीवार पर एक क़्रॉस
Wooden butcher block on kitchen sink.##oven,oven,sink,oven,oven,oven,bench	रसोई के सिंक पर लकड़ी का कसाई ब्लॉक।
three black Japanese characters##airplane	तीन काले जापानी वर्ण
microphone on angled stand##person,person,person,person,person,person,person,person,tie,person	एंगल्ड स्टैंड पर माइक्रोफोन
Look of concentration on game players face##person,person,remote,remote,remote,remote,couch,couch,chair,chair	खेल खिलाड़ियों के चेहरे पर दिखाई देती हुई एकाग्रता
blue cross on front of car##teddy bear,person,teddy bear,car,teddy bear,teddy bear,bicycle	कार के सामने नीली क्रॉस
the blue painted do not cross line on the train platform##train,train,person,person,person,person,person	ब्लू पेंट निषिद्ध करने हेतु लकीर ट्रेन प्लेटफॉर्म पर
tennis match in progress on outdoor court##person,person,tennis racket	आउटडोर कोर्ट पर टेनिस मैच चल रहा है
Two men on a tennis court playing tennis##person,person,tennis racket,tennis racket,tennis racket,sports ball	टेनिस खेलने वाले टेनिस कोर्ट पर दो आदमी
wood block of knives##bottle,wine glass,knife,knife,vase,microwave,wine glass,knife,person,remote	चाकू की लकड़ी ब्लॉक
A block of brown stones.##person,car,car,car,car,car,car,car,car,car	भूरे पत्थरों का एक ब्लॉक।
players' names in black on yellow background##person,person,sports ball,person,tennis racket,chair,tennis racket	पीले रंग की पृष्ठभूमि पर खिलाड़ियों के नाम
an off white set of box springs##person,bed,teddy bear,bottle,chair	बॉक्स स्प्रिंग्स का एक ऑफ व्हाइट सेट
Blue characters on a white background##laptop,book,book,cell phone,book,dining table	एक सफेद पृष्ठभूमि पर नीले वर्ण
TV on the stand.##person,person,chair,book,book,book,book,bottle,book,book	स्टैंड पर टी.वी.
Yellow ball on the court.##person,person,person,person,person,person,tennis racket,sports ball,tennis racket,tennis racket	कोर्ट पर पीली गेंद।
Electrical wire stand##traffic light,traffic light,traffic light,stop sign,traffic light,traffic light,kite	बिजली के तारों क स्टैंड
cross made of stone##person,person,person,bird,dining table,person,person,person,person,bird	पत्थर से बना क्रॉस
The traffic light has a red cross.##person,traffic light,train,person,person,person,person,person,person,person	ट्रैफिक लाइट में लाल क्रॉस है।
ball on a tennis court##person,sports ball,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	एक टेनिस कोर्ट पर गेंद
cross walk area painted on the street##traffic light,car,fire hydrant,traffic light	सड़क पर चित्रित क्रॉस वॉक एरिया
Brown stand holding bananas.##banana,banana,banana,banana,banana,banana,banana,banana,banana,banana	केले के साथ ब्राउन स्टैंड।
the line that shows foul or fair##person,person,baseball bat,baseball glove,person,person,person,person,person,person	रेखा जो बेईमानी या निष्पक्षता दिखाती है
Knob above knife block##person,oven,cup,tie,microwave,dining table,oven,knife,bowl,oven	चाकू ब्लॉक के ऊपर घुंडी
A time stamp on a video.##person,backpack,cell phone,backpack,bench,handbag,bench,potted plant	एक वीडियो पर समय की मोहर।
a clock on a glass stand##person,person,person,person,clock,person,person,person,person,person	एक ग्लास स्टैंड पर एक घड़ी
One person on the court##person,tennis racket,chair,person,person,person,person,person,person,person	कोर्ट पर एक व्यक्ति
Road block submerged by water##	पानी में डूबा रोड ब्लॉक
tennis court floor is blue##person,tennis racket,person,person	टेनिस कोर्ट की सतह नीली है
baseball players signing autographs##person,person,person,baseball glove,baseball glove,cell phone,person,potted plant,cell phone,person	हस्ताक्षर करने वाले बेसबॉल खिलाड़ी
fine metal safety netting##person,person,person,person,bench,baseball glove,person,person,baseball glove,person	बढिया धातु का सुरक्षा जाल
An audience witnessing a press conference##person,person,tv,person,tv,tv,person,laptop,person,tv	एक प्रेस कॉन्फ्रेंस के साक्षी बने दर्शक
players in team dugout##person,person,person,baseball bat,baseball glove,person,chair,chair,person,person	खिलाड़ी टीम डगआउट में
white frisbee in players hands##frisbee,person,person,person,person,umbrella	खिलाड़ियों के हाथों में सफेद फ्रिसबी
time and date stamp##car,car,car,car,truck,car,car,truck,truck	समय और तारीख की मोहर
A TV stand##tv,couch,chair,vase,bench,book,book,book,book,potted plant	एक टीवी स्टैंड
The time stamp display window on the meter on the left.##parking meter,parking meter,person,person	बाईं ओर मीटर पर टाइम स्टैम्प डिस्प्ले विंडो।
a wooden block of knives##knife,knife,knife,knife,knife,bowl,bowl,spoon,bowl,knife	चाकूओं का एक लकड़ी का ब्लॉक
a second story railing##truck,chair,person	एक दूसरे मन्ज़िल की रेलिंग
This is a picture of Chinese characters##person,person,person	यह चीनी पात्रों की एक तस्वीर है
fast super jet hovers in the sky##airplane	आकाश में घूमता हुआ तेज सुपर जेट
the players are moving##person,person,person,person,person,person,baseball glove,backpack,sports ball,baseball glove	खिलाड़ी आगे बढ़ रहे हैं
two guys in the background are observing the movements of the players##person,person,person,person,person,person,person,person,person,person	पृष्ठ्भूमी के दो लोग खिलाड़ियों की हरकतों को देख रहे हैं
Curled metal legs on a candle stand##person,person,bed,person,bowl	कैंडल स्टैंड पर धातु के घुमावदार पैर
two players watching the batter##person,person,person,baseball glove,person,person,person,baseball bat,person,person	बैटर को देखते दो खिलाड़ी
fine white spray against nose of craft##boat,surfboard	विमान की नाक पर सुक्ष्म सफेद स्प्रे
Brown tennis court floor##person,person,tennis racket,chair,chair,person,person,sports ball,person,person	भुरी टेनिस कोर्ट का फर्श
cross on top of church##person,bench,bench,person,chair,car	चर्च के शीर्ष पर क़्रॉस
copyright and date##bench,bench,bench,bench,bench	कॉपीराइट और दिनांक
A sign for the 550 west block of Bliss Ct.##	ब्लिस सीटी के 550 पश्चिम ब्लॉक के लिए एक संकेत।
Opponent Reaching Out to block##person,person,frisbee,person,person,person,person,person,person,person	विरोधी ब्लॉक करने की कोशिश करते हुए
Laptop on a stand##keyboard,laptop,mouse,cup,cup,person,tv,chair,person,tv	एक स्टैंड पर लैपटॉप
a wooden block sitting on the table##person,person,dining table,vase,bowl,book,bottle	टेबल पर एक लकड़ी का ब्लॉक
Part of the tennis court is green.##person,tennis racket,sports ball	टेनिस कोर्ट का एक हिस्सा हरा है।
two players in orange and white sitting on sidelines##person,person,person,person,person,person,person,person,person,person	किनारे पर बैठे नारंगी और सफेद में दो खिलाड़ी
date stamp of photo##cat,bowl,bowl,refrigerator	फोटो की तारीख मोहर
a pole of a lamp stand##potted plant,clock	एक दीपक स्टैंड की एक पोल
the door of second floor is brown##car,car,car,car,motorcycle,motorcycle,car,car,car,car	दूसरी मंजिल का दरवाजा भूरा है
Front wheel on second white truck.##stop sign,truck,car,potted plant	दूसरा सफेद ट्रक पर सामने का पहिया।
the second gold horse##horse,horse,horse,horse,umbrella,person,person,person	दूसरा सोने का घोड़ा
A small grey block on the median##clock,clock,bench,potted plant,fire hydrant	माध्यिका पर एक छोटा ग्रे ब्लॉक
Woman on a tennis court##person,tennis racket,sports ball	टेनिस कोर्ट पर महिला
red characters on top of blue building##	नीली इमारत के शीर्ष पर लाल वर्ण
the collar decoration of a fair isle type sweater##person,person,person,cake,dining table,chair,dining table,chair,person,cup	एक बढिया आइल प्रकार स्वेटर की कॉलर की सजावट
Woman wearing a cross on her neck##person,person,person,person,wine glass,wine glass,wine glass,person,wine glass,chair	महिला ने गले में क्रॉस पहना हुआ है
a colorful display lighted characters##clock,car,person,person,horse,person,person,person	रोशन पात्रों का एक रंगीन प्रदर्शन
The second train car##train,train	दूसरी ट्रेन की गाड़ी
the players arm is ready to throw##person,baseball glove	खिलाड़ी का हाथ फेंकने के लिए तैयार है
date and time stamp in corner##donut,donut,donut,dining table,donut,cake	कोने में तारीख और समय की मोहर
Two characters on the television##tv,chair,mouse,remote,person,chair,person,dining table,clock,keyboard	टेलीविजन पर दो किरदार
blue net around tennis court##person,tennis racket	टेनिस कोर्ट के आसपास नीला जाल
a block paved sidewalk##person,car,person,person,car,car,bicycle,person,bicycle,person	एक ब्लॉक फुटपाथ
a orange bottle in stand##toilet,bottle,sink,sink,chair,sink	स्टैंड में एक नारंगी बोतल
The items of the second rack##refrigerator,bottle,bottle,bottle,bottle,bottle,bottle,bottle,refrigerator,bottle	दूसरे रैक के आइटम
tan grey fine sand##person,surfboard,surfboard	ताम्र धूसर महिन रेत
fence in back of the court##person,tennis racket,apple	अदालत के पीछे बाड़
five glass vases on the stand##chair,potted plant,cup,cup,vase,dining table,chair,cup,book,bowl	स्टैंड पर पांच ग्लास के फूलदान
white Asian language characters painted on middle of street##person,person,bicycle,person,bicycle,bicycle,bicycle,person,bicycle,bicycle	सड़क के बीच में चित्रित किया गया सफेद एशियाई भाषा के अक्षर
second leaf from left##vase,potted plant,dining table	बाएं से दूसरा पत्ता
white fast logo in corner##person,snowboard	कोने में सफेद फास्ट की लोगो
a large concrete block##train,person	एक बड़ा कंक्रीट ब्लॉक
a player on second base##person,person,person,person,baseball bat,person,person,person,person,baseball bat	दूसरे बेस पर एक खिलाड़ी
fondant characters on cake##person,person,person,cake,cake,dog,cake,teddy bear,cake,cake	केक पर फोन्डेंट से बने पात्र
grey characters on a sign##	एक संकेत पर धूसर वर्ण
Red tie with Peanuts characters##person,tie,cat,couch,couch	मूंगफली के पात्रों के साथ लाल टाई
press here sticker on paw##teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear,teddy bear	"पंजा पर ""यहाँ दबाएं"" स्टिकर"
a sign in a zoo, written in catalan - spanish – english##person,elephant,giraffe,horse,person,person	एक चिड़ियाघर में एक संकेत जो साह - स्पेनिश - अंग्रेजी में लिखा गया है
White letters and numbers, indicating date and photographer.##airplane,airplane,truck,truck,truck,truck,truck,truck,car,truck	श्वेत पत्र और संख्या जो तिथि और फ़ोटोग्राफ़र को दर्शाते हैं।
window on second level##traffic light,traffic light,person,person,traffic light,person,person,person,person,traffic light	दूसरे स्तर पर खिड़की
yellow date and time stamp##person,snowboard,snowboard,person,person,person	पीला तारीख और समय टिकट
players playing base ball on field##person,person,person,baseball glove,person,sports ball	मैदान पर बेस बॉल खेलने वाले खिलाड़ी
a black fine tooth comb##knife,dining table	एक महिन काले दांत कंघी
a second daybed in room##suitcase,bottle,couch,bottle,backpack,cup,couch,bed,chair	दूसरे दिन कमरे में
lots of kick+grab marks on white wall below blurry words of graffiti [likely not in english]##person,skateboard,person,bicycle,bicycle,person,bottle,bicycle,person	भित्तिचित्रों के धुंधले शब्दों के नीचे सफेद दीवार पर बहुत सारे किक + हड़पने के निशान [अंग्रेजी में नहीं]
people enjoying themselves at the fair##person,person,donut,person,donut,person,person,donut,person,donut	लोग मेले में आनंद ले रहे हैं
bananas and oranges on fruit stand##orange,banana,banana,orange,banana,banana,orange,banana,banana,orange	फलों के स्टैंड पर केले और संतरे
A small food stand on wheels.##person,car,bus,car,person,car,car,car,person,person	पहियों पर एक छोटा भोजन स्टैंड।
