en	bn
car moving incredibly fast	অবিশ্বাস্যভাবে দ্রুত গাড়ী চলমান
a small dark brown night stand	একটি ছোট গাঢ় বাদামী নাইট স্ট্যান্ড
a sign in a language that isn't English	ইংরাজী নয় এমন একটি ভাষায় সাইন
silver and black French press coffee pot	সিলভার এবং কালো ফরাসি প্রেস কফি পাত্র
green bench on court	কোর্টে সবুজ বেঞ্চ
pendent on a fine chain	একটি সূক্ষ্ম চেইন উপর দুল
Paper forms on the table.	টেবিলে কাগজের ফর্মগুলি।
A ball girl at the back of a tennis court	টেনিস কোর্টের পিছনে একটি বালিকা
Thick white wooden cross.	ঘন সাদা কাঠের ক্রস।
the second cushioned seat	দ্বিতীয় কুশনযুক্ত আসন
A black barrier stand.	একটি কালো বাধা স্ট্যান্ড।
green surface surrounding tennis court	টেনিস কোর্টের চারপাশে সবুজ পৃষ্ঠ
Silhouette of tennis player on court.	কোর্টে টেনিস খেলোয়াড়ের সিলুয়েট।
black electric clock on night stand	নাইট স্ট্যান্ডে কালো বৈদ্যুতিন ঘড়ি
a skate boarder going fast	একজন স্কেট বোর্ডার দ্রুত যাচ্ছেন
5 cars of varying models parked on the street	রাস্তায় পার্কিং বিভিন্ন মডেলের 5 টি গাড়ি
Signs on signpost naming streets and block numbers	সাইনপোস্ট নামকরণ রাস্তায় এবং ব্লক নম্বরগুলিতে চিহ্ন
big hairy fair laps	বড় লোমশ ফর্সা কোল
white edge of white tennis court	সাদা টেনিস কোর্ট সাদা প্রান্ত
name and date in the corner	কোণে নাম এবং তারিখ
yellowish green grass over fine tan sand	সূক্ষ্ম ট্যান বালির উপরে হলুদ সবুজ ঘাস
small child cross country skiing	ছোট শিশু ক্রস কান্ট্রি স্কিইং
a net divides the court	একটি নেট কোর্ট বিভক্ত
walking so fast person is captured as a blur	এত তাড়াতাড়ি হাঁটলে একজন মানুষকে ঝাপসা হয়ে যায়
the knife block is filled	ছুরির ব্লকটি ভরে গেছে
Long forks and springs	দীর্ঘ কাঁটাচামচ এবং ঝর্ণা
baseball players dressed in red and gray	বেসবল খেলোয়াড়রা লাল এবং ধূসর পোশাকে
second paper notice in a row	পরপর দ্বিতীয় কাগজ নোটিশ
second story seating area	দ্বিতীয় গল্পের বসার জায়গা
a cross country skier bending low	কম ক্রস কান্ট্রি স্কাইয়ার
Shadow running across a tennis court	টেনিস কোর্ট জুড়ে ছায়া চলছে
Coolers in front of the players.	খেলোয়াড়দের সামনে কুলার।
Cartoon characters on top of the building.	বিল্ডিংয়ের উপরে কার্টুন চরিত্রগুলি।
black lamp with floor stand	মেঝে স্ট্যান্ড সহ কালো বাতি
Security officer making sure everyone is safe at the fair	সুরক্ষার আধিকারিক নিশ্চিত করছেন মেলায় সবাই নিরাপদে আছেন
the springs are silver	ঝর্ণা রূপা হয়
sticker is blue+white and i think written in English+kanji	স্টিকারটি নীল + সাদা এবং আমার মনে হয় ইংরেজিতে + কঞ্জি লেখা আছে
a white sign not in English	একটি সাদা চিহ্ন ইংরাজীতে নয়
man working at stand	লোক স্ট্যান্ড এ কাজ
man standing in a tennis court	টেনিস কোর্টে দাঁড়িয়ে লোক
black band on players wrist	খেলোয়াড়ের কব্জিতে কালো ব্যান্ড
Name and date on the bottom right corner.	নীচে ডান কোণে নাম এবং তারিখ।
red second hand	লাল দ্বিতীয় হাত
orange line on court	কোর্টে কমলা রেখা
date on the screen	পর্দায় তারিখ
Baseball cap to block sun	বেসবল ক্যাপ রোদে ব্লক
a missing cider block opening to the outside	বাইরে থেকে একটি অনুপস্থিত সাইডার ব্লক
a cross on the top of the church	গির্জার উপরে একটি ক্রস
green grass by tennis court	টেনিস কোর্ট দ্বারা সবুজ ঘাস
Some traffic is moving very fast	কিছু ট্র্যাফিক খুব দ্রুত চলছে
Large blue flag above the entire fair	পুরো মেলার উপরে বড় বড় নীল পতাকা
A crack on the court	কোর্টে একটি ফাটল
The tennis players arm extended.	টেনিস খেলোয়াড়দের হাত বাড়ানো।
concrete block near street.	রাস্তার কাছে কংক্রিট ব্লক
Number of court on the wall.	দেয়ালে কোর্টের সংখ্যা।
wooden sign with white letters on second bus	দ্বিতীয় বাসে সাদা বর্ণের সাথে কাঠের চিহ্ন
exte stamp on yellow metal	হলুদ ধাতু উপর স্ট্যাম্প exte
tree root jutting out in jagged forms	ঝাঁকুনিযুক্ত ফর্মগুলিতে গাছের শিকড় কাটছে
microphones are lined up on stand	মাইক্রোফোনগুলি স্ট্যান্ডে রেখাযুক্ত থাকে
the white cross on the flag	পতাকা সাদা ক্রস
the yellow block in the parking stall	পার্কিং স্টলে হলুদ ব্লক
a sign that forms an X	এমন একটি চিহ্ন যা একটি এক্স গঠন করে
Land forms in the distance	দূরত্বে জমি ফর্ম
playing on green and blue court	সবুজ এবং নীল কোর্টে বাজানো
the sport is cross country	খেলাটি ক্রস কান্ট্রি
this wall forms a stall	এই প্রাচীর একটি স্টল গঠন
A metal and stone column holding a bell and cross.	একটি ধাতু এবং পাথর কলাম একটি ঘন্টা এবং ক্রস ধারণ করে।
a tea set on a wooden stand	একটি কাঠের স্ট্যান্ডে একটি চা সেট
this is a press conference	এটি একটি সংবাদ সম্মেলন
second airplane leaves smoke trail	দ্বিতীয় বিমান ধোঁয়া ট্রেল ছেড়ে
white characters on the street	রাস্তায় সাদা অক্ষর
people eating fast food	লোকেরা ফাস্টফুড খাচ্ছে
date in the corner	কোণে তারিখ
Silver cross necklace	সিলভার ক্রস নেকলেস
block of snow on a hill	একটি পাহাড়ে তুষার ব্লক
a red and white county fair tent	একটি লাল এবং সাদা কাউন্টি ফর্সা তাঁবু
long fine whiskers on a cat	একটি বিড়াল উপর দীর্ঘ সূক্ষ্ম ফিসফিসার
man in a white hat on the tennis court	টেনিস কোর্টে একটি সাদা টুপি লোক
a man in a yellow t-shirt sitting cross-legged	হলুদ টি-শার্টের এক লোক ক্রস লেগে বসে আছে
long single block in row	সারিবদ্ধ দীর্ঘ একক ব্লক
Two fine drinking glasses	দুটো সূক্ষ্ম মদ্যপান
green baseball field with players on it	গ্রিন বেসবল মাঠে এটি খেলোয়াড়দের সাথে
Man stand in crane	মানুষ ক্রেনে দাঁড়িয়ে আছে
The characters 9F on the side of a plane	একটি বিমানের পাশে 9F অক্ষর
English city bus on the road	রাস্তায় ইংলিশ সিটি বাস
the date is probably somehow, somewhat primitively digitally conveyed	তারিখটি সম্ভবত একরকম, কিছুটা প্রাথমিকভাবে ডিজিটালভাবে জানানো হয়েছে
blue plastic hot dog stand	নীল প্লাস্টিকের হট ডগ স্ট্যান্ড
A dirty white dish towel with red cross stripes	রেড ক্রস স্ট্রাইপযুক্ত একটি নোংরা সাদা ডিশ তোয়ালে
Two baseball players talking to each other	দুই বেসবল খেলোয়াড় একে অপরের সাথে কথা বলছে
long net across the court	কোর্ট জুড়ে দীর্ঘ নেট
a person cross country skiing in the background	একজন ব্যক্তি পটভূমিতে দেশ স্কিইং ক্রস করে
baseball players on field	মাঠে বেসবল খেলোয়াড়
Yellow and black pole with a yellow cross.	একটি হলুদ ক্রস সহ হলুদ এবং কালো পোল।
A white box with a red cross.	একটি লাল ক্রসযুক্ত একটি সাদা বাক্স।
Bread dough cross hatched design	রুটি ময়দার ক্রস হ্যাচড ডিজাইন
White boundary lines on the tennis court.	টেনিস কোর্টে সাদা সীমানা লাইন।
waves forms behind the boat	তরঙ্গ নৌকা পিছনে ফর্ম
second floor balcony	দ্বিতীয় তল বারান্দা
fast food hot dogs and onion rings	ফাস্ট ফুড হট কুকুর এবং পেঁয়াজ রিং
Time date stamp is bottom right	সময় তারিখ স্ট্যাম্প নীচে ডান
12/22/2006 date stamp	12/22/2006 তারিখ স্ট্যাম্প
fine grey gravel under players' legs	খেলোয়াড়দের পায়ের নীচে জরিমানা ধূসর কঙ্কর
lamp stand light	বাতি স্ট্যান্ড আলো
a professional tennis court	একটি পেশাদার টেনিস কোর্ট
Tall date palm	লম্বা খেজুর
Dresser with dinosaur models on top	শীর্ষে ডাইনোসর মডেল সহ ড্র্রেসার
top of tennis court	টেনিস কোর্ট শীর্ষ
Woman dressed as a maiden at the fair	মেলায় প্রথম মেয়েটির পোশাক পরা মহিলা
characters apart on stage set	মঞ্চে সেট অক্ষর পৃথক
Chinese characters on the back of the truck	ট্রাকের পেছনে চীনা অক্ষর
fast blue and white train	দ্রুত নীল এবং সাদা ট্রেন
players name on his shirt	তার শার্টে খেলোয়াড়দের নাম
College baseball players on the field.	মাঠে কলেজ বেসবল খেলোয়াড়।
blue court on the ground	মাটিতে নীল কোর্ট
Two toasted English muffins on a plate.	একটি প্লেটে দুটি টোস্টেড ইংলিশ মাফিনস।
Bag on the cement block	সিমেন্ট ব্লকে ব্যাগ
flower on ice block	আইস ব্লকে ফুল
yellow tennis balls on court	কোর্টে হলুদ টেনিস বল
A person waiting to cross the street	রাস্তা পার হওয়ার অপেক্ষায় থাকা এক ব্যক্তি
tan colored brick block wall	ট্যান রঙিন ইট ব্লক প্রাচীর
A dark wooden cross with a small sign attached	একটি গাঢ় কাঠের ক্রস যার সাথে একটি ছোট চিহ্ন যুক্ত রয়েছে
A clock with cartoon characters on	কার্টুন চরিত্রগুলি সহ একটি ঘড়ি
rocky and rectangular block with openings on dirt	ময়লা উপর খোলার সঙ্গে পাথুরে এবং আয়তক্ষেত্রাকার ব্লক
adult on a tennis court	টেনিস কোর্টে প্রাপ্তবয়স্ক
Knives in a wooden block on the countertop.	কাউন্টারটপের একটি কাঠের ব্লকে ছুরিগুলি।
leg of the second person	দ্বিতীয় ব্যক্তির পা
awning for food stand	খাদ্য স্ট্যান্ড জন্য সজাগ
Knives in a wooden block behind the stove.	চুলার পিছনে কাঠের ব্লকে ছুরি।
a red newspaper stand	একটি লাল সংবাদপত্র স্ট্যান্ড
Brown block and white house with pitched black roof.	কালো ছাদযুক্ত ব্রাউন ব্লক এবং সাদা ঘর।
The train is traveling in fair weather	ট্রেনটি ন্যায্য আবহাওয়ায় ভ্রমণ করছে
fast food on white plate	সাদা প্লেটে ফাস্টফুড
air forces flag	বিমান বাহিনী পতাকা
some watery plant forms	কিছু জলযুক্ত উদ্ভিদ ফর্ম
curves of forms worn over shoes on snowboard	স্নোবোর্ডে জুতো পরে ফর্মের বক্ররেখা
woman sitting on a stone block	পাথরের ব্লকে বসে মহিলা 
black lamb second from right	ডান থেকে দ্বিতীয় মেষশাবক
blue wall of the court	কোর্টের নীল প্রাচীর
a wood night stand.	একটি কাঠ নাইট স্ট্যান্ড
the wall is cement block	প্রাচীর সিমেন্ট ব্লক
the court is dark blue	কোর্ট গাঢ় নীল
The man's black shadow on the court	কোর্টে লোকটির কালো ছায়া
Woman standing on tennis court	টেনিস কোর্টে দাঁড়িয়ে মহিলা
a music stand on a curb	একটি সংকোচনের উপর একটি সঙ্গীত স্ট্যান্ড
a weed growing up from the tennis court	টেনিস কোর্ট থেকে আগাছা বাড়ছে
The military plane has a cross on the tail.	সামরিক বিমানের লেজটিতে একটি ক্রস রয়েছে।
small food press on stove	চুলায় ছোট খাবার প্রেস
two bicyclists waiting to cross intersection	চৌরাস্তা পার হওয়ার অপেক্ষায় দুজন সাইকেল চালক
cross nailed to a wall	ক্রস একটি প্রাচীরে গাঁথা
Wooden butcher block on kitchen sink.	রান্নাঘরের বেসিন এর উপর কাঠের বুচার ব্লক
three black Japanese characters	তিনটি কালো জাপানি অক্ষর
microphone on angled stand	কোণযুক্ত স্ট্যান্ডে মাইক্রোফোন
Look of concentration on game players face	গেম খেলোয়াড়দের মুখের প্রতি একাগ্রতার চেহারা
blue cross on front of car	গাড়ির সামনে নীল ক্রস
the blue painted do not cross line on the train platform	নীল রঙে আঁকা ট্রেনের প্ল্যাটফর্মে লাইনটি অতিক্রম করে না
tennis match in progress on outdoor court	আউটডোর কোর্টে টেনিস ম্যাচ চলছে
Two men on a tennis court playing tennis	টেনিস খেলতে টেনিস কোর্টে দুজন লোক
wood block of knives	ছুরির কাঠের ব্লক
A block of brown stones.	বাদামী পাথর একটি ব্লক।
players' names in black on yellow background	হলুদ পটভূমিতে কালো রঙের প্লেয়ারদের নাম
an off white set of box springs	বক্স স্প্রিংস একটি সাদা সাদা সেট
Blue characters on a white background	একটি সাদা পটভূমিতে নীল অক্ষর
TV on the stand.	স্ট্যান্ডে টিভি।
Yellow ball on the court.	কোর্টে হলুদ বল।
Electrical wire stand	বৈদ্যুতিক তারের স্ট্যান্ড
cross made of stone	পাথরের তৈরি ক্রস
The traffic light has a red cross.	ট্র্যাফিক লাইটের একটি রেড ক্রস রয়েছে।
ball on a tennis court	টেনিস কোর্টে বল
cross walk area painted on the street	রাস্তায় আঁকা ক্রস ওয়াক এরিয়া
Brown stand holding bananas.	কলা বাদামী স্ট্যান্ড।
the line that shows foul or fair	লাইনটি অশ্লীল বা ফর্সা দেখায়
Knob above knife block	ছুরি ব্লক উপরে গিঁট
A time stamp on a video.	একটি ভিডিওতে টাইম স্ট্যাম্প।
a clock on a glass stand	কাচের স্ট্যান্ডের একটি ঘড়ি
One person on the court	কোর্টে একজন ব্যক্তি
Road block submerged by water	জলে নিমজ্জিত রোড ব্লক
tennis court floor is blue	টেনিস কোর্ট ফ্লোর নীল
baseball players signing autographs	বেসবল খেলোয়াড় অটোগ্রাফ স্বাক্ষর
fine metal safety netting	সূক্ষ্ম ধাতু সুরক্ষা জাল
An audience witnessing a press conference	এক সংবাদ সম্মেলনের সাক্ষী শ্রোতা
players in team dugout	টীম ডাগআউট এ খেলোয়াড়রা
white frisbee in players hands	খেলোয়াড়দের হাতে সাদা ফ্রিসবি
time and date stamp	সময় এবং তারিখ স্ট্যাম্প
A TV stand	একটি টিভি স্ট্যান্ড
The time stamp display window on the meter on the left.	বামদিকে মিটারে সময় স্ট্যাম্প প্রদর্শন উইন্ডো।
a wooden block of knives	ছুরি একটি কাঠের ব্লক
a second story railing	একটি দ্বিতীয় গল্প রেলিং
This is a picture of Chinese characters	এটি চাইনিজ চরিত্রগুলির একটি ছবি
fast super jet hovers in the sky	দ্রুত সুপার জেট আকাশে ঘোরাফেরা করে
the players are moving	খেলোয়াড়রা চলাফেরা করছে
two guys in the background are observing the movements of the players	পটভূমির দু'জন খেলোয়াড় খেলোয়াড়দের চলন পর্যবেক্ষণ করছে 
Curled metal legs on a candle stand	একটি মোমবাতি স্ট্যান্ডের উপর কার্ল ধাতব পা
two players watching the batter	দুই খেলোয়াড় ব্যাটার দেখছেন
fine white spray against nose of craft	নৈপুণ্যের নাকের বিরুদ্ধে সূক্ষ্ম সাদা স্প্রে
Brown tennis court floor	ব্রাউন টেনিস কোর্ট ফ্লোর
cross on top of church	গির্জার উপরে ক্রস
copyright and date	কপিরাইট এবং তারিখ
A sign for the 550 west block of Bliss Ct.	ব্লিস সিটি-এর 550 পশ্চিম ব্লকের জন্য একটি চিহ্ন।
Opponent Reaching Out to block	প্রতিপক্ষ ব্লক করতে পৌঁছেছে
Laptop on a stand	একটি স্ট্যান্ডে ল্যাপটপ
a wooden block sitting on the table	টেবিলের উপর বসে একটি কাঠের ব্লক
Part of the tennis court is green.	টেনিস কোর্টের কিছু অংশ সবুজ।
two players in orange and white sitting on sidelines	কমলা এবং সাদা দুই খেলোয়াড় সাইড লাইনে বসে on
date stamp of photo	ছবির তারিখ স্ট্যাম্প
a pole of a lamp stand	একটি বাতি স্ট্যান্ডের একটি খুঁটি
the door of second floor is brown	দ্বিতীয় তলার দরজাটি বাদামী
Front wheel on second white truck.	দ্বিতীয় সাদা ট্রাকে সম্মুখ চাকা।
the second gold horse	দ্বিতীয় সোনার ঘোড়া
A small grey block on the median	মিডিয়ানের উপর একটি ছোট ধূসর ব্লক
Woman on a tennis court	টেনিস কোর্টে মহিলা
red characters on top of blue building	নীল ভবনের উপরে লাল অক্ষর
the collar decoration of a fair isle type sweater	ফেয়ার আইল টাইপের সোয়েটারের কলার সজ্জা
Woman wearing a cross on her neck	গলায় ক্রস পরা মহিলা
a colorful display lighted characters	একটি বর্ণময় প্রদর্শন আলোকিত অক্ষর
The second train car	দ্বিতীয় ট্রেনের গাড়ি
the players arm is ready to throw	খেলোয়াড়দের হাত ছুঁড়ে ফেলার জন্য প্রস্তুত
date and time stamp in corner	কোণে তারিখ এবং সময় স্ট্যাম্প
Two characters on the television	টেলিভিশনে দুটি চরিত্র
blue net around tennis court	টেনিস কোর্ট কাছাকাছি নীল নেট
a block paved sidewalk	একটি ব্লক প্রশস্ত ফুটপাথ
a orange bottle in stand	স্ট্যান্ডে কমলা বোতল
The items of the second rack	দ্বিতীয় রাকের আইটেম
tan grey fine sand	ট্যান ধূসর সূক্ষ্ম বালি
fence in back of the court	কোর্টের পিছনে বেড়া
five glass vases on the stand	স্ট্যান্ডে পাঁচটি কাচের ফুলদানি
white Asian language characters painted on middle of street	রাস্তার মাঝখানে আঁকা সাদা এশিয়ান ভাষার অক্ষর
second leaf from left	বাম থেকে দ্বিতীয় পাতা
white fast logo in corner	কোণে সাদা দ্রুত লোগো
a large concrete block	একটি বড় কংক্রিট ব্লক
a player on second base	দ্বিতীয় বেস একটি প্লেয়ার
fondant characters on cake	কেক উপর অনুরাগী চরিত্র
grey characters on a sign	একটি চিহ্ন উপর ধূসর অক্ষর
Red tie with Peanuts characters	চিনাবাদামের অক্ষরগুলির সাথে লাল টাই
press here sticker on paw	পাঞ্জা এখানে স্টিকার প্রেস
a sign in a zoo, written in catalan - spanish – english	চিড়িয়াখানায় একটি চিহ্ন, নিখুঁত - স্প্যানিশ - ইংরেজি লেখা
White letters and numbers, indicating date and photographer.	শ্বেত অক্ষর এবং সংখ্যা, ইঙ্গিত করে তারিখ এবং ফটোগ্রাফার।
window on second level	দ্বিতীয় স্তরের উইন্ডো
yellow date and time stamp	হলুদ তারিখ এবং সময় স্ট্যাম্প
players playing base ball on field	খেলোয়াড়রা মাঠে বেস বল খেলছেন
a black fine tooth comb	একটি কালো সূক্ষ্ম দাঁত চিরুনি
a second daybed in room	রুমে একটি দ্বিতীয় দিন
lots of kick+grab marks on white wall below blurry words of graffiti [likely not in english]	গ্রাফিতির অস্পষ্ট শব্দের নীচে সাদা দেয়ালে প্রচুর কিক + দখল চিহ্ন [সম্ভবত ইংরেজিতে নয়]
people enjoying themselves at the fair	মানুষ মেলায় নিজেকে উপভোগ করছে
bananas and oranges on fruit stand	কলা এবং কমলা ফলের স্ট্যান্ডে
A small food stand on wheels.	চাকা উপর একটি ছোট খাবার স্ট্যান্ড।
fine china plate with gold rim	সোনার রিম দিয়ে সূক্ষ্ম চীনার প্লেট
a white alarm clock is on top of the night stand	নাইট স্ট্যান্ডের উপরে একটি সাদা অ্যালার্ম ঘড়ি রয়েছে
baseball players sitting in dugout	বেসবল খেলোয়াড় dugout বসে
letter on the wood block	কাঠের ব্লকে চিঠি
Two butcher block knive sets.	দুটি কসাই ব্লক নাইভ সেট।
A sideways rendered date stamp	পার্শ্ববর্তী স্থানে তারিখের স্ট্যাম্প রেন্ডার করা
White second story porch	সাদা দ্বিতীয় গল্প বারান্দা
a door on the side of the court	দরজার পাশের একটি দরজা
a block defining the space for the bench	বেঞ্চের জন্য স্থান নির্ধারণকারী একটি ব্লক
block of white text	সাদা পাঠ্য ব্লক
a brown cat is stand	একটি বাদামী বিড়াল স্ট্যান্ড হয়
A train is going very fast	একটি ট্রেন খুব দ্রুত চলছে
Red and white Stop sign with characters in a non-English language	অ-ইংরাজী ভাষায় অক্ষরগুলির সাথে লাল এবং সাদা স্টপ সাইন
the shin guard on the players leg	খেলোয়াড়দের পায়ে শিন গার্ড
A tennis player standing in the court	একটি টেনিস খেলোয়াড় কোর্টে দাঁড়িয়ে
women waiting to cross	ক্রস করার অপেক্ষায় মহিলারা
blue tennis court with painted white boundary lines	আঁকা সাদা সীমানা লাইন দিয়ে নীল টেনিস কোর্ট
white asphalt with fine lines	সূক্ষ্ম লাইনের সাথে সাদা ডামাল
date the photo was taken	তারিখটি ছবি তোলা হয়েছিল
block of cheese on plate	প্লেটে পনির ব্লক
They both are playing on a tennis court.	তারা দুজনেই টেনিস কোর্টে খেলছেন।
leaves on tennis court	টেনিস কোর্ট ছেড়ে
a cross street sign	একটি ক্রস রাস্তার চিহ্ন
the net across their court	তাদের কোর্ট জুড়ে নেট
geyer springs street sign	জিয়ার স্প্রিংস রাস্তার চিহ্ন
couple guys walking on tennis court	টেনিস কোর্টে হাঁটা দম্পতি
wooden cross hanging on a wall	একটি দেয়ালে ঝুলন্ত কাঠের ক্রস
cross structures for bridge support	ব্রিজ সমর্থন জন্য ক্রস কাঠামো
boy standing on tennis court	টেনিস কোর্টে দাঁড়িয়ে ছেলে
Banana shaped yellow banana stand	কলা আকারের হলুদ কলা স্ট্যান্ড
A person below the date	তারিখের নীচে একজন ব্যক্তি
green tennis court with white lines	সাদা লাইন সঙ্গে সবুজ টেনিস কোর্ট
man stand on skateboard	মানুষ স্কেটবোর্ডে দাঁড়িয়ে আছে
The front wheel of the second bus.	দ্বিতীয় বাসের সামনের চাকা।
Bizarre sculpture on a coffee stand	একটি কফি স্ট্যান্ডে উদ্ভট ভাস্কর্য
large cement block	বড় সিমেন্ট ব্লক
this stand is yellow in color	এই স্ট্যান্ডটি হলুদ বর্ণের
date stamp of scene	দৃশ্যের তারিখ স্ট্যাম্প
Propellers too fast to see.	প্রোপেলাররা দেখতে খুব দ্রুত।
a block, yellow, and white baseball uniform	একটি ব্লক, হলুদ এবং সাদা বেসবল ইউনিফর্ম
players shoes are black, red, and white	খেলোয়াড়ের জুতা কালো, লাল এবং সাদা
The players are giving a high five	খেলোয়াড়রা উচ্চ পাঁচজন দিচ্ছেন
person has a stamp on her hand	ব্যক্তির হাতে একটি স্ট্যাম্প আছে
Copy right date 2010	সঠিক তারিখ 2010 অনুলিপি করুন
low grey wall behind players	খেলোয়াড়দের পিছনে কম ধূসর প্রাচীর
a green part of a tennis court.	টেনিস কোর্টের সবুজ অংশ।
the second street light	দ্বিতীয় স্ট্রিট লাইট
Two tennis players standing together	দুই টেনিস খেলোয়াড় একসাথে দাঁড়িয়ে
two tennis players wearing black shorts	কালো শর্টস পরা দুই টেনিস খেলোয়াড়
the players socks are blue	প্লেয়ার মোজা নীল হয়
A red date stamp	একটি লাল তারিখ স্ট্যাম্প
Monitor stand below monitor	মনিটরের মনিটরের নীচে স্ট্যান্ড করুন
a manual press machine	একটি ম্যানুয়াল প্রেস মেশিন
long black pipe on display stand	ডিসপ্লে স্ট্যান্ডে দীর্ঘ কালো পাইপ
male cross country skier	পুরুষ ক্রস কান্ট্রি স্কিয়ার
models of airplanes on the tables	টেবিলগুলিতে বিমানের মডেল
Man cross country skiing.	ম্যান ক্রস কান্ট্রি স্কিইং।
the sign has white characters	চিহ্নটিতে সাদা বর্ণ রয়েছে
red time stamp on the photo	ছবির উপর লাল সময় স্ট্যাম্প
little girl standing on a tennis court	টেনিস কোর্টে দাঁড়িয়ে ছোট মেয়ে
man cross country skiing during race	ম্যান ক্রস কান্ট্রি স্কিইং রেসের সময়
Cement forms sticking out of ground.	সিমেন্ট ফর্ম স্থল থেকে দূরে থাকে।
Sandwich on the second shelf.	দ্বিতীয় বালুচরে স্যান্ডউইচ।
the english muffins are toasted	ইংলিশ মাফলিন টোস্ট করা হয়
yellow front of second train	দ্বিতীয় ট্রেনের হলুদ সামনে
models posing on motorcycle	মডেল মোটরসাইকেলের উপর অঙ্গবিন্যাস
This open-air stand takes place in Jamaica	এই ওপেন-এয়ার স্ট্যান্ডটি জামাইকাতে স্থান নেয়
clear stand for controller	নিয়ামক জন্য স্পষ্ট অবস্থান
black armed forces name on wing	কালো সশস্ত্র বাহিনীর নাম উইংয়ে
second base found directly behind the pitcher	কলসিটির পিছনে সরাসরি দ্বিতীয় বেস পাওয়া যায়
A cross on a tower.	একটি টাওয়ারের উপরে একটি ক্রস।
picture taken at drive up fast food chain	ড্রাইভ আপ ফাস্ট ফুড চেইন ছবি
two horses stand on hill	দুটি ঘোড়া পাহাড়ে দাঁড়িয়ে আছে
cross centered in curved panels	বক্র প্যানেল কেন্দ্রিক ক্রস
white stripes in road is a pedestrian cross walk	রাস্তায় সাদা স্ট্রাইপগুলি একটি পথচারী ক্রস হাঁটা
Box springs of bed.	বিছানা বক্স স্প্রিংস।
The water bottle on the side of the court.	কোর্টের পাশে জলের বোতল 
A small wave forms on the water.	জলের উপর একটি ছোট তরঙ্গ গঠন করে।
a daytime picture of a couple cross country skiing	একটি দম্পতি ক্রস কান্ট্রি স্কিইংয়ের একটি দিনের চিত্র
Cars moving at a very fast speed	গাড়িগুলি খুব দ্রুত গতিতে চলেছে
a tree on a city block	একটি শহরের ব্লকের একটি গাছ
a cement block wall	একটি সিমেন্ট ব্লক প্রাচীর
computer monitor on the stand	স্ট্যান্ডে কম্পিউটার মনিটর
snow on the trees at a cross-country ski race	ক্রস-কান্ট্রি স্কি রেসে গাছগুলিতে তুষার
the second engine of the train	ট্রেনের দ্বিতীয় ইঞ্জিন
a black music stand	একটি কালো সঙ্গীত স্ট্যান্ড
chairs and tables on the side of the court	কোর্টের পাশে চেয়ার এবং টেবিল
Baseball travelling fast in the air	বেসবল দ্রুত বাতাসে ভ্রমণ করে
fast food soda cups	ফাস্ট ফুড সোডা কাপ
An old wooden stand shade	একটি পুরানো কাঠের স্ট্যান্ড শেড
red on players sleeve	খেলোয়াড়দের হাতা উপর লাল
a stand next to the sink	বেসিন এর পাশে একটি স্ট্যান্ড
second hand on clock	ঘড়ির উপর সেকেন্ডের কাঁটা
four men on court	কোর্টে চার জন
a block wall behind the man	লোকটির পিছনে একটি ব্লক প্রাচীর
cross walk at intersection	চৌরাস্তা ক্রস ওয়াক
large tennis court	বড় টেনিস কোর্ট
Child sitting cross-legged on the floor	বাচ্ছাটি মেঝেতে পা ভাঁজ করে বসে আছে 
Man standing on a tennis court	টেনিস কোর্টে দাঁড়িয়ে মানুষ
yellow time date stamp	হলুদ সময় তারিখ স্ট্যাম্প
Turnstyle entrance to court	কোর্টে টার্নস্টাইল প্রবেশ
horse running fast with cowboy on the back	পেছনে কাউবয় সঙ্গে দ্রুত ঘোড়া
blue umbrella pole held fast by sand	নীল ছাতা মেরুটি বালি দ্বারা ধরে রাখা
blue wood life guard stand	নীল কাঠের লাইফ গার্ড স্ট্যান্ড
gloves are in the players back pocket	গ্লাভস প্লেয়ারদের পিছনে পকেটে রয়েছে
seats in the stand	স্ট্যান্ডে আসন
the players glove is black	খেলোয়াড়দের গ্লোভ কালো
a brown horse with an english saddle	একটি ইংরেজী জিনযুক্ত একটি বাদামী ঘোড়া
The canvas sits on the stand	ক্যানভাস স্ট্যান্ডে বসে
a camera on a stand	একটি স্ট্যান্ডে একটি ক্যামেরা
net of the tennis court	টেনিস কোর্ট নেট
man sitting in fruit stand	মানুষ ফলের স্ট্যান্ডে বসে
grill press	গ্রিল প্রেস
cross on tower steeple	টাওয়ার স্টেপল উপর ক্রস
ink stamp in the pencil box	পেন্সিল বাক্সে কালি স্ট্যাম্প
small table lamp on the night stand	নাইট স্ট্যান্ডে ছোট টেবিল ল্যাম্প
series of curved forms around body	শরীরের চারপাশে বাঁকা ফর্ম সিরিজ
a clock on a wooden block	কাঠের ব্লকের একটি ঘড়ি 
edge of a stamp	একটি স্ট্যাম্প প্রান্ত
a man sitting cross legged in the grass	একটি লোক ঘাসে পা ভাঁজ করে বসেছে
Right ear of the second cat	দ্বিতীয় বিড়ালের ডান কান
a fine bristled retractable brush	একটি সূক্ষ্ম ব্রিসলেড প্রত্যাহারযোগ্য ব্রাশ
A motorcyclist driving very fast	একজন মোটরসাইকেল চালক খুব দ্রুত গাড়ি চালাচ্ছেন
a baseball players bat	একটি বেসবল খেলোয়াড় ব্যাট
