en	bn
this is a watch	এটি একটি ঘড়ি
bed in a bedroom	একটি শোবার ঘরে বিছানা
people in lots of snow	প্রচুর বরফে মানুষ
A plate of food	খাবারের এক প্লেট
cat with gray eyes	ধূসর চোখের বিড়াল
A woman on a cell phone	সেলফোনে একজন মহিলা
A very faded stop sign.	খুব বিবর্ণ স্টপ সাইন।
A cross on top of the tower.	টাওয়ারের উপরে একটি ক্রস।
darkness of night sky	রাতের আকাশের অন্ধকার
Clear glass full of ale	আলে পূর্ণ পরিচ্ছন্ন কাচ
part fo a shoe	একটি জুতো অংশ
the head of a man	একটি মানুষের মাথা
this is a motor racer	এটি একটি মোটর রেসার
the bear is brown in color	ভাল্লুকের বর্ণ বাদামি
yellow traffic signal over street	রাস্তায় হলুদ ট্র্যাফিক সিগন্যাল
interior of residential bathroom	আবাসিক বাথরুম অভ্যন্তর
this is a an elephant	এটি একটি হাতি
License plate on car	গাড়িতে লাইসেন্স প্লেট
Blue and white sign by the trees.	গাছ দ্বারা নীল এবং সাদা সাইন।
bus on a street	একটি রাস্তায় বাস
Ski pole sticking out of ground.	মাটির বাইরে স্টি পোল স্টিকিং।
bus on a street	একটি রাস্তায় বাস
this is a spectator	এটি একটি দর্শক
this is a dog	এটা একটি কুকুর
a young lady is seate in the park	একজন যুবতী পার্কে বসে আছেন
Black cord connected to television.	কালো কর্ড টেলিভিশনের সাথে সংযুক্ত।
a cat watching TV	একটি বিড়াল টিভি দেখছে
A person with tricycle	ট্রাইসাইকেল সহ একজন ব্যক্তি
Skateboarder in motion on concrete	কংক্রিটের গতিতে স্কেটবোর্ডার
Dog is holding a frisbee	কুকুর একটি ফ্রিসবি রাখা আছে
The woman is touching the wall with left hand	মহিলাটি বাম হাতে দেয়ালে স্পর্শ করছে
A red suitcase.	একটি লাল স্যুটকেস।
this is the sky	এই আকাশ
a white laptop on a desk	একটি ডেস্ক একটি সাদা ল্যাপটপ
A person playing with skate board	একজন ব্যক্তি স্কেট বোর্ডের সাথে খেলছেন
black letter on drum	ড্রাম কালো বর্ণ
this is a red bird	এটি একটি লাল পাখি
red coat on skier	স্কাইরে লাল কোট
A woman sitting on a butterfly bench	প্রজাপতির বেঞ্চে বসে আছেন এক মহিলা
hispanic man talking on phone	ফোনে কথা বলছেন হিস্পানিক লোক
Two clear glasses sitting next to each other	দুটি পরিষ্কার গ্লাস একে অপরের পাশে বসে
this is the wall	এই দেয়াল
The ground beneath the luggage case	লাগেজ কেসের নীচে মাটি
train on the lawn	লনে ট্রেন
this is a cat	এই একটি বিড়াল
it is a skating board	এটি একটি স্কেটিং বোর্ড
this is a hat	এটি একটি টুপি
small child on surfboard	সার্ফবোর্ডে ছোট শিশু
edge of crust is brown	ভূত্বকের প্রান্তটি বাদামি
a yellow tennis ball	একটি হলুদ টেনিস বল
these are two kids	এই দুটি বাচ্চা
A commercial airplane in the air	বাতাসে একটি বাণিজ্যিক বিমান
Red pedals at the bottom fo cake.	নীচের অংশে কেকের জন্য লাল প্যাডেলগুলি।
Green paint on the grill	গ্রিল উপর সবুজ পেইন্ট
Floral print at the side of the plate	প্লেটের পাশের ফুলের মুদ্রণ
Back of bench is brown.	বেঞ্চের পিছনে বাদামি।
Person riding a skateboard	একজন স্কেটবোর্ডে চড়া ব্যক্তি
this is the floor	এই মেঝে
a row of American flags hanging off poles	মেরুতে ঝুলন্ত আমেরিকান পতাকাগুলির একটি সারি
sunglasses on the face	মুখে সানগ্লাস
part of a shoe	একটি জুতো অংশ
person on a motorbike	মোটরবাইকের লোক
this is an umbrella	এটি একটি ছাতা
clock on front of building	বিল্ডিং এর সামনে ঘড়ি
red letter on train	ট্রেনে লাল চিঠি
woman is jumping on skis	মহিলা স্কিজে লাফিয়ে উঠছে
this is a tv screen	এটি একটি টিভি পর্দা
this is the hand	এই হাত
a woman on skis	স্কিজে একটি মহিলা
windshield on the front of a truck	একটি ট্রাকের সামনে উইন্ডশীল্ড
The letter is brown.	বর্ণটি বাদামি।
White goggles on top of man's head.	মানুষের মাথার উপরে সাদা গগলস।
girl holding a hair dryer	একটি চুল ড্রায়ার হোল্ড মেয়ে
this is a basin	এটি একটি বেসিন
Shredded carrots in a white bowl.	একটি সাদা বাটিতে কাটা গাজর
animal printed on skirt	স্কার্টে প্রিন্ট করা প্রাণী
edge of a road	একটি রাস্তার প্রান্ত
A girl running in the street.	রাস্তায় দৌড়াচ্ছে এক মেয়ে।
this is a table	এটা একটা টেবিল
White motorcycle backed into the parking lot.	সাদা মোটরসাইকেলটি পার্কিংয়ে ফিরে এসেছে।
topping on cooked pizza	রান্না করা পিজ্জা শীর্ষে
this is a man	এই হল একটি মানুষ
The little boy is holding a tennis racket.	ছোট ছেলেটি টেনিস র‌্যাকেট ধরেছে।
part of a cloud	মেঘের অংশ
white colored tennis shoe	সাদা রঙের টেনিস জুতো
this is the wall	এই দেয়াল
grey stripe on child's shirt	বাচ্চার শার্টে ধূসর ডোরা
man is in water	মানুষ জলে আছে
a lady is seated at the road ide	একজন মহিলা রাস্তার আদর্শে বসে আছেন
this is a toilet sink	এটি একটি টয়লেট ডোবা
part of a shoe	একটি জুতো অংশ
The giraffe is drinking from the pond.	জিরাফ পুকুর থেকে পান করছে।
part of a table	একটি টেবিলের অংশ
glass window on phone	ফোনে কাঁচের জানালা
this is the floor	এই মেঝে
a plane is in motion	একটি বিমান চলমান আছে
an old colgate sign	একটি পুরানো কোলগেট সাইন
this is a bear	এই ভালুক
this is along a coast	এটি একটি উপকূল বরাবর
boy has dark hair	ছেলেটির চুল কালচে
A boat on the water	জলের উপরে একটি নৌকা
tour bus parked	ট্যুর বাস পার্ক
a delicious egg omlete	একটি সুস্বাদু ডিম অমলেট
par tof a line	এক লাইনের মাধ্যমে
small girl with umbrella	ছাতা সহ ছোট মেয়ে
a blue cap on a pitcher	কলসীতে একটি নীল ক্যাপ
this is a screen	এটি একটি পর্দা
part of a shirt	একটি শার্ট অংশ
Red car on the street.	রাস্তায় লাল গাড়ি।
white horse on beach with woman wthout bank rupt	সৈকত উপর সাদা ঘোড়া মহিলা wthout ব্যাংক বিচ্ছিন্ন সঙ্গে
whole orange carrot in basket	ঝুড়িতে পুরো কমলা গাজর
canine enclosed in pen	কলম বন্ধ কাইনাইন
this is a toilet sink	এটি একটি টয়লেট ডোবা
part of a floor	একটি মেঝে অংশ
part of a collar	একটি কলার অংশ
the shirt is white	শার্টটি সাদা
Elephant in the forefront.	সামনে হাতি।
this is a leg	এটি একটি পা
player's shirt is red	প্লেয়ারের শার্ট লাল
The girl is smiling.	মেয়েটি হাসছে।
white toilet in the room	ঘরে সাদা টয়লেট
red and brown surfboard	লাল এবং বাদামী সার্ফবোর্ড
this is a person	এটি একজন ব্যক্তি
Silver lap top on top of the desk.	ডেস্কের উপরে সিলভার ল্যাপ শীর্ষে।
part of a trunk	একটি কাণ্ডের অংশ
row of three lights	তিন লাইট সারি
A man sitting on a park bench looking at his cell phone	পার্কের বেঞ্চে বসে থাকা এক ব্যক্তি তার সেলফোনের দিকে তাকিয়ে আছেন
three oranges sitting on silver grate	তিনটি কমলা বসে রৌপ্য ছড়িয়ে ছিটিয়ে আছে
dogs in the car	গাড়িতে কুকুর
edge of a boar	একটি শুয়োর প্রান্ত
the shirt is gray	শার্ট ধূসর
Man wearing shoes	জুতো পরা মানুষ
water with animal in it	এটি প্রাণী সঙ্গে জল
white letter on sign	সাইন ইন সাদা বর্ণ
yellow text on back of vehicle	গাড়ির পিছনে হলুদ পাঠ্য
a blue helmet on a man	একটি মানুষের উপর একটি নীল হেলমেট
this is a bird	এটি একটি পাখি
edge of a coolar	একটি কুলার প্রান্ত
man playing tennis on court	পুরুষ আদালতে টেনিস খেলছে
fire hydrant is gray	ফায়ার হাইড্র্যান্ট ধূসর
two girls seated together on a bench	দুটি মেয়ে একটি বেঞ্চে একসাথে বসেছিল
this is a monkey	এটি একটি বানর
front of a plane	একটি বিমানের সামনে
THIS TRAIN IS VERY LONG	এই ট্রেনটি অনেক দীর্ঘ
the plane is white in color	বিমানটি সাদা রঙের
part of the sky	আকাশের অংশ
part if a wave	অংশ যদি একটি তরঙ্গ
sign green and white	সবুজ এবং সাদা সাইন
A shadow on the table	টেবিলে একটা ছায়া
a blue jersey	একটি নীল জার্সি
this is a man	এই হল একটি মানুষ
a cat laying on a couch	একটি বিছানা একটি পালঙ্ক উপর শুইয়ে
a dogs big nose	একটি কুকুর বড় নাক
A young cat sleeping on a section of a couch	একটি যুবতী বিড়াল একটি পালঙ্কের একটি অংশে ঘুমাচ্ছে
this is a car	এই একটি গাড়ী
Man riding the wave on surf board.	সার্ফ বোর্ডে তরঙ্গ চলা মানুষ।
the counter top	কাউন্টার শীর্ষ
person kite surfing on the water.	জলের উপর ব্যক্তি ঘুড়ি।
a young boy tennis player	একটি তরুণ ছেলে টেনিস খেলোয়াড়
this is a dog	এটা একটি কুকুর
the toilet bowl in the bathroom	বাথরুমে টয়লেট বাটি
part of a cone	শঙ্কুর অংশ
a red and black motorcycle	একটি লাল এবং কালো মোটরসাইকেল
the person is snowboarding	ব্যক্তি স্নোবোর্ডিং করছে
the green street light	সবুজ রাস্তার আলো
a grey pair of pants	প্যান্ট একটি ধূসর জোড়া
the head of a man	একটি মানুষের মাথা
Mannequin in the store.	দোকানে ম্যানকিন
A toilet is in the bathroom.	একটি টয়লেট বাথরুমে আছে।
A surfboard on the wave	ঢেউয়ের উপর একটি সার্ফবোর্ড
painting on the bench	বেঞ্চে পেইন্টিং
a man who has just caught a frisbee	সবেমাত্র একটি ফ্রিসবি ধরেছেন এমন একজন লোক
hand of a person	একজন ব্যক্তির হাত
Woman wearing shoes	জুতো পরা মহিলা
part of a wheel	চাকা অংশ
the text is white	লেখাটি সাদা is
White plates aligned on the table.	টেবিলের উপরে সাদা প্লেটগুলি সাজানো।
Yellow car on the side of a house.	একটি বাড়ির পাশে হলুদ গাড়ি
these are lines above the road	এগুলি রাস্তার উপরে লাইন
red and white truck	লাল এবং সাদা ট্রাক
back window of car	গাড়ির পিছনে উইন্ডো
this is a railway	এটি একটি রেলপথ
a yellow coffee mug	একটি হলুদ কফি মগ
a person with umbrella	ছাতাওয়ালা একজন
two donuts on the desk	ডেস্কে দুটি ডোনাট
a cat sleeping by a man's head	একটি বিড়াল মানুষের মাথা নিদ্রা
this is a sign	এটি একটি চিহ্ন
ear of a giraffe	একটি জিরাফ কান
the giraffe is facing right	জিরাফ ডান মুখোমুখি হয়
the bananas are yellow	কলা হলুদ হয়
a bowl with noodles in it	এতে নুডলস সহ একটি বাটি
the straw is in the cup	খড় কাপে আছে
player is holding a bat	খেলোয়াড় একটি ব্যাট ধরে আছে
Girl walking on the beach	বালিকা সৈকতে হাঁটছে
man riding a skateboard	একটি স্কেটবোর্ডে চড়া লোক
head of a person	একজন ব্যক্তির প্রধান
yoga ball is pink	যোগ বল গোলাপী
Board on the ground	মাটিতে বোর্ড
Man wearing a gas leg	একজন লোক পায়ে পড়েছে
toothbrushes attached to mirror	দাঁত ব্রাশগুলি আয়নাতে সংযুক্ত
two grey elephants walking	দুটি ধূসর হাতি হাঁটছে
the head on a giraffe	একটি জিরাফ উপর মাথা
This is a motorbike	এটি একটি মোটরবাইক
a sink in a bathroom	একটি বাথরুমে একটি ডোবা
this is a plate of food	এটি খাবারের প্লেট
a horse on the grass	ঘাস উপর একটি ঘোড়া
the panda is black and white	পান্ডাটি কালো এবং সাদা
Man wearing pants	প্যান্ট পরা মানুষ
person watching the game	ব্যক্তি খেলা দেখছে
something with lots of fur	প্রচুর পশম সহ কিছু
white porcelain half moon sink with stainless steel faucet	স্টেইনলেস স্টিলের কল সঙ্গে সাদা চীনামাটির বাসন অর্ধ চাঁদ ডুবে
Brown and tan milk cow.	ব্রাউন এবং ট্যান দুধের গাভী।
Man wearing shoes	জুতো পরা মানুষ
Clear container with liquid in it.	এটিতে তরলযুক্ত ধারক পরিষ্কার করুন।
Pillows on the couches	সোফায় বালিশ
a man riding a delivery bike down the sidewalk	একজন ফুটপাথের নীচে একটি ডেলিভারি বাইকে চড়ে
this is a wall	এটি একটি প্রাচীর
mans blue shirt with matching tie and pocket	ম্যাচ টাই এবং পকেট সঙ্গে নীল শার্ট মনস
the weather here is stormy	এখানকার আবহাওয়া ঝড়ো
two firemen on top of fire truck	ফায়ার ট্রাকের উপরে দু'জন ফায়ারম্যান
she has a conehead	তার শিরশ্ছেদ আছে
black and white bear	কালো এবং সাদা ভালুক
this is a fry	এটি একটি ভাজা
clouds in the sky	আকাশে মেঘ
this is a train	এটি একটি ট্রেন
salt on a table	একটি টেবিলের উপর লবণ
a white soccer ball	একটি সাদা ফুটবল বল
waves on the shore	তীরে তরঙ্গ
head of a cow	একটি গরুর মাথা
head of a person	একজন ব্যক্তির প্রধান
a brown iced doughnut	একটি বাদামী আইসড ডোনাট
Broken toilet in the corner.	কোণে ভাঙা টয়লেট।
a flat screen TV	একটি ফ্ল্যাট স্ক্রিন টিভি
Taxi on the road.	রাস্তায় ট্যাক্সি।
this is a person	এটি একজন ব্যক্তি
a rolled up piece of carpet on the sidewalk	ফুটপাতে কার্পেটের একটি রোলড আপ পিস
a large white Frisbee	একটি বড় সাদা ফ্রিসবি
this is a person	এটি একজন ব্যক্তি
girl has brown hair	মেয়ের বাদামী চুল আছে
the shirt is black	শার্টটি কালো
this is a person	এটি একজন ব্যক্তি
A large gold framed mirror	একটি বড় সোনার ফ্রেমযুক্ত আয়না
a fork on a plate	একটি প্লেটে কাঁটাচামচ
Giraffe standing next to a dead tree.	জিরাফ একটি মরা গাছের পাশে দাঁড়িয়ে আছে।
a man on a phone	একজন ফোনে একজন
food on the table	টেবিলে খাবার
the banana is white	কলা সাদা
edge of an ear	একটি কানের কিনারা
Boy wearing a shirt	শার্ট পরা ছেলে
a woman in the forest	বনের এক মহিলা
man is on surfboard	মানুষ সার্ফবোর্ডে আছে
a byplane flys through the sky	একটি বাইপাইল আকাশের মধ্য দিয়ে উড়ে যায়
a man wearing a hat	টুপি পরা লোক
White image of a bicycle on the man's shirt	লোকটির শার্টে সাইকেলের সাদা চিত্র
woman has brown hair	মহিলার চুল বাদামী
this is a cooking pot	এটি একটি রান্নার পাত্র
a laptop on the table	টেবিলের উপর একটি ল্যাপটপ
Tip of an elephants' tusk	একটি হাতির টাস্কের টিপ
Scoop of ice cream on a plate.	একটি প্লেটে আইসক্রিম স্কুপ।
head of a person	একজন ব্যক্তির প্রধান
Pane of a window	একটি উইন্ডো ফলক
person wearing gray pants	ধূসর প্যান্ট পরা ব্যক্তি
man holding his phone	মানুষ তার ফোন ধরে
intersection traffic signal	চৌরাস্তা ট্র্যাফিক সিগন্যাল
orange towels on the bed	বিছানায় কমলা তোয়ালে
man wearing yellow goggles	লোক হলুদ গগলস পরা
a cat	একটি বিড়াল
A very vivid blue sky.	খুব উচ্ছল নীল আকাশ।
a man in a green jacket	সবুজ রঙের জ্যাকেটের লোক
a square pizza with one slice missing	একটি বর্গক্ষেত্র পিজ্জা এক টুকরো হারিয়েছে
a woman with short brown hair	ছোট ব্রাউন চুলের মহিলা
giraffe has long neck	জিরাফের ঘাড় দীর্ঘ
John McCain on tv	জন ম্যাককেইন টিভিতে
Broken toilet in the corner.	কোণে ভাঙা টয়লেট।
a white ski helmet	একটি সাদা স্কি হেলমেট
Man playing tennis	ম্যান টেনিস খেলছে
this is a computer screen	এটি একটি কম্পিউটারের পর্দা
The left ear of the person	ব্যক্তির বাম কান
a red Vans emblem on the wood	কাঠের উপর একটি লাল ভ্যান প্রতীক
rear of city bus	সিটি বাসের পিছন
This is an elephant	এটি একটি হাতি
water splashed by elephant	জল হাতির দ্বারা ছড়িয়ে ছিটিয়ে
Two black tents side by side.	পাশাপাশি দুটি কালো তাঁবু।
the head of a man	একটি মানুষের মাথা
a aqua blue and white plane	একটি জল নীল এবং সাদা বিমান
a jet airplane taking off	একটি জেট বিমান বন্ধ করে দিচ্ছে
a woman wearing sandals	স্যান্ডেল পরা মহিলা
red surfboard on top of car	গাড়ির উপরে লাল সার্ফবোর্ড
Yellow and black school bus in the yard.	উঠোনে হলুদ ও কালো স্কুল বাস
a man in a black shirt	একটি কালো শার্টের লোক
the face of a clock	একটি ঘড়ির মুখ
people riding horses	ঘোড়া আরোহী মানুষ
the toilet seat	টয়লেট আসন
Cut out leaf plates on the table.	টেবিলের উপর পাতার প্লেট কাটা।
sheep in the grass	ঘাসে ভেড়া
it is a lemon	এটি একটি লেবু
people standing on a tennis court	টেনিস কোর্টে দাঁড়িয়ে লোকেরা
man is wearing sunglasses	মানুষ সানগ্লাস পরে আছে
People walking in the street	রাস্তায় হাঁটছে মানুষ
the sky is clear	আকাশ পরিষ্কার
a person sailing	একজন ব্যক্তি নৌযান
A MAN STANDING IN A FIELD.	একটি ব্যক্তি একটি স্থানে দাঁড়িয়ে।
head of a bear	ভালুকের মাথা
Brown bench by the water.	জল দিয়ে ব্রাউন বেঞ্চ।
Traffic lights are lit up red	ট্র্যাফিক লাইট জ্বালানো লাল
a window on a building	একটি বিল্ডিং একটি জানালা
a baseball player swinging his bat	একটি বেসবল খেলোয়াড় তার ব্যাট দুলছে
people on a street with umbrellas	ছাতা নিয়ে রাস্তায় লোকেরা
red brick building behind the bus	বাসের পিছনে লাল ইটের বিল্ডিং
a silver grey and yellow commuter train	একটি সিলভার ধূসর এবং হলুদ যাত্রীবাহী ট্রেন
a clock in a tower	টাওয়ারে একটি ঘড়ি
white and black tile	সাদা এবং কালো টালি
the mist of a fountain	ঝর্ণার কুয়াশা
boy in the grass	ঘাসে ছেলে
Five kids standing in a row	পাঁচটি বাচ্চা পরপর দাঁড়িয়ে আছে
green twisted ribbon	সবুজ পাকানো পটি
this is a dog	এটা একটি কুকুর
duck in the oil	তেলে হাঁস
A small black cell phone.	একটি ছোট কালো সেল ফোন।
The two gray elephants	দুটি ধূসর হাতি
the head of a man	একটি মানুষের মাথা
a drink with a straw	একটি খড় সঙ্গে একটি পানীয়
zebras in the grass	ঘাসে জেব্রা
Person on a board	একটি বোর্ডে ব্যক্তি
wood grain on the table	টেবিলে কাঠের দানা
a guy that is dancing	একটি ছেলে যে নাচছে
A girl on a skateboard	স্কেটবোর্ডের একটি মেয়ে
The player holds his glove.	খেলোয়াড় তার গ্লাভস ধরে।
smaller white plane with orange accents	কমলা অ্যাকসেন্ট সহ ছোট সাদা বিমান
this is a train	এটি একটি ট্রেন
bus on the road.	রাস্তায় বাস।
Part of the sky	আকাশের অংশ
orange frisbee in the air	বাতাসে কমলা ফ্রিজবি
bird siting on branch	পাখি শাখায় বসে আছে
the small vase on the table	টেবিলের উপর ছোট ফুলদানি
the head of a dog	একটি কুকুর মাথা
three people skiing in a fog	তিনজন লোক কুয়াশায় স্কিইং করছে
The ladies reflection in the mirror.	মহিলা আয়নায় প্রতিবিম্ব।
a white bowl of fruit salad	একটি ফলের সালাদ একটি সাদা বাটি
this is an outdoor area	এটি একটি বহিরঙ্গন অঞ্চল
person riding a skateboard	স্কেটবোর্ডে চড়া ব্যক্তি
The ground is made of concrete	মাটিটি কংক্রিট দিয়ে তৈরি
a stack of paper plates	কাগজ প্লেট একটি স্ট্যাক
a bunch of bananas on a table	একটি টেবিলে কলা একটি গুচ্ছ
a bench	একটি বেঞ্চ
Some birds are out in the field	কিছু পাখি মাঠে বাইরে আছে
Small patch of green grass	সবুজ ঘাসের ছোট প্যাচ
A dog is white	একটি কুকুর সাদা
surfer in the water	জলের মধ্যে surfer
stationary supplies in a perforated wooden holder	একটি ছিদ্রযুক্ত কাঠের ধারক স্থিতিশীল সরবরাহ
a person holding a kite	একটি মানুষ একটি ঘুড়ি ধরে
a gray desk against a wall	একটি প্রাচীর বিরুদ্ধে একটি ধূসর ডেস্ক
the feet are bare	পা খালি
Three men	তিন জন
dog chasing a bird	একটি পাখি তাড়া কুকুর
a green bench on a street	একটি রাস্তায় সবুজ বেঞ্চ
a round pizza	একটি গোলাকার পিজ্জা
a wooden round spool	একটি কাঠের গোল স্পুল
face of the person	ব্যক্তির মুখ
a large white crosswalk	একটি বড় সাদা ক্রসওয়াক
man sitting on skateboard	মানুষ স্কেটবোর্ডে বসে আছে
root beer in the door of a fridge	একটি ফ্রিজের দরজায় রুট বিয়ার
a tv on a table	একটি টেবিলে একটি টিভি
a case in the room	রুমে একটি কেস
ELEPHANT STANDING NEAR WATER	এলিফ্যান্ট স্ট্যান্ডিং নিকট জল
the red fire hydrant	লাল ফায়ার হাইড্র্যান্ট
A teddy bear is on the bag.	একটি টেডি বিয়ার ব্যাগে রয়েছে।
statue of an elephant	একটি হাতির মূর্তি
the leg of a zebra	একটি জেব্রা এর পা
STATUE OF STANDING DEER	স্থির হরিণের অবস্থা
A man surfs the waves.	একজন মানুষ ঢেউয়ের উপর চলাচল করে।
blue and white plane on tarmac	টারম্যাকের নীল এবং সাদা বিমান
a bear in a car seat	একটি গাড়ী আসনে একটি ভালুক
this is a helmet	এটি হেলমেট
A giraffe standing tall	একটা জিরাফ লম্বা দাঁড়িয়ে আছে
Four people	চারজন লোক
a pink and polka dotted umbrella	একটি গোলাপী এবং পোলকা বিন্দু ছাতা
a metal chain link fence	একটি ধাতব চেইন লিঙ্ক বেড়া
Some people are inside a house	কিছু লোক একটি বাড়ির ভিতরে
a plate full of food	খাবার পূর্ণ একটি প্লেট
the twine on the doughnut	ডোনাট উপর সুতা
this is a toilet	এটি একটি টয়লেট
A gay pride flag that looks like a united states flag	একটি সমকামী গর্বিত পতাকা যা মার্কিন যুক্তরাষ্ট্রের পতাকার মতো দেখাচ্ছে
a baseball player on the field	মাঠে একটি বেসবল খেলোয়াড়
Knife in couple's hands	দম্পতির হাতে ছুরি
a food in the paper	কাগজে একটি খাবার
Wooden bench outside	বাইরে কাঠের বেঞ্চ
a big plate of food	খাবার একটি বড় প্লেট
A traffic sign in the foreground	অগ্রভাগে একটি ট্র্যাফিক সাইন
the sky is blue and clear	আকাশ নীল ও পরিষ্কার
The signal above the train tracks	ট্রেনের উপরের সিগন্যালটি ট্র্যাক করে
black flip flops on man's feet	মানুষের পায়ের উপর কালো ফ্লিপ ফ্লপ
man on a surfboard	সার্ফবোর্ডে লোক
the white globe light of the station	স্টেশন সাদা গ্লোব আলো
A rectangular white and black sign.	একটি আয়তক্ষেত্রাকার সাদা এবং কালো চিহ্ন।
blue parachute forming an arch	নীল প্যারাসুট একটি খিলান গঠন
brown cow	বাদামী গরু
hand of the suitcase	স্যুটকেস হাত
Woman sitting in a wheelchair	হুইলচেয়ারে বসে মহিলা
two men sitting on stools	দু'জন মল বসে
this is a toilet bowl	এটি একটি টয়লেট বাটি
sign on the door	দরজা সাইন
baseball player	বেসবল প্লেয়ার
small black laptop on the desk	ডেস্কে ছোট কালো ল্যাপটপ
the black shoe of the girl	মেয়েটির কালো জুতো
people at a gathering	একটি সমাবেশে লোক
this is a kettle	এটি একটি কেটলি
Many lights on the ceiling	সিলিংয়ে অনেক লাইট
Heavy set man on a skateboard	ভারী একটি স্কেটবোর্ডে মানুষ সেট
The man is riding a bike.	লোকটি সাইকেল চালাচ্ছে।
the bench is made of wood	বেঞ্চটি কাঠের তৈরি
a guy swinging a baseball bat	একটি লোক বেসবল ব্যাট দুলছে
Tennis player in a court	টেনিস খেলোয়াড় একটি আদালতে
blue and yellow parrot	নীল এবং হলুদ তোতা
this is a man	এই হল একটি মানুষ
a cow	একটি গরু
this is a snack food	এটি একটি নাস্তা খাবার
hot dog in the wrapper	মোড়কে গরম কুকুর
a person sitting under an umbrella	একজন ছাতার নীচে বসে আছেন
a light above a kitchen counter	একটি রান্নাঘর কাউন্টার উপরে একটি আলো
boy holding a bat	একটি ব্যাট ধরে ছেলে
table is covered with black fabric	টেবিল কালো ফ্যাব্রিক দিয়ে আচ্ছাদিত করা হয়
Man sitting down	মানুষ বসে আছে
cop rides horse	পুলিশ ঘোড়া চালায়
This is a water tap	এটি একটি জলের ট্যাপ
Yellow bus on pavement.	ফুটপাতে হলুদ বাস।
the front of the train is yellow	ট্রেনের সামনের অংশ হলুদ
PART OF WRINKLED BED SPREAD	রাইঙ্কেলড বিড স্প্রেডের অংশ
the tire of a motorcycle	মোটরসাইকেলের টায়ার
There is a dark brown trunk	একটি গাঢ় বাদামী ট্রাঙ্ক রয়েছে
A steering wheel game controller	একটি স্টিয়ারিং হুইল গেম নিয়ামক
Girl is wearing shoes	মেয়েটি জুতো পরেছে
a guy with his hand in an oven	একটি চুলায় হাত দিয়ে লোক
horse riding inside white vehicle	সাদা গাড়ির ভিতরে ঘোড়া রাইডিং
orange rash guard on man	মানুষের উপর কমলা ফুসকুড়ি রক্ষী
baseball is in the air	বেসবল বাতাসে
Cows are in a field.	একটি মাঠে গরু আছে।
A round yellow frisbee	একটি গোলাকার হলুদ ফ্রিসবি
blood in the toilet	টয়লেটে রক্ত
silver light switch cover	সিলভার লাইট সুইচ কভার
a wooden wet bench	একটি কাঠের ভেজা বেঞ্চ
boat on the water	জলের উপর নৌকা
this label is orange	এই লেবেল কমলা হয়
Garbage in a trash can	একটি আবর্জনা ক্যান মধ্যে আবর্জনা
sliced tomato on pizza slice	পিৎজা টুকরো টুকরো টুকরো টুকরো
nice food on dish	থালায় সুন্দর খাবার
he has lots of trinkets	তার প্রচুর ট্রিনকেট রয়েছে
back side of laptop	ল্যাপটপের পিছনে দিক
cats are on the hood of the car	বিড়ালরা গাড়ির ফণায় আছে
bird feeder made of wood	কাঠের তৈরি পাখির ফিডার
blue helmet on the batter	পিঠে নীল হেলমেট
Red and white tennis racquet.	লাল এবং সাদা টেনিস র‌্যাকেট।
pizza with a face made of toppings	টপিংস দিয়ে তৈরি মুখের সাথে পিজ্জা
multi colored safety helmet	বহু রঙের সুরক্ষা হেলমেট
the snow is white	তুষার সাদা is
Plane in the air	বাতাসে বিমান
blue boat in water	জলে নীল নৌকা
black and white clock	কালো এবং সাদা ঘড়ি
leaves on the ground	মাটিতে পড়ে
the bear is brown	ভাল্লুক বাদামি
spire on top of building	বিল্ডিং শীর্ষে স্পায়ার
the side of a tour bus	একটি ট্যুর বাসের পাশ
large silver pot on the stove	চুলায় বড় রূপার পাত্র
a fairly calm ocean	মোটামুটি শান্ত সমুদ্র
child plays a game of soccer	শিশু সকার একটি খেলা খেলে
tree with no leaves	কোন পাতা নেই গাছ
Two trains on railroad tracks	রেলপথ ট্র্যাক দুটি ট্রেন
clouds in the sky	আকাশে মেঘ
Very tall yellow flowers	খুব লম্বা হলুদ ফুল
clouds in the sky	আকাশে মেঘ
a giant pizza on a pan	একটি প্যানে একটি বিশাল পিৎজা
stop sign leaning at an angle	একটি কোণে সাইন হেলান থামান
stop sign leaning at an angle	একটি কোণে সাইন হেলান থামান
A train in the foreground	অগ্রভাগে একটি ট্রেন
Red do not enter sign	লাল সাইন প্রবেশ করবেন না
a yellow dog standing on the grass	ঘাসের উপর দাঁড়িয়ে একটি হলুদ কুকুর
giraffe in front the trees	গাছের সামনে জিরাফ
The file cabinet in the room	ঘরে ফাইল মন্ত্রিপরিষদ
a young woman playing a wii	একজন যুবতী উইআই খেলছে
she's brushing her teeth	সে দাঁত ব্রাশ করছে
White bird on the rock	পাথরে সাদা পাখি
ैa dog laying down and looking at something	“একটা কুকুর শুয়ে শুয়ে কিছুর দিকে তাকাচ্ছে
picture hangs on the wall	ছবি দেয়ালে ঝুলছে
Black hairs on a zebra's tail	একটি জেব্রা লেজ উপর কালো চুল
red fire hydrant on grass	ঘাসে লাল ফায়ার হাইড্র্যান্ট
A snow boarded in mid air	একটি তুষার মাঝ বায়ুতে আরোহণ করা
a wooden post on a fence	একটি বেড়া উপর একটি কাঠের পোস্ট
this is a bench	এটি একটি বেঞ্চ
pattern on side of zebra	জেব্রা পাশে প্যাটার্ন
