en	hi
Security officer making sure everyone is safe at the fair	सुरक्षा अधिकारी सुनिश्चित करते हुए कि सभी लोग मेले में सुरक्षित हैं
the springs are silver	स्प्रिंग्स चांदी के रंग के हैं
sticker is blue+white and i think written in English+kanji	स्टिकर नीला + सफेद है और मुझे लगता है कि अंग्रेजी+कन्जि में लिखा गया है
a white sign not in English	एक सफेद चिह्न अंग्रेजी में नहीं
man working at stand	स्टैंड पर काम कर रहा आदमी
man standing in a tennis court	एक टेनिस कोर्ट में खड़ा आदमी
black band on players wrist	खिलाड़ी की कलाई पर काली पट्टी
Name and date on the bottom right corner.	नीचे दाएं कोने पर नाम और दिनांक।
red second hand	लाल सैक्डं कांटा
orange line on court	कोर्ट पर नारंगी लकीर
date on the screen	स्क्रीन पर तारीख
Baseball cap to block sun	सूरज को ब्लॉक करने के लिए बेसबॉल टोपी
a missing cider block opening to the outside	बाहर की ओर खुलता हुआ एक लापता साइडर ब्लॉक
a cross on the top of the church	चर्च के शीर्ष पर एक क्रॉस
green grass by tennis court	टेनिस कोर्ट के पास हरी घास
Some traffic is moving very fast	कुछ वाहन बहुत तेजी से आगे बढ़ रहे हैं
Large blue flag above the entire fair	पूरे मेले के ऊपर बड़ा नीला झंडा
A crack on the court	कोर्ट में दरार
The tennis players arm extended.	टेनिस खिलाड़ी का हाथ बढ़ा हुआ।
concrete block near street.	सड़क के पास कंक्रीट ब्लॉक।
Number of court on the wall.	दीवार पर कोर्ट की संख्या।
wooden sign with white letters on second bus	दूसरी बस में सफेद अक्षरों के साथ लकड़ी का चिन्ह
exte stamp on yellow metal	पीली धातु पर exte स्टैम्प
tree root jutting out in jagged forms	दांतेदार रूपों में उभ्रे हुए पेड़ की जड़
microphones are lined up on stand	माइक्रोफोन स्टैंड पर पंक्तिबद्ध हैं
the white cross on the flag	ध्वज पर सफेद क्रॉस
the yellow block in the parking stall	पार्किंग स्टाल में पीला ब्लॉक
a sign that forms an X	एक चिन्ह जो X बनाता है
Land forms in the distance	दूरी में भूभाग
playing on green and blue court	हरे और नीले कोर्ट पर खेल
the sport is cross country	यह खेल क्रॉस कंट्री है
this wall forms a stall	यह दीवार एक स्टाल बनाती है
A metal and stone column holding a bell and cross.	एक धातु और पत्थर के स्तंभ एक घंटी और क्रॉस के आधार बनें हुए।
a tea set on a wooden stand	एक लकड़ी के स्टैंड पर एक चाय का सेट
this is a press conference	यह एक प्रेस कॉन्फ्रेंस है
second airplane leaves smoke trail	दूसरा हवाई जहाज धुआँ छोड़ता हुआ
white characters on the street	सड़क पर सफेद अक्षर
people eating fast food	फास्ट फूड खाते हुए लोग
date in the corner	कोने में तारीख
Silver cross necklace	चाँदी का क्रॉस हार
block of snow on a hill	एक पहाड़ पर बर्फ का ब्लॉक
a red and white county fair tent	एक लाल और सफेद काउंटी मेले का तम्बू
long fine whiskers on a cat	एक बिल्ली पर लंबे सुक्ष्म मूंछ
man in a white hat on the tennis court	टेनिस कोर्ट पर एक सफेद टोपी पहने आदमी
a man in a yellow t-shirt sitting cross-legged	पीले टी-शर्ट में एक आदमी पैर मोड़्कर बैठा है
long single block in row	पंक्ति में एक लंबा खंड
Two fine drinking glasses	दो बढिया ठीक पीने के गिलास
green baseball field with players on it	हरी बेसबॉल की मैदान खिलाड़ियों के साथ
Man stand in crane	आदमी क्रेन में खड़ा है
The characters 9F on the side of a plane	एक विमान के किनारे पर अक्षर 9F
English city bus on the road	सड़क पर अंग्रेजी सिटी बस
the date is probably somehow, somewhat primitively digitally conveyed	तारीख शायद किसी तरह कुछ हद तक डिजिटल रूप से बताई गई है
blue plastic hot dog stand	नीले प्लास्टिक का हॉट डॉग स्टैंड
A dirty white dish towel with red cross stripes	लाल क्रॉस धारियों के साथ एक गंदा सफेद डिश तौलिया
Two baseball players talking to each other	बेसबॉल के दो खिलाड़ी आपस में बात करते हुए
long net across the court	कोर्ट के आरपार लंबा जाल
a person cross country skiing in the background	पृष्ठभूमि में क्रॉस कटंरी स्कीइंग करता हुआ एक व्यक्ति
baseball players on field	मैदान पर बेसबॉल खिलाड़ी
Yellow and black pole with a yellow cross.	एक पीले क्रॉस के साथ पीले और काले पोल।
A white box with a red cross.	लाल क्रॉस के साथ एक सफेद बॉक्स।
Bread dough cross hatched design	ब्रेड आटा क्रॉस हैच डिज़ाइन
White boundary lines on the tennis court.	टेनिस कोर्ट पर सफेद सीमा रेखाएं।
waves forms behind the boat	नाव के पीछे लहरें
second floor balcony	दूसरी मंजिल की बालकनी
fast food hot dogs and onion rings	फास्ट फूड हॉट डॉग और प्याज के छल्ले
Time date stamp is bottom right	समय की तारीख की मोहर दाहिने नीचे है
12/22/2006 date stamp	12/22/2006 तारीख की मुहर
fine grey gravel under players' legs	खिलाड़ियों के पैरों के नीचे बारीक ग्रे बजरी
lamp stand light	दीपक स्टैडं की रोशनी
a professional tennis court	एक पेशेवर टेनिस कोर्ट
Tall date palm	ऊंचा खजूर
Dresser with dinosaur models on top	शीर्ष पर डायनासोर मॉडल के साथ ड्रेसर
top of tennis court	टेनिस कोर्ट की जाली का ऊपरी हिस्सा
Woman dressed as a maiden at the fair	मेले में युवती की तरह कपड़े पहने महिला
characters apart on stage set	स्टेज सेट पर अलग से पात्र
Chinese characters on the back of the truck	ट्रक के पीछे चीनी अक्षर
fast blue and white train	तेज नीली और सफेद ट्रेन
players name on his shirt	खिलाड़ी के शर्ट पर उसक़ा नाम
College baseball players on the field.	मैदान पर कॉलेज के बेसबॉल खिलाड़ी।
blue court on the ground	जमीन पर नीला कोर्ट
Two toasted English muffins on a plate.	एक प्लेट पर दो अंग्रेजी टोस्ट मफिन।
Bag on the cement block	सीमेंट ब्लॉक पर थैला
flower on ice block	बर्फ के ब्लॉक पर फूल
yellow tennis balls on court	कोर्ट पर पीली टेनिस की गेंद
A person waiting to cross the street	एक व्यक्ति सड़क पार करने की प्रतीक्षा में
tan colored brick block wall	ताम्र रंग की ईंट ब्लॉक दीवार
A dark wooden cross with a small sign attached	एक छोटे संकेत के साथ एक लकड़ी का क्रॉस
A clock with cartoon characters on	कार्टून पात्रों के साथ एक घड़ी
rocky and rectangular block with openings on dirt	चट्टानी और आयताकार छेद वाले ब्लॉक मिट्टी पर
adult on a tennis court	एक टेनिस कोर्ट पर वयस्क
Knives in a wooden block on the countertop.	काउंटरटॉप पर एक लकड़ी के ब्लॉक में चाकू।
leg of the second person	दूसरे व्यक्ति का पैर
awning for food stand	फूड स्टैंड के लिए शामियाना
Knives in a wooden block behind the stove.	चूल्हे के पीछे एक लकड़ी के ब्लॉक में चाकू।
a red newspaper stand	एक लाल अखबार स्टैंड
Brown block and white house with pitched black roof.	ब्राउन ब्लॉक और सफेद घर जिसमें काली छत है।
The train is traveling in fair weather	ट्रेन उचित मौसम में यात्रा कर रही है
fast food on white plate	सफेद प्लेट पर फास्ट फूड
air forces flag	वायु सेना का झंडा
some watery plant forms	कुछ गिले पौधे
curves of forms worn over shoes on snowboard	स्नोबोर्ड पर जूतों के ऊपर पहने जाने वाले रूपों के वक्र
woman sitting on a stone block	पत्थर के ब्लॉक पर बैठी महिला
black lamb second from right	दाईं ओर से दूसरा का्ले भेड़ का बच्चा
blue wall of the court	कोर्ट की नीली दीवार
a wood night stand.	एक लकड़ी की नाईट स्टैंड।
the wall is cement block	दीवार सीमेंट ब्लॉक है
the court is dark blue	कोर्ट गहरा नीला है
The man's black shadow on the court	कोर्ट पर आदमी की काली छाया
Woman standing on tennis court	टेनिस कोर्ट पर खड़ी महिला
a music stand on a curb	एक वक्र पर एक संगीत स्टैंड
a weed growing up from the tennis court	एक खरपतवार टेनिस कोर्ट से ऊग रहा है
The military plane has a cross on the tail.	सैन्य विमान की पूंछ पर एक क्रॉस है।
small food press on stove	स्टोव पर छोटा भोजन प्रेस
two bicyclists waiting to cross intersection	चौराहा पार करने का इंतजार कर रहे दो साइकिल सवार
cross nailed to a wall	कील से ठुकी हुई दीवार पर एक क़्रॉस
Wooden butcher block on kitchen sink.	रसोई के सिंक पर लकड़ी का कसाई ब्लॉक।
three black Japanese characters	तीन काले जापानी वर्ण
microphone on angled stand	एंगल्ड स्टैंड पर माइक्रोफोन
Look of concentration on game players face	खेल खिलाड़ियों के चेहरे पर दिखाई देती हुई एकाग्रता
blue cross on front of car	कार के सामने नीली क्रॉस
the blue painted do not cross line on the train platform	ब्लू पेंट निषिद्ध करने हेतु लकीर ट्रेन प्लेटफॉर्म पर
tennis match in progress on outdoor court	आउटडोर कोर्ट पर टेनिस मैच चल रहा है
Two men on a tennis court playing tennis	टेनिस खेलने वाले टेनिस कोर्ट पर दो आदमी
wood block of knives	चाकू की लकड़ी ब्लॉक
A block of brown stones.	भूरे पत्थरों का एक ब्लॉक।
players' names in black on yellow background	पीले रंग की पृष्ठभूमि पर खिलाड़ियों के नाम
an off white set of box springs	बॉक्स स्प्रिंग्स का एक ऑफ व्हाइट सेट
Blue characters on a white background	एक सफेद पृष्ठभूमि पर नीले वर्ण
TV on the stand.	स्टैंड पर टी.वी.
Yellow ball on the court.	कोर्ट पर पीली गेंद।
Electrical wire stand	बिजली के तारों क स्टैंड
cross made of stone	पत्थर से बना क्रॉस
The traffic light has a red cross.	ट्रैफिक लाइट में लाल क्रॉस है।
ball on a tennis court	एक टेनिस कोर्ट पर गेंद
cross walk area painted on the street	सड़क पर चित्रित क्रॉस वॉक एरिया
Brown stand holding bananas.	केले के साथ ब्राउन स्टैंड।
the line that shows foul or fair	रेखा जो बेईमानी या निष्पक्षता दिखाती है
Knob above knife block	चाकू ब्लॉक के ऊपर घुंडी
A time stamp on a video.	एक वीडियो पर समय की मोहर।
a clock on a glass stand	एक ग्लास स्टैंड पर एक घड़ी
One person on the court	कोर्ट पर एक व्यक्ति
Road block submerged by water	पानी में डूबा रोड ब्लॉक
tennis court floor is blue	टेनिस कोर्ट की सतह नीली है
baseball players signing autographs	हस्ताक्षर करने वाले बेसबॉल खिलाड़ी
fine metal safety netting	बढिया धातु का सुरक्षा जाल
An audience witnessing a press conference	एक प्रेस कॉन्फ्रेंस के साक्षी बने दर्शक
players in team dugout	खिलाड़ी टीम डगआउट में
white frisbee in players hands	खिलाड़ियों के हाथों में सफेद फ्रिसबी
time and date stamp	समय और तारीख की मोहर
A TV stand	एक टीवी स्टैंड
The time stamp display window on the meter on the left.	बाईं ओर मीटर पर टाइम स्टैम्प डिस्प्ले विंडो।
a wooden block of knives	चाकूओं का एक लकड़ी का ब्लॉक
a second story railing	एक दूसरे मन्ज़िल की रेलिंग
This is a picture of Chinese characters	यह चीनी पात्रों की एक तस्वीर है
fast super jet hovers in the sky	आकाश में घूमता हुआ तेज सुपर जेट
the players are moving	खिलाड़ी आगे बढ़ रहे हैं
two guys in the background are observing the movements of the players	पृष्ठ्भूमी के दो लोग खिलाड़ियों की हरकतों को देख रहे हैं
Curled metal legs on a candle stand	कैंडल स्टैंड पर धातु के घुमावदार पैर
two players watching the batter	बैटर को देखते दो खिलाड़ी
fine white spray against nose of craft	विमान की नाक पर सुक्ष्म सफेद स्प्रे
Brown tennis court floor	भुरी टेनिस कोर्ट का फर्श
cross on top of church	चर्च के शीर्ष पर क़्रॉस
copyright and date	कॉपीराइट और दिनांक
A sign for the 550 west block of Bliss Ct.	ब्लिस सीटी के 550 पश्चिम ब्लॉक के लिए एक संकेत।
Opponent Reaching Out to block	विरोधी ब्लॉक करने की कोशिश करते हुए
Laptop on a stand	एक स्टैंड पर लैपटॉप
a wooden block sitting on the table	टेबल पर एक लकड़ी का ब्लॉक
Part of the tennis court is green.	टेनिस कोर्ट का एक हिस्सा हरा है।
two players in orange and white sitting on sidelines	किनारे पर बैठे नारंगी और सफेद में दो खिलाड़ी
date stamp of photo	फोटो की तारीख मोहर
a pole of a lamp stand	एक दीपक स्टैंड की एक पोल
the door of second floor is brown	दूसरी मंजिल का दरवाजा भूरा है
Front wheel on second white truck.	दूसरा सफेद ट्रक पर सामने का पहिया।
the second gold horse	दूसरा सोने का घोड़ा
A small grey block on the median	माध्यिका पर एक छोटा ग्रे ब्लॉक
Woman on a tennis court	टेनिस कोर्ट पर महिला
red characters on top of blue building	नीली इमारत के शीर्ष पर लाल वर्ण
the collar decoration of a fair isle type sweater	एक बढिया आइल प्रकार स्वेटर की कॉलर की सजावट
Woman wearing a cross on her neck	महिला ने गले में क्रॉस पहना हुआ है
a colorful display lighted characters	रोशन पात्रों का एक रंगीन प्रदर्शन
The second train car	दूसरी ट्रेन की गाड़ी
the players arm is ready to throw	खिलाड़ी का हाथ फेंकने के लिए तैयार है
date and time stamp in corner	कोने में तारीख और समय की मोहर
Two characters on the television	टेलीविजन पर दो किरदार
blue net around tennis court	टेनिस कोर्ट के आसपास नीला जाल
a block paved sidewalk	एक ब्लॉक फुटपाथ
a orange bottle in stand	स्टैंड में एक नारंगी बोतल
The items of the second rack	दूसरे रैक के आइटम
tan grey fine sand	ताम्र धूसर महिन रेत
fence in back of the court	अदालत के पीछे बाड़
five glass vases on the stand	स्टैंड पर पांच ग्लास के फूलदान
white Asian language characters painted on middle of street	सड़क के बीच में चित्रित किया गया सफेद एशियाई भाषा के अक्षर
second leaf from left	बाएं से दूसरा पत्ता
white fast logo in corner	कोने में सफेद फास्ट की लोगो
a large concrete block	एक बड़ा कंक्रीट ब्लॉक
a player on second base	दूसरे बेस पर एक खिलाड़ी
fondant characters on cake	केक पर फोन्डेंट से बने पात्र
grey characters on a sign	एक संकेत पर धूसर वर्ण
Red tie with Peanuts characters	मूंगफली के पात्रों के साथ लाल टाई
press here sticker on paw	"पंजा पर ""यहाँ दबाएं"" स्टिकर"
a sign in a zoo, written in catalan - spanish – english	एक चिड़ियाघर में एक संकेत जो साह - स्पेनिश - अंग्रेजी में लिखा गया है
White letters and numbers, indicating date and photographer.	श्वेत पत्र और संख्या जो तिथि और फ़ोटोग्राफ़र को दर्शाते हैं।
window on second level	दूसरे स्तर पर खिड़की
yellow date and time stamp	पीला तारीख और समय टिकट
players playing base ball on field	मैदान पर बेस बॉल खेलने वाले खिलाड़ी
a black fine tooth comb	एक महिन काले दांत कंघी
a second daybed in room	दूसरे दिन कमरे में
lots of kick+grab marks on white wall below blurry words of graffiti [likely not in english]	भित्तिचित्रों के धुंधले शब्दों के नीचे सफेद दीवार पर बहुत सारे किक + हड़पने के निशान [अंग्रेजी में नहीं]
people enjoying themselves at the fair	लोग मेले में आनंद ले रहे हैं
bananas and oranges on fruit stand	फलों के स्टैंड पर केले और संतरे
A small food stand on wheels.	पहियों पर एक छोटा भोजन स्टैंड।
fine china plate with gold rim	सोने रिम के साथ महिन चीन प्लेट
a white alarm clock is on top of the night stand	रात के स्टैंड के ऊपर एक सफेद अलार्म घड़ी है
baseball players sitting in dugout	डगआउट में बैठे बेसबॉल खिलाड़ी
letter on the wood block	लकड़ी के ब्लॉक पर पत्र
Two butcher block knive sets.	दो कसाई ब्लॉक चाकू सेट।
A sideways rendered date stamp	एक बग़ल में तारीख की मुहर लगी
White second story porch	दूसरी सफेद कहानी पोर्च
a door on the side of the court	कोर्ट की तरफ एक दरवाजा
a block defining the space for the bench	खंड के लिए स्थान को परिभाषित करने वाला एक ब्लॉक
block of white text	सफेद पाठ का खंड
a brown cat is stand	एक भूरी बिल्ली खड़ी है
A train is going very fast	एक ट्रेन बहुत तेज चल रही है
Red and white Stop sign with characters in a non-English language	गैर-अंग्रेजी भाषा में वर्णों के साथ लाल और सफेद स्टॉप साइन
the shin guard on the players leg	खिलाड़ियों के पैर में पिंडली की रक्षा
A tennis player standing in the court	कोर्ट में खड़ा एक टेनिस खिलाड़ी
women waiting to cross	पार करने के लिए इंतजार कर रही महिलाओं
blue tennis court with painted white boundary lines	नीले रंग की टेनिस कोर्ट जिसमें सफेद बाउंड्री लाइन है
white asphalt with fine lines	महिन लाइनों के साथ सफेद डामर
date the photo was taken	तारीख फोटो ली गई थी
block of cheese on plate	प्लेट पर पनीर का ब्लॉक
They both are playing on a tennis court.	वे दोनों एक टेनिस कोर्ट पर खेल रहे हैं।
leaves on tennis court	टेनिस कोर्ट पर पत्ते
a cross street sign	एक क्रॉस स्ट्रीट साइन
the net across their court	उनके दरबार में जाल
geyer springs street sign	गीयर स्प्रिंग्स स्ट्रीट साइन
couple guys walking on tennis court	टेनिस कोर्ट पर घूमते युगल
wooden cross hanging on a wall	एक दीवार पर लटका लकड़ी का क्रॉस
cross structures for bridge support	पुल समर्थन के लिए क्रॉस संरचनाओं
boy standing on tennis court	टेनिस कोर्ट पर खड़ा लड़का
Banana shaped yellow banana stand	केले के आकार का पीला केला स्टैंड
A person below the date	तारीख से नीचे का व्यक्ति
green tennis court with white lines	सफेद लाइनों के साथ हरी टेनिस कोर्ट
man stand on skateboard	आदमी स्केटबोर्ड पर खड़ा है
The front wheel of the second bus.	दूसरी बस का आगे का पहिया।
Bizarre sculpture on a coffee stand	एक कॉफी स्टैंड पर विचित्र मूर्तिकला
large cement block	बड़ा सीमेंट ब्लॉक
this stand is yellow in color	यह स्टैंड पीले रंग का है
date stamp of scene	दृश्य का दिनांक टिकट
Propellers too fast to see.	देखने में बहुत तेज प्रोपेलर
a block, yellow, and white baseball uniform	एक ब्लॉक, पीला, और सफेद बेसबॉल वर्दी
players shoes are black, red, and white	खिलाड़ियों के जूते काले, लाल, और सफेद होते हैं
The players are giving a high five	खिलाड़ी उच्च पांच दे रहे हैं
person has a stamp on her hand	व्यक्ति के हाथ में एक मोहर है
Copy right date 2010	सही तिथि 2010 की प्रतिलिपि बनाएँ
low grey wall behind players	खिलाड़ियों के पीछे कम ग्रे दीवार
a green part of a tennis court.	एक टेनिस कोर्ट का एक हरा हिस्सा।
the second street light	दूसरी स्ट्रीट लाइट
Two tennis players standing together	एक साथ खड़े दो टेनिस खिलाड़ी
two tennis players wearing black shorts	काले शॉर्ट्स पहने दो टेनिस खिलाड़ी
the players socks are blue	खिलाड़ियों के नीले मोजे हैं
A red date stamp	एक लाल तारीख की मोहर
Monitor stand below monitor	मॉनीटर स्टैंड के नीचे मॉनीटर
a manual press machine	एक मैनुअल प्रेस मशीन
long black pipe on display stand	प्रदर्शन स्टैंड पर लंबे काले पाइप
male cross country skier	पुरुष क्रॉस कंट्री स्कीयर
models of airplanes on the tables	तालिकाओं पर हवाई जहाज के मॉडल
Man cross country skiing.	मैन क्रॉस कंट्री स्कीइंग।
the sign has white characters	साइन में सफेद अक्षर हैं
red time stamp on the photo	फोटो पर लाल समय की मोहर
little girl standing on a tennis court	टेनिस कोर्ट पर खड़ी एक छोटी लड़की
man cross country skiing during race	दौड़ के दौरान आदमी क्रॉस कंट्री स्कीइंग
Cement forms sticking out of ground.	जमीन से चिपके हुए सीमेंट के रूप।
Sandwich on the second shelf.	दूसरे शेल्फ पर सैंडविच।
the english muffins are toasted	अंग्रेजी मफिन सिका हुआ हैं
yellow front of second train	दूसरी ट्रेन का पीला मोर्चा
models posing on motorcycle	मोटर साइकिल पर प्रस्तुत मॉडल
This open-air stand takes place in Jamaica	यह ओपन-एयर स्टैंड जमैका में होता है
clear stand for controller	नियंत्रक के लिए स्पष्ट स्टैंड
black armed forces name on wing	काले सशस्त्र बलों के नाम विंग पर
second base found directly behind the pitcher	दूसरा आधार सीधे घड़े के पीछे मिला
A cross on a tower.	एक टॉवर पर एक क्रॉस।
picture taken at drive up fast food chain	फास्ट फूड चेन ड्राइव पर लिया गया चित्र
two horses stand on hill	दो घोड़े पहाड़ पर खड़े हैं
cross centered in curved panels	घुमावदार पैनलों में क्रॉस केंद्रित है
white stripes in road is a pedestrian cross walk	सड़क में सफ़ेद धारियाँ एक पैदल यात्री क्रॉस वॉक हैं
Box springs of bed.	बॉक्स बिस्तर के स्प्रिंग्स।
The water bottle on the side of the court.	कोर्ट की तरफ पानी की बोतल।
A small wave forms on the water.	पानी पर एक छोटी लहर बनती है।
a daytime picture of a couple cross country skiing	एक युगल क्रॉस कंट्री स्कीइंग की एक दिन की तस्वीर
Cars moving at a very fast speed	बहुत तेज गति से चलती हुई कारें
a tree on a city block	एक शहर ब्लॉक पर एक पेड़
a cement block wall	एक सीमेंट ब्लॉक दीवार
computer monitor on the stand	स्टैंड पर कंप्यूटर मॉनिटर
snow on the trees at a cross-country ski race	एक क्रॉस-कंट्री स्की रेस में पेड़ों पर बर्फ
the second engine of the train	ट्रेन का दूसरा इंजन
a black music stand	एक काला संगीत स्टैंड
chairs and tables on the side of the court	कोर्ट की तरफ कुर्सियां ​​और टेबल
Baseball travelling fast in the air	हवा में तेजी से यात्रा कर रहा बेसबॉल
fast food soda cups	फास्ट फूड सोडा कप
An old wooden stand shade	एक पुराना लकड़ी का स्टैंड शेड
red on players sleeve	खिलाड़ियों की आस्तीन पर लाल
a stand next to the sink	सिंक के बगल में एक स्टैंड
second hand on clock	घड़ी पर दूसरा हाथ
four men on court	कोर्ट पर चार आदमी
a block wall behind the man	आदमी के पीछे एक ब्लॉक दीवार
cross walk at intersection	चौराहे पर पैदल चलना
large tennis court	बड़े टेनिस कोर्ट
Child sitting cross-legged on the floor	बच्चा फर्श पर क्रॉस-लेग किया हुआ बैठा था
Man standing on a tennis court	एक टेनिस कोर्ट पर खड़ा आदमी
yellow time date stamp	पीले समय की तारीख मोहर
Turnstyle entrance to court	कोर्ट में टर्नस्टाइल प्रवेश
horse running fast with cowboy on the back	पीठ पर चरवाहे के साथ तेजी से दौड़ता हुआ घोड़ा
blue umbrella pole held fast by sand	नीली छतरी वाला खंभा रेत से भरा हुआ
blue wood life guard stand	नीली लकड़ी जीवन रक्षक स्टैंड
gloves are in the players back pocket	दस्ताने खिलाड़ियों की जेब में हैं
seats in the stand	स्टैंड में सीटें
the players glove is black	खिलाड़ियों का दस्ताना काला है
a brown horse with an english saddle	एक अंग्रेजी काठी के साथ एक भूरे रंग का घोड़ा
The canvas sits on the stand	कैनवास स्टैंड पर है
a camera on a stand	एक स्टैंड पर एक कैमरा
net of the tennis court	टेनिस कोर्ट का जाल
man sitting in fruit stand	फल स्टैंड में बैठा आदमी
grill press	ग्रिल प्रेस
cross on tower steeple	टॉवर स्टीपल पर क्रॉस
ink stamp in the pencil box	पेंसिल बॉक्स में स्याही मोहर
small table lamp on the night stand	नाइट स्टैंड पर छोटा टेबल लैंप
series of curved forms around body	शरीर के चारों ओर घुमावदार रूपों की श्रृंखला
a clock on a wooden block	लकड़ी के ब्लॉक पर एक घड़ी
edge of a stamp	मोहर की किनारों
a man sitting cross legged in the grass	पार बैठे एक आदमी ने घास में पैर रखा
Right ear of the second cat	दूसरी बिल्ली का दाहिना कान
a fine bristled retractable brush	एक अच्छा ब्रिस्टल वापस लेने योग्य ब्रश
A motorcyclist driving very fast	एक मोटर साइकिल चालक बहुत तेजी से गाड़ी चला रहा है
a baseball players bat	एक बेसबॉल खिलाड़ी बल्लेबाजी करते हैं
A second sandwich on a wrapper.	एक रैपर पर दूसरा सैंडविच।
case with cross on it also has red trim	इस पर क्रॉस के साथ लाल ट्रिम भी है
a railing on a second story balcony	एक दूसरी बालकनी पर एक रेलिंग
Two soccer players	दो फुटबॉल खिलाड़ी
the cross on the top of the building structure	भवन संरचना के शीर्ष पर क्रॉस
People waiting to cross street	सड़क पार करने का इंतजार करते लोग
characters on the sign	संकेत पर अक्षर
A skateboard with asian characters painted on the underside	एशियाई पात्रों के साथ एक स्केटबोर्ड अंडरस्लाइड पर चित्रित
fine inscriptions on item	मद पर ठीक शिलालेख
characters are posted in Chinese	पात्रों को चीनी में पोस्ट किया जाता है
Man getting ready for a penalty kick	मैन पेनल्टी किक के लिए तैयार हो रहा है
A red cross forms on the floor.	फर्श पर एक लाल क्रॉस रूपों।
many wires criss-cross overhead	कई तारों को क्रॉस-ओवरहेड किया जाता है
This could be at a science fair.	यह एक विज्ञान मेले में हो सकता है।
man using a hand press to make juice	जूस बनाने के लिए हैंड प्रेस का उपयोग करने वाला व्यक्ति
The picture has a date stamp	तस्वीर पर तारीख की मोहर है
A date underneath a clock face	एक घड़ी के चेहरे के नीचे एक तारीख
unfinished wood block under freezer	फ्रीजर के तहत अधूरा लकड़ी का ब्लॉक
fast train moving along track	ट्रैक के साथ चलती तेज ट्रेन
Three baseball players wearing white uniforms are in the background.	सफेद वर्दी पहने तीन बेसबॉल खिलाड़ी पृष्ठभूमि में हैं।
tennis player on the green colored section of a court	एक कोर्ट के हरे रंग के खंड पर टेनिस खिलाड़ी
making a very fast turn	बहुत तेज़ मोड़ देना
the tennis court net divides the court in the middle	टेनिस कोर्ट का जाल कोर्ट को बीच में बांटता है
4 players on the court	4 खिलाड़ी कोर्ट पर
the chinese characters on the vase	फूलदान पर चीनी अक्षर
crumbly english muffin bread	crumbly english मफिन ब्रेड
a stand with information	जानकारी के साथ एक स्टैंड
ad on the wall of the court	अदालत की दीवार पर विज्ञापन
The right front window on the second level of the bus.	बस के दूसरे स्तर पर दाईं ओर की खिड़की।
the Asian characters are red	एशियाई पात्र लाल हैं
block tower on top of hill	पहाड़ी की चोटी पर ब्लॉक टॉवर
The black baseball mit on the players hand	खिलाड़ियों के हाथ पर काली बेसबॉल माइट
yellow cross on a tie	एक टाई पर पीला क्रॉस
five baseball players	पांच बेसबॉल खिलाड़ी
large date palm in the distance	दूरी में बड़ी खजूर
Cows laying down in the hay at a county fair	काउंटी के एक मेले में गायों को लेटाया गया
armed forces identifying patch for US Army	अमेरिकी सेना के लिए पैच की पहचान करने वाले सशस्त्र बल
The tennis court is two different colors.	टेनिस कोर्ट दो अलग-अलग रंग हैं।
A indoor tennis court.	एक इनडोर टेनिस कोर्ट।
characters on the edge of the plate	प्लेट के किनारे पर अक्षर
a fruit stand with lots of fruits and vegetables	बहुत सारे फल और सब्जियों के साथ एक फल स्टैंड
red white and blue truck is at the fair	लाल, सफेद और नीला ट्रक मेले में है
yellow date taken stamp	पीली तारीख की मोहर
Tarp on the side of the court	कोर्ट की तरफ से तारप
Tall lights at the court	कोर्ट में लगी लाइटें
players standing behind chain link fence	चेन लिंक बाड़ के पीछे खड़े खिलाड़ी
date stamp in the corner	कोने में तारीख मोहर
a cross in a church	एक चर्च में एक क्रॉस
easel stand for painting	चित्र के लिए चित्रफलक स्टैंड
owners manual for a panini press	मालिकों के लिए एक पैनी प्रेस है
dog forms splashes in the water	कुत्ते ने पानी में छींटे मारे
two long and narrow panes below cross bar	क्रॉस बार के नीचे दो लंबे और संकीर्ण पैन
Double red doors on second floor	दूसरी मंजिल पर डबल लाल दरवाजे
Partial view of second bus	दूसरी बस का आंशिक दृश्य
White door on second floor	दूसरी मंजिल पर सफेद दरवाजा
a romantic date night	एक रोमांटिक मुलाक़ात की रात
knife block sitting on counter with knives in it	चाकू के साथ काउंटर पर बैठे चाकू ब्लॉक
a block of buildings	इमारतों का एक ब्लॉक
Curved stairs on the approach to the court yard	कोर्ट यार्ड की ओर जाने वाली घुमावदार सीढ़ियां
chinese characters on the side of a bus	एक बस के किनारे चीनी अक्षर
blue tennis court	नीला टेनिस कोर्ट
This person is waiting to cross the street	यह व्यक्ति सड़क पार करने की प्रतीक्षा कर रहा है
The block for the post	पद के लिए ब्लॉक
tan letters on the tennis court	टेनिस कोर्ट पर टैन पत्र
this license plate has non-english characters	इस लाइसेंस प्लेट में गैर-अंग्रेजी अक्षर हैं
players uniform is black and gold	खिलाड़ियों की वर्दी काले और सोने रंग की है
Watermark, showing copyright date.	वॉटरमार्क, कॉपीराइट दिनांक दिखा रहा है।
name and website of photographer and Chinese characters	फोटोग्राफर और चीनी पात्रों का नाम और वेबसाइट
tv on a stand	एक स्टैंड पर टी.वी.
grass grows next to the block	ब्लॉक के बगल में घास उगती है
A paper towel roll on a stand	एक स्टैंड पर एक पेपर टॉवल रोल
white springs under mattress	गद्दे के नीचे सफेद स्प्रिंग्स
The brick wall behind the court	कोर्ट के पीछे ईंट की दीवार
