en	hi
large body of water	पानी का बड़ा शरीर
a very tall building	बहुत ऊंची इमारत
petal of a flower	एक फूल का पेटल
dark grey cloud hanging in the sky	आसमान में लटके गहरे भूरे बादल
The head of an animal with long ears.	लंबे कानों वाले जानवर का सिर।
green leaves on brown tree	हरे पेड़ पर हरे पत्ते
the sunset on the horizon	क्षितिज पर सूर्यास्त
The fingers of a person	किसी व्यक्ति की उँगलियाँ
green leaves in brown trees	भूरे पेड़ों में हरे पत्ते
people standing by the water	पानी से खड़े लोग
water in a river rapids ride at an amusement park	एक नदी के पानी में रैपिड्स एक मनोरंजन पार्क में सवारी करते हैं
a window on a building	एक इमारत पर एक खिड़की
tables on a patio	एक आँगन पर टेबल
white and black light fixture	सफेद और काले प्रकाश स्थिरता
slat on balcony guard rail	बालकनी गार्ड रेल पर स्लेट
a line on the side of a building	इमारत के पक्ष में एक लाइन
green leaves on brown bush	भूरे रंग की झाड़ी पर हरे पत्ते
A building behind trees	पेड़ों के पीछे एक इमारत
green leaves in brown tree	भूरे पेड़ में हरे पत्ते
the sun illuminate the building	सूर्य इमारत का प्र्ज्वलीत करता है
window pane on entrance door	प्रवेश द्वार पर खिड़की के फलक
car parked on side of road	सड़क के किनारे खड़ी कार
window in building	भवन में खिड़की
glass window on the building	भवन पर कांच की खिड़की
red colored fire hydrant	लाल रंग का अग्नि हाइड्रेंट
man is riding a bike	आदमी बाइक चला रहा है
pole on the ground	जमीन पर पोल
green leaves in brown tree	हरे पेड़ में हरे पत्ते
Wood chips on the ground	जमीन पर लकड़ी के चिप्स
person is walking in a park	व्यक्ति एक पार्क में घूम रहा है
green leaves in brown tree	भूरे पेड़ में हरे पत्ते
a scene downtown	शहर का एक दृश्य
Yellow apple on a white styrofoam plate	एक सफेद स्टारोफोम प्लेट पर पीला सेब
Yellow and brown bananna	पीला और भूरा बानन्ना
spot on the banana	केले पर हाजिर
Plate of food on the table	खाने की थाली मेज पर
red strawberry with green leaves	हरी पत्तियों के साथ लाल स्ट्रॉबेरी
corner of brick building	ईंट निर्माण का कोना
Four orange and white cones	चार नारंगी और सफेद शंकु
a tree in a field	एक खेत में एक पेड़
the plane is color silver	विमान का रंग सिल्वर है
top of the boat	नाव के ऊपर
Scene takes place during the day	दृश्य दिन के दौरान जगह लेता है
sunlight coming through a building's skylights	एक इमारत के रोशनदान से होकर सूरज की रोशनी
the person in the forefront is walking.	पूर्वानुमान में व्यक्ति चलता है .
a woman wearing glasses	एक महिला चश्मा
the people are standing	लोग खड़े हैं
many people in a place	एक जगह पर कई लोग
interior of transport terminal	परिवहन टर्मिनल के इंटीरियर
A man is waving his hand	एक आदमी उसका हाथ हिला रहा है
white painted exterior piping	सफेद पेंट बाहरी पाइपिंग
a stone walk way	पत्थर का रास्ता
a doorway on a building	इमारत पर द्वार
short green shrubbery	छोटी हरी झाड़ी
green leaves in brown tree	भूरे पेड़ में हरे पत्ते
open walkway with gold frame	स्वर्ण फ्रेम के साथ खुला रास्ता
TWO PEOPLE STANDING IN THE STREET	स्ट्रीट में दो लोगों की भीड़
a scene outside	बाहर एक दृश्य
a building on circular shape	परिपत्र आकार पर एक इमारत
fish in the aquarium	एक्वेरियम में मछली
window on the building	भवन पर खिड़की
White flowers in a yard	एक यार्ड में सफेद फूल
Ms Pac Man video game machine	सुश्री पीएसी मैन वीडियो गेम मशीन
step on the stair	सीढ़ी पर कदम
White cap on wave.	लहर पर सफेद टोपी।
a log near the grass	घास के पास एक लॉग
man is painting statue	मनुष्य चित्रकला है
woman painting a picture	एक तस्वीर पेंटिंग महिला
the lamp shade is white in color.	दीपक की छाया सफेद रंग की होती है।
brushes in coffee cup	कॉफी कप में ब्रश
a window on a building	एक इमारत पर एक खिड़की
chair in conference room	सम्मेलन कक्ष में कुर्सी
A pool that is outside	एक पूल जो बाहर है
a chair that you sit in	एक कुर्सी जिसमें आप बैठते हैं
a green square on a screen	एक स्क्रीन पर एक हरे रंग का वर्ग
fan with four blades	चार ब्लेड्स के साथ पंखा
gold geometric patterned head band	सोना ज्यामितीय पैटर्न वाला हेडबैंड
tree with reddish leaves	लाल पत्तियों वाला पेड़
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Bamboo stalk in forest	जंगल में बाँस की डंठल
A wall on the side of a building	इमारत के किनारे पर एक दीवार
sink with exposed plumbing	उजागर पाइपलाइन के साथ सिंक
a white blanket	एक सफेद कंबल
pink trim around window	विंडो के चारों ओर गुलाबी ट्रिम
A wall on the side of a building	इमारत के किनारे पर एक दीवार
leg of baseball player	बेसबॉल खिलाड़ी का पैर
screen on the tv	टीवी पर स्क्रीन
A long red pillow	एक लंबा लाल तकिया
Large window with sheer curtains.	सरासर पर्दे के साथ बड़ी खिड़की।
A wall on the side of a building	इमारत के किनारे पर एक दीवार
Lamp next to a bed	एक बिस्तर के बगल में दीपक
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
a scene outside	बाहर एक दृश्य
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
brown bridge over green river	हरी नदी पर भूरा पुल
yellow sweater with purple stripe	बैंगनी पट्टी के साथ पीला स्वेटर
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
brown leaves on ground	जमीन पर भूरे रंग के पत्ते
A wall on the side of a building	इमारत के किनारे पर एक दीवार
craps table in casino	कैसीनो में क्रेप्स टेबल
television hanging on the wall	टेलीविजन दीवार पर लटका हुआ
A set of woman's sunglasses	स्त्री के धूप के चश्मे का एक सेट
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Sign on a pole	एक पोल पर साइन इन करें
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
the painting beneath the orange toy	नारंगी खिलौने के नीचे पेंटिंग
red pillow on bed	लाल तकिया
bear has ribbon around neck	भालू के गले में रिबन है
Red flowers on the stage	मंच पर लाल फूल
Boat in the water	पानी में नाव
beige door that is open	बेज दरवाजा जो खुला है
a bright light in the ceiling	छत में एक चमकीला प्रकाश
people walking around building	इमारत के आसपास घुमते लोग
Chimney on a house	एक घर पर चिमनी
Yellow median on road.	सड़क पर पीला मंझला।
board displaying specials on counter	काउन्टर पर विशेषज्ञ प्रदर्शित बोर्ड
chandelier on the ceiling	छत पर झूमर
A wall on the side of a building	इमारत के किनारे पर एक दीवार
Tall black and white clock.	लंबा काला और सफेद घड़ी।
A wall on the side of a building	इमारत के किनारे पर एक दीवार
older man in black leather jacket	चमड़े के जैकेट में वृद्ध
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
beige and tan blanket covering couch	बीज और टान कंबल आवरण
yellow flower on plant	पौधे पर पीला फूल
The pool stick on the left.	बाईं ओर पूल छड़ी।
Large silver stereo by the window	खिड़की से बड़े चांदी के स्टीरियो
The boy is holding a piece of watermelon.	लड़का वाटरमेलॉन का टुकड़ा रखा है .
white board that says gift shop	सफेद बोर्ड जो उपहार की दुकान कहता है
branch on the tree	पेड़ पर शाखा
green leaves on the tree	पेड़ पर हरे पत्ते
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
rocks on the ground	जमीन पर चट्टानें
Man standing in snow	आदमी बर्फ में खड़ा है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
The blue toy school bus	नीला खिलौना स्कूल बस
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
four knobs close to each other	चार घुटने एक दूसरे के करीब
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
Kettle on the stove	स्टोव पर केतली
round dinette set next to wall	दीवार के बगल में गोल डाइनेट सेट
coffee maker on kitchen counter	किचन काउंटर पर कॉफी मेकर
A glass window of a cabinet	किसी मंत्रिमंडल का कांच विंडो
silver toaster sitting on the counter	काउंटर पर बैठा सिल्वर टोस्टर
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
building on the side of the water	पानी के किनारे पर निर्माण
red vase over fireplace	लाल प्रतिस्थापन
back corner of white couch	सफेद सोफे का पीछे कोना
black and white modern table	काला और श्वेत आधुनिक तालिका
a chair that you sit in	एक कुर्सी जिसमें आप बैठते हैं
green trees and bushes	हरे - भरे पेड़ - पौधे
blue trash can against the building	नीली कचरा इमारत के खिलाफ कर सकते हैं
Flowers in a vase.	फूलदान में फूल।
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
a tree in a field	एक खेत में एक पेड़
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
the row of seats in the balcolny	बाल्कन में सीटों की पंक्ति
Large window on a building	एक इमारत पर बड़ी खिड़की
curved rows of green windows on building	इमारत पर हरी खिड़कियों की घुमावदार पंक्तियां
a car in a parking lot	एक पार्किंग में एक कार
chair in a room	एक कमरे में कुर्सी
sheep in a field	एक खेत में भेड़ें
The water in the middle of the area.	क्षेत्र के बीच में पानी।
a tree in a field	एक खेत में एक पेड़
A black round tire	एक काला चारों ओर
A wall on the side of a building	इमारत के किनारे पर एक दीवार
a large rock overhang	एक बड़ी चट्टान
man using a black jacket	मनुष्य एक काला जैकेट का उपयोग करता हुआ
A wall on the side of a building	इमारत के किनारे पर एक दीवार
Leaves on the ground	जमीन पर पत्तियां
A wall on the side of a building	इमारत के किनारे पर एक दीवार
white foot stool on rug	गलीचा पर सफेद पैर का मल
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
Boy is wearing a blue jacket	लड़का नीली जैकेट पहने है
a cord strung across a highway	एक हाइवे के पार एक तार
person waling in front of the buildings	इमारतों के सामने चलने वाला व्यक्ति
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
brick building has a window	ईंट निर्माण में एक खिड़की है
two lights on towards bottom of building	भवन के नीचे की ओर दो रोशनी
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
the speaker is black	स्पीकर काला है
the man in all black walking	सभी काले चलने में आदमी
this is a house	यह एक घर है
reflections in the water of a pool	एक कुंड के पानी में प्रतिबिंब
white print style letter	सफेद प्रिंट शैली
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
green leaves on the bush	हरे पत्ते झाड़ी पर
leaves on the tree	पेड़ पर पत्ते
fluffy white cloud in the sky	आकाश में चमकीले सफेद बादल
the sky is so dull and gray	आकाश इतना धूल और पका है
Black lion statue on table	मेज पर काले शेर की मूर्ति
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
old building has a door	पुराने भवन में एक दरवाजा है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
sign on a metal rail	एक धातु रेल पर हस्ताक्षर
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
wooden cross beams holding up railroad bridge	लकड़ी टेढ़ी बांस रेल पुल को पकड़े
Birds in the snow	बर्फ में पक्षी
grass on the ground	जमीन पर घास
an old vintage car	एक पुरानी विंटेज कार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Large trees in the distance	दूर में बड़े पेड़
this picture is taken indoors	यह तस्वीर घर के अंदर ली गई है
Beige chairs against the wall.	दीवार के खिलाफ बेज कुर्सियाँ।
A window to the left	बाईं ओर एक खिड़की
picture on a wall	एक दीवार पर चित्र
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
long light along the top of the back wall	पीछे की दीवार के शीर्ष पर लंबी रोशनी
a couple having a snack on a park bench	एक जोड़े पार्क बेंच पर नाश्ता कर रहे है
large patch of grass surrounding lake	झील के आसपास घास के बड़े पैच
green needle on tree	पेड़ पर हरा सुई
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
tassel like tail	पूंछ की तरह लटकन
White bus with stripes and dark windows	धारियों और अंधेरे खिड़कियों के साथ सफेद बस
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Large stripe on the man's jacket	आदमी की जैकेट पर बड़ी पट्टी
A wall on the side of a building	इमारत के किनारे पर एक दीवार
stone slab on ground	जमीन पर पत्थर पटिया
A wall on the side of a building	इमारत के किनारे पर एक दीवार
the car is gray	कार ग्रे है
window on the building	भवन पर खिड़की
the bushes under the tree	पेड़ के नीचे झाड़ियों
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
building has black trimmed windows	इमारत में काले रंग की छंटनी की गई है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A decorative pillow	एक सजावटी तकिया
Design on a rug	एक गलीचा पर डिजाइन
vase sitting on top of tv cabinet	कलश टीवी कैबिनेट के शीर्ष पर बैठे
A wall on the side of a building	इमारत के किनारे पर एक दीवार
wooden chair with square backrest	चौकोर बाक़ी के साथ लकड़ी की कुर्सी
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
corner of hallway wall	दालान की दीवार का कोना
orange in a wicker bowl	एक विकर कटोरे में नारंगी
flower picture on wall	दीवार पर फूल चित्र
mirror hanging on wall	दर्पण दीवार पर लटका हुआ
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
green leaves on the tree	पेड़ पर हरे पत्ते
a tree	एक पेड़
A wall on the side of a building	इमारत के किनारे पर एक दीवार
person in a square	एक वर्ग में व्यक्ति
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A wall on the side of a building	इमारत के किनारे पर एक दीवार
tire underneath advertisement trailer	विज्ञापन ट्रेलर के नीचे टायर
light next to doorway	प्रकाश द्वार के बगल में
roof on a home's entrance	एक घर के प्रवेश द्वार पर छत
Two windows on a house	एक घर पर दो विंडो
red window has a glass panel	लाल खिड़की में एक ग्लास पैनल है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Window of a house	एक घर की खिड़की
a red car in front of the house	घर के सामने एक लाल कार
pane on the window	खिड़की पर फलक
chimney on a house	एक घर पर चिमनी
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
the small stone cottage	छोटे पत्थर की कुटिया
Green patches of lawn	लॉन के हरे पैच
window on the building	भवन पर खिड़की
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
silverware on the table	मेज पर चांदी के बने पदार्थ
this is a towel	यह एक तौलिया है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
silverware on the tray	ट्रे पर चांदी के बने पदार्थ
A butterfly on a pink towel	एक गुलाबी तौलिया पर एक तितली
Brown plate on top of the orange plate	नारंगी प्लेट के ऊपर ब्राउन प्लेट
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
Handle of a coffee cup	एक कॉफी कप का हैंडल
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
food on a plate	एक प्लेट पर खाना
Silver detailed butter knife	चांदी विस्तृत मक्खन चाकू
white shaker in metal brace	सफेद धातु की छाल में शकर
three silver forks on a table	एक टेबल पर तीन चांदी के कांटे
napkin on a table	एक टेबल पर नैपकिन
the candle in the clear votive	स्पष्ट आवेश में मोमबत्ती
A wall on the side of a building	इमारत के किनारे पर एक दीवार
yellow post it note pad	पीले पोस्ट यह नोट पैड
a lamp on the dresser	ड्रेसर पर एक दीपक
wooden door on cabinet	कैबिनेट पर लकड़ी के दरवाजे
green leaf on the plant	पौधे पर हरा पत्ता
A wall on the side of a building	इमारत के किनारे पर एक दीवार
a brown chair under the table	मेज के नीचे एक भूरे रंग की कुर्सी
large wall clock says 11:15	बड़ी दीवार घड़ी 11:15 कहती है
a large rock in the water	पानी में एक बड़ी चट्टान
a doorway leading out of the room	एक द्वार कमरे से बाहर की ओर
clay vessel on the wood shelf	लकड़ी के शेल्फ पर मिट्टी का पात्र
white door in the left side	बाईं ओर सफेद दरवाजा
a wood strip on the wall	दीवार पर एक लकड़ी की पट्टी
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
green leaves on the tree	पेड़ पर हरे पत्ते
a lamp on the wall	दीवार पर एक दीपक
a window on a building	एक इमारत पर एक खिड़की
this picture is taken indoors	यह तस्वीर घर के अंदर ली गई है
Large body of water	पानी का बड़ा शरीर
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
green leaves on the tree	पेड़ पर हरे पत्ते
green leaves on the tree	पेड़ पर हरे पत्ते
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
A set of orange flowers	नारंगी फूलों का समूह
these are budding branches	ये नवोदित शाखाएँ हैं
yellow center of a dainty purple flower	एक पीले बैंगनी फूल का पीला केंद्र
man holding a thin cord	व्यक्ति को एक पतली रस्सी पकडा हुआ है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
two smaller mushrooms attached to large mushroom	बड़े मशरूम से जुड़े दो छोटे मशरूम
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
tan rock standing on end	अंत में खड़ी चट्टान
yellow and white flowers on plant	पौधे पर पीले और सफेद फूल
a reflection of a mountain	एक पहाड़ का प्रतिबिंब
long banquet table in front of window	खिड़की के सामने लंबी भोज तालिका
green street sign with white letters	सफेद अक्षरों के साथ हरी सड़क का चिन्ह
woman wearing black sleeveless dress	काले स्लीवलेस ड्रेस पहने महिला
monitor on a table	एक मेज पर निगरानी
a computer CRT screen	एक कंप्यूटर CRT स्क्रीन
computer desk full of stuff	कंप्यूटर डेस्क सामान से भरा हुआ
A long brick road.	एक लंबी ईंट वाली सड़क।
man on his cell phone	अपने सेल फोन पर आदमी
the tail	पुंछ
a tennis player in white holding his racket	अपने रैकेट को पकड़े हुए एक टेनिस खिलाड़ी
stuffed bear wedged in a gate	एक द्वार में भालू फसा हुआ
icing on a cupcake	एक कपकेक पर टुकड़े टुकड़े करना
stoplights on a pole	एक पोल पर स्टॉपलाइट
red apples in a metal bowl	एक धातु के कटोरे में लाल सेब
two stools with white tops	सफेद रंग के टॉप के साथ दो स्टूल
white petal on the flower	फूल पर सफेद पंखुड़ी
woman wearing old fashioned dress	पुराने जमाने की पोशाक पहने महिला
the sky is blue in color.	आकाश का रंग नीला है।
bus is red	बस लाल है
train station has a window	ट्रेन स्टेशन में एक खिड़की है
rain falling on a window	बारिश एक खिड़की पर गिर रही है
tennis player ready to serve	टेनिस खिलाड़ी सेवा के लिए तैयार
yellow and blue boat has a window	पीली और नीली नाव में एक विंडो है
Pizza	पिज़्ज़ा
The sky is blue	आसमान नीला है
The man is driving the truck	आदमी ट्रक चला रहा है
the floor is brown	फर्श ब्राउन है
small pug dog	छोटा पग कुत्ता
large white commercial plane parked	बड़े सफेद वाणिज्यिक विमान पार्क किए गए
The mouth of the zebra	ज़ेबरा का मुँह
Beach sand on surfboard.	सर्फबोर्ड पर समुद्र तट की रेत।
older man in blue shirt	नीले कुर्ते में वृद्ध
window on the building	इमारत पर खिड़की
Man in a wetsuit	एक wetsuit में आदमी
moving black vehicle	चल रहा काला वाहन
a clear view of apple	सेब का एक स्पष्ट दृश्य
Man riding horse	आदमी घुड़सवारी करता है
Driver in the car	कार में ड्राइवर
the snow	बर्फ
an open red umbrella	एक खुला लाल छाता
a painted yellow grate cover	एक पीले रंग का ग्रेड आवरण
a windshield on the train	ट्रेन में एक विंडशील्ड
a bell enmeshed in metal	धातु में एक घंटा
a zebra's nose near green grass	हरी घास के पास एक ज़ेबरा की नाक
a spoon on a plate of food	खाने की प्लेट पर एक चम्मच
trees next to a train	एक ट्रेन के आगे पेड़
A wall on the side of a building	इमारत के किनारे पर एक दीवार
A white hat on a head.	सिर पर सफेद टोपी।
Woman wearing black sweater	काला स्वेटर पहने महिला
boy is eating donut	लड़का डोनट खा रहा है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
a baseball player wears a black helmet	एक बेसबॉल खिलाड़ी एक काले हेलमेट पहनता है
grey letters on sign	चिह्न पर धूसर अक्षर
a box of tissues	ऊतकों का एक बॉक्स
a tan and red building	एक तन और लाल इमारत
a cat sits on a woman's shoulders	एक बिल्ली एक महिला के कंधे पर बैठती है
A dragon boat on the water	पानी पर ड्रैगन नाव
A man standing next to a vehicle.	एक व्यक्ति जो वाहन के बगल में खड़ा होता है |
the ladder of a pier	एक घाट की सीढ़ी
a young black bear standing on green grass	हरी घास पर खड़ा एक युवा काला भालू
a motorcycle for sale	बिक्री के लिए एक मोटरसाइकिल
The aircraft engine on the right.	दाईं ओर विमान का इंजन।
fire hydrant with yellow top	पीले शीर्ष से अग्नि हाइड्रांट
woman in jacket on her laptop	अपने लैपटॉप पर जैकेट में महिला
a red sign	एक लाल चिह्न
a clear blue sky	एक साफ नीला आकाश
the helmet is red	हेलमेट लाल है
a man holding a camera	एक कैमरा पकड़े एक आदमी
a black sign hanging from the ceiling	छत से लटका एक काला संकेत
Bigger white bread triangle sandwich.	बागर सफेद रोटी त्रिभुज सेंविच
square styrofoam plate with food	भोजन के साथ वर्ग स्टिरोफोम प्लेट
Light brown hard case with handle on top	शीर्ष पर संभाल के साथ हल्के भूरे रंग का सख्त मामला
a trolley crossing sign	एक ट्रॉली क्रॉसिंग साइन
a person behind a train window	एक ट्रेन खिड़की के पीछे एक व्यक्ति
a woman with a white bag	सफेद बैग वाली महिला
a police vehicle	एक पुलिस वाहन
Baseball team mates standing next to each other	बेसबॉल टीम के साथी एक-दूसरे के बगल में खड़े होते हैं
people playing tennis in pink shirts	लोग गुलाबी शर्ट में टेनिस खेल रहे हैं
man crouching next to snowboard	स्नोबोर्ड के बगल में आदमी क्राउचिंग
white ceiling fan	सफेद छत का पंखा
the clock has a white face	घड़ी का रंग सफेद होता है
hay on the ground	जमीन पर घास
A wall on the side of a building	इमारत के किनारे पर एक दीवार
large tan armchair with pillow	तकिया के साथ बड़े तन कुर्सी
A wall on the side of a building	इमारत के किनारे पर एक दीवार
a blue bicycle	एक नीली साइकिल
glass on the table is upside down	तालिका का कांच नीचे से ऊपर है
name of the next stop on the bus	बस के अगले पड़ाव का नाम
three giraffes standing near each other	एक दूसरे के पास तीन जिराफ़ खड़े हैं
a man in a blue jacket	नीली जैकेट में एक आदमी
a horse-drawn cart	घोड़े की नाल वाली गाड़ी
person on the boat	नाव पर व्यक्ति
dog in the water	पानी में कुत्ता
a tan couch	एक तन सोफे
person sitting watching tennis match	टेनिस मैच देखने वाला व्यक्ति
a horse walks down the street	एक घोड़ा सड़क पर चलता है
Dead plant at the center of railings.	रेलिंग के केंद्र में मृत संयंत्र।
a brown and green hedge	एक भूरे और हरे रंग की हेज
chocolate glazed doughnuts	चॉकलेट चमकता हुआ डोनट्स
three airplanes on a runway	एक रनवे पर तीन हवाई जहाज
man and his brown horse	आदमी और उसका भूरा घोड़ा
street pole with signs	संकेतों के साथ सड़क का पोल
wooden bench with wooden slats	लकड़ी के स्लेट के साथ लकड़ी की बेंच
brightly colored van	चमकीला वैन
wooden table with two wooden chairs	दो लकड़ी की कुर्सियों के साथ लकड़ी की मेज
the head of a elephant	एक हाथी का सिर
brown and toasted bread	ब्राउन और टोस्टेड ब्रेड
brown haired women smiling	भूरे बालों वाली महिलाओं मुस्कुरा रही है
a brick in a sidewalk	एक फुटपाथ में एक ईंट
frisbee team in yellow uniforms posing for picture	तस्वीर के लिए पीली वर्दी में फ्रिस्बी टीम
boy has grey pants	लड़के के पास ग्रे पैंट है
a blue bike locked for safety	एक नीले रंग की बाइक सुरक्षा के लिए बंद
a view of glass	कांच का एक दृश्य
Round blue sign with white arrow.	सफेद तीर के साथ गोल नीला चिन्ह।
several clocks set to different time zones	कई घड़ियों अलग-अलग समय क्षेत्रों में सेट होती हैं
glass on top of desk	डेस्क के ऊपर काँच
a group of men	पुरुषों का एक समूह
a motorcycle goes up a ramp	एक मोटरसाइकिल एक रैंप पर जाती है
man is on skateboard	आदमी स्केटबोर्ड पर है
white tennis net on court	कोर्ट पर सफेद टेनिस नेट
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
a cloud-filled sky	एक बादल से भरा आकाश
Woman riding a motorcycle.	मोटरसाइकिल पर सवार महिला।
people ride atop a brightly colored elephant	लोग चमकीले रंग के हाथी के ऊपर चढ़ते हैं
red GMC pickup truck	लाल जीएमसी पिकअप ट्रक
A wall on the side of a building	इमारत के किनारे पर एक दीवार
man holding the helmet	हेलमेट पकड़े आदमी
women hold red umbrellas	महिलाओं ने लाल छाता धारण किया
A blue sky with clouds.	बादलों वाला नीला आसमान।
shiny blue train on tracks	पटरियों पर चमकदार नीली ट्रेन
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
train on train tracks	ट्रेन पटरियों पर ट्रेन
a lamp that is white in color	एक दीया जो रंग में सफेद है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
man wears metal rimmed glasses	आदमी धातु के चश्मे लगाता है
a teddy bear checking his email	एक टेडी बियर अपने ईमेल की जाँच कर रहा है
man in blue shirt behind a hanging pineapple	एक लटकते अनानास के पीछे नीली शर्ट में आदमी
a lady in a yellow shirt	एक पीले रंग की शर्ट में एक महिला
Chimney on top of a train	ट्रेन के शीर्ष पर चिमनी
blue and white label on tank of toilet	शौचालय के टैंक पर नीले और सफेद लेबल
clock on the building	इमारत पर घड़ी
a detached handle on luggage	सामान पर एक अलग संभाल
A fire water post is out of order	अग्नि पानी पोस्ट आदेश से बाहर है
a woman holding an umbrella	एक छतरी पकड़े हुए महिला
the head of a man	एक आदमी का सिर
A group of people walking into a military plane	सैन्य विमान में चलते हुए लोगों का समूह
lotion in the sink	सिंक में लोशन
window on top of building	भवन के ऊपर की खिड़की
the head of a woman	एक स्त्री का प्रमुख
bus is on the street	बस सड़क पर है
wii remote the boy is holding	wii रिमोट लड़का पकड़ रहा है
A wall on the side of a building	किसी भवन के किनारे की एक दीवार
white base of a stool	स्टूल का सफेद आधार
the head of a woman	एक महिला का सिर
white and red baseball	सफेद और लाल बेसबॉल
a tile in a floor	एक मंजिल में एक टाइल
A young girl eating a doughnut.	एक युवा लड़की एक डोनट खा रही है।
the tag on a suitcase	सूटकेस पर टैग
the helmet is red and silver	हेलमेट लाल और चांदी का है
The reflection of a person	किसी व्यक्ति के प्रतिबिंब
A man sitting in a chair.	एक कुर्सी पर बैठा आदमी।
the head of a woman	एक स्त्री का प्रमुख
man wearing hooded sweatshirt	व्यक्ति हुड्ड स्वीकारी
cat staring blankly forward	बिल्ली को घूरते हुए आगे बढ़ा
Two women are checking on something on one item...	दो महिलाएं एक वस्तु पर कुछ जांच रही हैं ...
