en	ml
the man is in the air	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
A young boy in the foreground	മുൻവശത്തുള്ള ഒരു കൊച്ചുകുട്ടി
windsheild on the bus	ബസിൽ വിൻഡ്‌ഷീൽഡ്
Coach purse.	കോച്ച് പേഴ്സ്.
a large red pot on the stove	സ്റ്റോവിൽ ഒരു വലിയ ചുവന്ന കലം
two baseball players on a field	ഒരു മൈതാനത്ത് രണ്ട് ബേസ്ബോൾ കളിക്കാർ
black boat traveling on the water	കറുത്ത ബോട്ട് വെള്ളത്തിൽ സഞ്ചരിക്കുന്നു
water is green and flowing	വെള്ളം പച്ചയും ഒഴുകുന്നതുമാണ്
the head of a man	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
Three colored cat on bench	ബെഞ്ചിൽ മൂന്ന് നിറമുള്ള പൂച്ച
sheep in the winter	ശൈത്യകാലത്തെ ആടുകൾ
Toilet seat up with water in it.	ടോയ്ലറ്റ് അതിൽ വെള്ളമുള്ള സീറ്റ്‌
Dark green fence in the background	പശ്ചാത്തലത്തിൽ ഇരുണ്ട പച്ച വേലി
stack of colorful suitcases	വർണ്ണാഭമായ സ്യൂട്ട്‌കേസുകളുടെ ശേഖരം
train tracks by station	സ്റ്റേഷനിൽ ട്രെയിൻ ട്രാക്കുകൾ
a snowy surface	മഞ്ഞുവീഴ്ചയുള്ള ഉപരിതലം
black mat on a bed frame	ബെഡ് ഫ്രെയിമിൽ കറുത്ത പായ
Man playing tennis	ദ്വീപ് ബീച്ച് രംഗം
The toilet is dirty	ടോയ്‌ലറ്റ് വൃത്തികെട്ടതാണ്
orange slice of carrot	കാരട്ടിൻ്റെ ഓറഞ്ച് ഭാഗം
a clear blue sky	ഒരു ബാഗ് കോട്ടൺ മിഠായി
the giraffe has a mouth	ജിറാഫിന് ഒരു വായയുണ്ട്
a kid riding a skateboard	സ്കേറ്റ്ബോർഡ് ഓടിക്കുന്ന ഒരു കുട്ടി
the sign for the restaurant	റെസ്റ്റോറന്റിനുള്ള അടയാളം
A bunch of yellow plantains.	ഒരു കൂട്ടം മഞ്ഞ വാഴകൾ.
Cow laying down.	പശു കിടക്കുന്നു.
a green wastebasket	ഒരു പച്ച മാലിന്യ ബാസ്‌ക്കറ്റ്
sign says elderly people	ചിഹ്നം പ്രായമായ ആളുകളെ സൂചിപ്പിക്കുന്നു
A small sheep is running.	ഒരു ചെറിയ ആട് ഓടുന്നു.
The skateboard surface is white.	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
the fence around the clock	ക്ലോക്കിന് ചുറ്റുമുള്ള വേലി
The man is wearing a black hat	മനുഷ്യൻ കറുത്ത തൊപ്പി ധരിക്കുന്നു
the right silver faucet	വലത് വെള്ളി ഫൗസ്‌റ്റ്
the monitor is turned on	മോണിറ്റർ ഓണാണ്
man is wearing a brown hat	മനുഷ്യൻ തവിട്ട് നിറത്തിലുള്ള തൊപ്പി ധരിക്കുന്നു
man on a motorcycle	ദ്വീപ് ബീച്ച് രംഗം
grilled sandwich in a basket	ഒരു കൊട്ടയിൽ ഗ്രിൽ ചെയ്ത സാൻഡ്വിച്ച്
a red vest on a woman	ഒരു സ്ത്രീയുടെ മേൽ ചുവന്ന വസ്ത്രം
goose is flying in the air	Goose വായുവിൽ പറക്കുന്നു
letter c on building	കെട്ടിടത്തിൽ സി അക്ഷരം
a shadow on the ground	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
dark orange life jacket	ഇരുണ്ട ഓറഞ്ച് ലൈഫ് ജാക്കറ്റ്
a bed in a room	ഒരു മുറിയിൽ ഒരു കിടക്ക
a dog's pink tongue	നായയുടെ പിങ്ക് നാവ്
a bunch of dishes with a meal inside	ഉള്ളിൽ ഭക്ഷണത്തോടുകൂടിയ ഒരു കൂട്ടം വിഭവങ്ങൾ
A light grey sky	ഇളം ചാരനിറത്തിലുള്ള ആകാശം
a palm tree by the side of a road	റോഡിന്റെ അരികിലുള്ള ഒരു ഈന്തപ്പന
clouds in the sky	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
top of a thatched house	പൊതിഞ്ഞ വീടിന്റെ മുകളിൽ
A bus on the street	തെരുവിൽ ഒരു ബസ്
Small colorful decorations on the white wall	വെളുത്ത ചുമരിൽ ചെറിയ വർണ്ണാഭമായ അലങ്കാരങ്ങൾ
brown dog with backpack	ബാക്ക്പാക്കിനൊപ്പം തവിട്ട് നായ
Black tire on a parked motor cycle.	ഒരു പാർക്കുചെയ്ത മോട്ടോർ സൈക്കിൾ കറുത്ത ടയർ.
Snowboarder flying through the air	സ്നോബോർഡർ വായുവിലൂടെ പറക്കുന്നു
kite in the sky.	ആകാശത്ത് പട്ടം
food on a plate	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
this giraffe looks like a tripod	ഈ ജിറാഫ് ഒരു ട്രൈപോഡ് പോലെ കാണപ്പെടുന്നു
food items ready to eat	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
extremely rough water on the ocean	സമുദ്രത്തിലെ വളരെ പരുക്കൻ വെള്ളം
a woman playing an interactive video game	ഒരു സ്ത്രീ സംവേദനാത്മക വീഡിയോ ഗെയിം കളിക്കുന്നു
the dog is brown	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
eye of the teddy bear	ടെഡി ബിയറിന്റെ കണ്ണ്
Reflection in mirror of woman taking picture	ചിത്രമെടുക്കുന്ന സ്ത്രീയുടെ കണ്ണാടിയിൽ പ്രതിഫലനം
the head of a teddy bear	ഒരു ടെഡി ബിയറിന്റെ തല
A white SUV.	ഒരു വെളുത്ത എസ്‌യുവി.
fire hydrant is yellow	അഗ്നി ജലാംശം മഞ്ഞയാണ്
HE IS HOLDING A SILVER CAMERA	അവൻ ഒരു സിൽവർ ക്യാമറ ഹോൾഡ് ചെയ്യുന്നു
person sitting on a bench	ഒരു ബെഞ്ചിൽ ഇരിക്കുന്ന വ്യക്തി
White Cooked Cauliflower	വേവിച്ച വെളുത്ത കോളിഫ്ളവർ
white sheep	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
two people are wearing goggles	രണ്ടുപേർ കണ്ണട ധരിക്കുന്നു
the sink is white	സിങ്ക് വെളുത്തതാണ്
child has their shirt pulled up over their head	കുട്ടി അവരുടെ കുപ്പായം തലയ്ക്ക് മുകളിലൂടെ വലിച്ചിട്ടു
vertical green metal street pole	നീളത്തിൽ ഉള്ള പച്ച മെറ്റൽ സ്ട്രീറ്റ് പോൾ
boat in the water	വെള്ളത്തിൽ വള്ളം
the wooden floor	മരംകൊണ്ടുള്ള തറ
glasses	കണ്ണട
Two cell phones	രണ്ട് സെൽ ഫോണുകൾ
Triangle of quiche in container	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
black and white sign	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
delicious baked pasta	രുചികരമായ ചുട്ടുപഴുപ്പിച്ച പാസ്ത
a white couch	ഒരു വെളുത്ത കിടക്ക
remote on the bed	കട്ടിലിൽ വിദൂരമായി
The scissors are gold	കത്രിക സ്വർണ്ണമാണ്
man wearing orange safety vest	ഓറഞ്ച് സുരക്ഷാ വസ്ത്രം ധരിച്ച മനുഷ്യൻ
Two men on horses	കുതിരപ്പുറത്ത് രണ്ടുപേർ
a light blue plane design	ഇളം നീല തലം രൂപകൽപ്പന
red sauce on the pizza	പിസ്സയിൽ ചുവന്ന സോസ്
head of zebra in window	വിൻഡോയിലെ സീബ്രയുടെ തല
a male that is surfing	സർഫിംഗ് ചെയ്യുന്ന ഒരു പുരുഷൻ
woman surfing	സ്ത്രീ സർഫിംഗ്
Bushel of apples on the ground.	നിലത്ത് ആപ്പിളിന്റെ ബുഷെൽ.
train at a platform	ഒരു പ്ലാറ്റ്ഫോമിൽ പരിശീലനം
person is playing tennis	കുഞ്ഞ് ആന
soccer goalie	സോക്കർ ഗോളി
Curled white receipt on the table	മേശപ്പുറത്ത് ചുരുണ്ട വെളുത്ത രസീത്
Three horses are on the ground	മൂന്ന് കുതിരകൾ നിലത്തുണ്ട്
a computer mouse	ഒരു ബാഗ് കോട്ടൺ മിഠായി
man wearing blue jeans	നീല ജീൻസ് ധരിച്ച മനുഷ്യൻ
Watch on woman's wrist	സ്ത്രീയുടെ കൈത്തണ്ടയിൽ വാച്ച്
shallow body of water	ആഴമില്ലാത്ത വെള്ളം
child sitting on boat	കുട്ടി വള്ളത്തിൽ ഇരിക്കുന്നു
glass of wine on table	മേശപ്പുറത്ത് ഒരു ഗ്ലാസ് വീഞ്ഞ്
A woman wearing white pants	വെളുത്ത പാന്റ്സ് ധരിച്ച ഒരു സ്ത്രീ
The samosa is on top of the carrots	കാരറ്റിന് മുകളിലാണ് സമോസ
A skateboarder in the middle of a trick	ഒരു ട്രിക്കിന്റെ മധ്യത്തിൽ ഒരു സ്കേറ്റ്ബോർഡർ
a picture on the wall	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
Ball player wearing a blue helmet	നീല ഹെൽമെറ്റ് ധരിച്ച ബോൾ പ്ലെയർ
fire hydrant is a pink color not red	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
bird standing on the grass	പക്ഷി പുല്ലിൽ നിൽക്കുന്നു
clock with roman numeral numbers	റോമൻ അക്ക സംഖ്യകളുള്ള ക്ലോക്ക്
this is inside of a car	ഇത് ഒരു കാറിനുള്ളിലാണ്
ski pole buried in the snow	ഹിമത്തിൽ കുഴിച്ചിട്ട സ്കീ പോൾ
this is at a market	ഇത് ഒരു ചന്തയിലാണ്
This is a coffee table	ഇതൊരു കോഫി ടേബിളാണ്
a microwave on the counter	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
An older man with grey hair	നരച്ച മുടിയുള്ള ഒരു വൃദ്ധൻ
Round pizza in dish	വിഭവത്തിൽ റൗണ്ട് പിസ്സ
a behind of animal	മൃഗത്തിന്റെ പിന്നിൽ
tall white electrical cords	ഉയരമുള്ള വെളുത്ത വൈദ്യുത ചരടുകൾ
laptop on top of the desk	ഡെസ്‌ക്കിന് മുകളിൽ ലാപ്‌ടോപ്പ്
snow covered mountain	മഞ്ഞുമൂടിയ പർവ്വതം
jelly filling coming out of a hole	ഒരു ദ്വാരത്തിൽ നിന്ന് ജെല്ലി പൂരിപ്പിക്കൽ
white clouds in blue sky	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
dirty tissue on the floor	തറയിൽ വൃത്തികെട്ട ടിഷ്യു
This man is surfing	ഈ മനുഷ്യൻ സർഫിംഗ് ചെയ്യുന്നു
The man is surfing	മനുഷ്യൻ സർഫിംഗ് ചെയ്യുന്നു
Round red and white sign	ചുവപ്പും വെള്ളയും അടങ്ങിയ അടയാളം
tire on the car	കാറിൽ ടയർ
the back of a truck.	ഒരു ട്രക്കിന്റെ പുറകിൽ.
the wheel on a bus	ഒരു ബസ്സിലെ ചക്രം
small white infant child	ചെറിയ വെളുത്ത ശിശു കുട്ടി
trucks against the building	കെട്ടിടത്തിനു നേരെ ട്രക്കുകൾ
a white baseball	ഒരു വെളുത്ത ബേസ്ബോൾ
man is wearing a red and white snowsuit	മനുഷ്യൻ ചുവപ്പും വെള്ളയും സ്നോ‌സ്യൂട്ട് ധരിക്കുന്നു
these are train tracks	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
A train pulling into a train station	ഒരു ട്രെയിൻ ഒരു ട്രെയിൻ സ്റ്റേഷനിലേക്ക് വലിക്കുന്നു
calico cat on computer keyboard	കമ്പ്യൂട്ടർ കീബോർഡിൽ കാലിക്കോ ക്യാറ്റ്
a steel barrier behind the umbrella	കുടയുടെ പിന്നിൽ ഒരു ഉരുക്ക് തടസ്സം
Shadow of frisbee on grass	പുല്ലിൽ ഫ്രിസ്‌ബിയുടെ നിഴൽ
Palm tree with green fronds	പച്ച ഫ്രണ്ടുകളുള്ള ഈന്തപ്പന
The person is getting some exercise	വ്യക്തിക്ക് കുറച്ച് വ്യായാമം ലഭിക്കുന്നു
Life written on a napkin	ജീവിതം ഒരു തൂവാലയിൽ എഴുതി
Red hat with white writing	വെളുത്ത എഴുത്ത് ഉള്ള ചുവന്ന തൊപ്പി
an elderly man selling watermelons.	തണ്ണിമത്തൻ വിൽക്കുന്ന ഒരു വൃദ്ധൻ.
watermark of the photographer	ഫോട്ടോഗ്രാഫറുടെ വാട്ടർമാർക്ക്
Brown vase on cabinet.	കാബിനറ്റിൽ ബ്രൗൺ വാസ്.
post it note on tv screen	ടിവി സ്ക്രീനിൽ കുറിപ്പ് പോസ്റ്റുചെയ്യുക
man sitting on bench	മനുഷ്യൻ ബെഞ്ചിൽ ഇരിക്കുന്നു
the giraffe is eating	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
an elephant in shadow	നിഴലിൽ ആന
a person standing on the grass	പുല്ലിൽ നിൽക്കുന്ന ഒരാൾ
a man sitting on a chair	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
a round white plate	ഒരു വൃത്താകൃതിയിലുള്ള വെളുത്ത പ്ലേറ്റ്
product sticker on skateboard	സ്കേറ്റ്ബോർഡിലെ ഉൽപ്പന്ന സ്റ്റിക്കർ
clock in tower	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
Happy cat lying on black backpack	കറുത്ത ബാക്ക്പാക്കിൽ കിടക്കുന്ന സന്തോഷകരമായ പൂച്ച
the zebra	സീബ്ര
man playing frisbee in a park	ഒരു പാർക്കിൽ ഫ്രിസ്‌ബീ കളിക്കുന്ന മനുഷ്യൻ
a scene outside	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
Plate with pizza on it	പിസ്സ അടങ്ങിയ പാത്രം
stuffed animal are on display at a park	സ്റ്റഫ് ചെയ്ത മൃഗങ്ങൾ ഒരു പാർക്കിൽ പ്രദർശിപ്പിച്ചിരിക്കുന്നു
the front wheel of a bike	ഒരു ബൈക്കിന്റെ മുൻ ചക്രം
01 on the train	ട്രെയിനിൽ 01
the tank is by the wall	ടാങ്ക് മതിലിനടുത്താണ്
Two women sitting on a park bench	പാർക്ക് ബെഞ്ചിൽ ഇരിക്കുന്ന രണ്ട് സ്ത്രീകൾ
White pillar on the side of a building.	ഒരു കെട്ടിടത്തിന്റെ വശത്ത് വെളുത്ത സ്തംഭം.
bus parked on the road	ബസ് റോഡിൽ നിർത്തിയിരിക്കുന്നു
White big bus	വെളുത്ത വലിയ ബസ്
Red bus	റെഡ് ബസ്
a train on the tracks.	പാതയിലെ ഒരു തീവണ്ടി
Green letter exit sign	പച്ച അക്ഷര എക്സിറ്റ് ചിഹ്നം
man bending over yard	മനുഷ്യൻ മുറ്റത്ത് വളയുന്നു
the cow is brown	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
a military jet on the runway	റൺവേയിൽ ഒരു സൈനിക ജെറ്റ്
this is a hat	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
person floating in river	നദിയിൽ പൊങ്ങിക്കിടക്കുന്ന വ്യക്തി
shadow on the ground	നിലത്ത് നിഴൽ
The rocking horse is vintage.	മരകുതിര വിന്റേജ് ആണ്.
a scene outside	ഒരു കറുത്ത ട്രാഷ് ബാഗ്.
two people watching the skyline	രണ്ട് ആളുകൾ സ്കൈലൈൻ കാണുന്നു
There are some antlers here	ചില മൻകൊമ്പ് ഇവിടെയുണ്ട്
A red sign	ഒരു ചുവന്ന അടയാളം
a black cat with white socks	വെളുത്ത സോക്സുള്ള ഒരു കറുത്ത പൂച്ച
two people in front a whiteboard	വൈറ്റ്ബോർഡിന് മുന്നിൽ രണ്ടുപേർ
a dark gray house cat	ഇരുണ്ട ചാരനിറത്തിലുള്ള വീട്ടിലെ പൂച്ച
Outdoor swimming pool filled with light blue water	ഇളം നീല വെള്ളം നിറഞ്ഞ പുറത്തെ നീന്തൽക്കുളം
two people standing on large platform	വലിയ പ്ലാറ്റ്ഫോമിൽ നിൽക്കുന്ന രണ്ടുപേർ
cat in a suitcase	ഒരു സ്യൂട്ട്‌കേസിലെ പൂച്ച
Two people at the desk	ഡെസ്‌കിൽ രണ്ടുപേർ
Red traffic light on street	തെരുവിൽ ചുവന്ന ട്രാഫിക് ലൈറ്റ്
small brown dog with large ears in air	വായുവിൽ വലിയ ചെവികളുള്ള ചെറിയ ബ്രൗൺ നായ
A woman with long blonde hair	നീളമുള്ള സുന്ദരമായ മുടിയുള്ള ഒരു സ്ത്രീ
RED NAPKIN ON THE TABLE	കുഞ്ഞ് ആന
A skateboarder using a skate ramp	സ്കേറ്റ് റാമ്പ് ഉപയോഗിക്കുന്ന സ്കേറ്റ്ബോർഡർ
a living room with pink walls	പിങ്ക് മതിലുകളുള്ള ഒരു സ്വീകരണമുറി
Square blue metal sign	ചതുര നീല മെറ്റൽ ചിഹ്നം
the head of a man	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
Man wearing a green shirt	പച്ച ഷർട്ട് ധരിച്ച മനുഷ്യൻ
Person walking dog in snow	മഞ്ഞിൽ‌ നടക്കുന്ന വ്യക്തിയും നായയും
brown cow in green field	പച്ച വയലിൽ തവിട്ട് പശു
statue on floor	തറയിലെ പ്രതിമ
two men posing on tennis court	രണ്ടുപേർ ടെന്നീസ് കോർട്ടിൽ പോസ് ചെയ്യുന്നു
A white and brown pittbull	വെള്ളയും തവിട്ടുനിറവുമുള്ള പിറ്റ്ബുൾ
a pink flower	ഒരു പിങ്ക് പുഷ്പം
several little girls playing a soccer game	നിരവധി കൊച്ചു പെൺകുട്ടികൾ ഒരു സോക്കർ കളി കളിക്കുന്നു
mustache on the man	മനുഷ്യന്റെ മീശ
A post with street signs	തെരുവ് അടയാളങ്ങളുള്ള ഒരു പോസ്റ്റ്
silver single serve coffee pot	സിൽവർ സിംഗിൾ സെർവ് കോഫി പോട്ട്
light bulb coming from ceiling	സീലിംഗിൽ നിന്ന് വരുന്ന ലൈറ്റ് ബൾബ്
white sock	വെളുത്ത സോക്ക്
Picture taken in a bathroom	ഒരു കുളിമുറിയിൽ ചിത്രം എടുത്തു
Brown wood next to a big white bear.	ഒരു വലിയ വെളുത്ത കരടിയുടെ അടുത്തുള്ള തവിട്ട് മരം.
sticks on the plant	ചെടിയിൽ തണ്ടുകൾ
caramel glazed popcorn	കാരാമൽ ഗ്ലേസ്ഡ് പോപ്‌കോൺ
The bike has a mirror.	ബൈക്കിന് ഒരു കണ്ണാടി ഉണ്ട്.
the sidewalk	ചാരനിറത്തിലുള്ള റോഡിന്റെ വശങ്ങളിൽ പച്ച പുല്ലിന്റെ സ്ട്രിപ്പുകൾ
White male smiling face	വെളുത്ത പുരുഷ പുഞ്ചിരിക്കുന്ന മുഖം
the head of a giraffe	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
the shadow of the truck	ട്രക്കിന്റെ നിഴൽ
orange train engine	ഓറഞ്ച് തീവണ്ടി എഞ്ചിൻ
the number 841 in black	കറുപ്പിൽ 841 അക്കം
black and white striped zebra	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
bench on the ground	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
Blue tennis court on the ground.	മൈതാനത്ത് നീല ടെന്നീസ് കോർട്ട്.
Black and whtie zebra in the field	വയലിൽ കറുപ്പും വെളുപ്പും സീബ്ര
Lady eating a hot dog at the game.	കളിയിൽ ഒരു ഹോട്ട് ഡോഗ് കഴിക്കുന്ന ലേഡി.
zebras in the watering hole	നനവ് ദ്വാരത്തിലെ സീബ്രകൾ
the white handles of scissors	കത്രികയുടെ വെളുത്ത പിടികൾ
keyboard on the desk	കീബോർഡ് ഡെസ്‌കിൽ
Ducks in the shot	ഷോട്ട് ഡക്ക്
umpire behind the catcher	ക്യാച്ചറിന് പിന്നിൽ അമ്പയർ
tie on the man	മനുഷ്യനെ കെട്ടുക
a baby wearing a white jacket	വെളുത്ത ജാക്കറ്റ് ധരിച്ച ഒരു കുഞ്ഞ്
Decorative vase on end table	മേശയുടെ അറ്റത്ത് അലങ്കാര ചട്ടി
Brown horse standing in the street	തെരുവിൽ നിൽക്കുന്ന ബ്രൗൺ നിറത്തിലുള്ള കുതിര
a smoked meat with mustard	കടുക് ചേർത്ത് പുകകൊണ്ടുണ്ടാക്കിയ മാംസം
The letter is black.	ഒരു ജിറാഫ് പുല്ല് തിന്നുന്നു
light blue overstuffed armchair	ഇളം നീല നിറത്തിലുള്ള കസേര
Three people riding horses	കുതിരപ്പുറത്തു യാത്ര ചെയുന്ന മൂന്നുപേർ
Blue tennis out fit on a girl's body.	ഒരു പെൺകുട്ടിയുടെ ശരീരത്തിൽ നീല ടെന്നീസ് out ട്ട് ഫിറ്റ്.
waffle with powdered sugar	പൊടിച്ച പഞ്ചസാര ഉപയോഗിച്ച് വാഫിൾ
piece of a tennis outfit	ഒരു ടെന്നീസ് വസ്ത്രത്തിന്റെ കഷണം
the bear is black	കരടി കറുത്തതാണ്
man holding a tennis racket	ദ്വീപ് ബീച്ച് രംഗം
Dog and a man on a surf board	നായയും സർഫ് ബോർഡിലുള്ള ഒരാളും
a brown donkey on a mountain	ഒരു പർവതത്തിൽ തവിട്ടുനിറമുള്ള കഴുത
candles on the cake	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
the front of the train has two illuminated lights	ട്രെയിനിന്റെ മുൻവശത്ത് രണ്ട് പ്രകാശമാനമായ ലൈറ്റുകൾ ഉണ്ട്
two men and a woman	രണ്ട് പുരുഷന്മാരും ഒരു സ്ത്രീയും
Large black and white sign	വലിയ കറുപ്പും വെളുപ്പും അടയാളം
Blue and grey bird	നീലയും ചാരയും നിറത്തിലുള്ള പക്ഷി
part of a white chair	ഒരു വെളുത്ത കസേരയുടെ ഭാഗം
sign says all way	ചിഹ്നം എല്ലാ വഴികളിലും പറയുന്നു
sunglasses on man's head	ചുവപ്പ് വെള്ള, നീല തലം എഞ്ചിൻ
white controller in hand	കയ്യിൽ വെളുത്ത കണ്ട്രോളർ
shirtless men on street	തെരുവിൽ നിസ്സാരരായ പുരുഷന്മാർ
this is a little kid	ഇതൊരു കൊച്ചുകുട്ടിയാണ്
the clock is on the chair	ക്ലോക്ക് കസേരയിലാണ്
kite in air	വായുവിൽ ഉള്ള കൈറ്റ്
Green skateboard up under a person's feet.	ഒരു വ്യക്തിയുടെ കാലിനടിയിൽ പച്ച സ്കേറ്റ്ബോർഡ്.
Asian woman in glasses	ഗ്ലാസുകളിൽ ഏഷ്യൻ സ്ത്രീ
The head of the child	കുട്ടിയുടെ തല
Short orange colored hair	ചെറിയ ഓറഞ്ച് നിറമുള്ള മുടി
An old school cell phone	ഒരു പഴയ സ്കൂൾ സെൽ ഫോൺ
white and black no camping sign	വെള്ളയും കറുപ്പും ക്യാമ്പിംഗ് ചിഹ്നമില്ല
Two giraffes standing next to each other.	രണ്ട് ജിറാഫുകൾ പരസ്പരം നിൽക്കുന്നു.
Small tiles on a bathroom floor	ഒരു ബാത്ത്റൂം തറയിൽ ചെറിയ ടൈലുകൾ
a red stop sign with a white border	വെളുത്ത ബോർഡറുള്ള ചുവന്ന സ്റ്റോപ്പ് ചിഹ്നം
an emergency truck on the road	വഴിയിൽ ഒരു അടിയന്തര ട്രക്ക്
Kids that are singing.	പാടുന്ന കുട്ടികൾ.
a woman behind three ginger bread houses	മൂന്ന് ഇഞ്ചി റൊട്ടി വീടുകൾക്ക് പിന്നിൽ ഒരു സ്ത്രീ
a white plate under the pizza	പിസ്സയുടെ കീഴിൽ ഒരു വെളുത്ത പ്ലേറ്റ്
this young lad has red hair	ഈ ചെറുപ്പക്കാരന് ചുവന്ന മുടിയുണ്ട്
green train engine	പച്ച ട്രെയിൻ എഞ്ചിൻ
a big beige wall.	ഒരു വലിയ ബെയ്ജ് മതിൽ.
cows are in a field	പശുക്കൾ ഒരു വയലിലാണ്
white sheep in field	വയലിൽ വെളുത്ത ആടുകൾ
red and white plane	കുഞ്ഞ് ആന
The motorcycle is white.	മോട്ടോർ സൈക്കിൾ വെളുത്തതാണ്.
a white motorcycle	ഒരു വെളുത്ത മോട്ടോർസൈക്കിൾ
A man wearing black	കറുപ്പ് ധരിച്ച ഒരാൾ
Blender on top of a shelf	ഒരു അലമാരയുടെ മുകളിൽ ബ്ലെൻഡർ
the locomotive of a passenger train	ഒരു പാസഞ്ചർ ട്രെയിനിന്റെ ലോക്കോമോട്ടീവ്
Man riding horse	മനുഷ്യൻ കുതിരസവാരി
Flat square bread on a plate	ഒരു പ്ലേറ്റിൽ ചതുരകൃതിയിൽ ഉള്ള നിരപ്പായ റൊട്ടി
older woman wearing salmon holding blue coffee cup	നീല കോഫി കപ്പ് കൈവശമുള്ള സാൽമൺ ധരിച്ച വൃദ്ധ
hands on face	മുഖത്ത് കൈകൾ
A person on the road	റോഡിൽ ഒരാൾ
flower on tile wall	ടൈൽ ഭിത്തിയിൽ പുഷ്പം
two bears are playing	രണ്ട് കരടികൾ കളിക്കുന്നു
glass window on vehicle	വാഹനത്തിലെ കണ്ണാടി ജാലകം
a young man running	ഒരു യുവാവ് ഓടുന്നു
Turquoise-colored blue plate	ടർക്കോയ്‌സ് നിറമുള്ള നീല പ്ലേറ്റ്
double decker bus on street	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
windows on the building	ഒരു കെട്ടിടത്തിലെ വലിയ വിൻഡോ
Bench sitting on sidewalk	ഫുട്പാത്തിൽ ഇരിക്കുന്ന ബെഞ്ച്
picture hanging on the wall	ചിത്രം ചുമരിൽ തൂക്കിയിരിക്കുന്നു
they are riding horses	അവർ കുതിര സവാരി ചെയ്യുന്നു
The man is on a surfboard.	മനുഷ്യൻ സർഫ്ബോർഡിലാണ്.
book on the shelf	അലമാരയിൽ വെച്ചിരിക്കുന്ന പുസ്തകം
Breakfast on a table	ഒരു മേശയിൽ പ്രഭാതഭക്ഷണം
white container of cooking spoons	പാചക തവികളുടെ വെളുത്ത പാത്രം
Baseball batter at home plate	ഹോം പ്ലേറ്റിൽ ബേസ്ബോൾ ബാറ്റർ
person at a table	ഒരു മേശയിലിരിക്കുന്ന വ്യക്തി
a bricked wall full of bricks.	ഇഷ്ടികകൾ കൊണ്ട് നിർമ്മിച്ച ഇഷ്ടിക മതിൽ.
brown furry bear	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
multi color quilt square	കുഞ്ഞ് ആന
geisha looking woman in photo	വർണ്ണാഭമായ സ്കാർഫ് ധരിച്ച ഒരു സ്ത്രീ
Toilet in a showroom window	ഒരു ഷോറൂം വിൻഡോയിൽ ടോയ്‌ലറ്റ്
bright chair on boat	ബോട്ടിൽ ശോഭയുള്ള കസേര
Kite flying in the sky.	ആകാശത്ത് പറക്കുന്ന കൈറ്റ്.
brown wooden fence slat	തവിട്ട് തടി വേലി സ്ലാറ്റ്
a track in snow	മഞ്ഞുവീഴ്ചയിൽ ഒരു ട്രാക്ക്
jet has black landing gear	ജെറ്റിന് കറുത്ത ലാൻഡിംഗ് ഗിയർ ഉണ്ട്
blue and white posters	നീലയും വെള്ളയും പോസ്റ്ററുകൾ
