en	ml
grey characters on a sign	ഒരു ചിഹ്നത്തിലെ ചാരനിറത്തിലുള്ള പ്രതീകങ്ങൾ
players are playing baseball.	കളിക്കാർ ബേസ്ബോൾ കളിക്കുന്നു.
block for bench feet	ബെഞ്ച് ഫീറ്റിനായുള്ള ബ്ലോക്കുകൾ
cross structures for bridge support	ബ്രിഡ്ജ് പിന്തുണയ്ക്കുള്ള ക്രോസ്സ് സ്ട്രക്ചറുകൾ
A small wave forms on the water.	ഒരു ചെറിയ തരംഗം വെള്ളത്തിൽ രൂപം കൊള്ളുന്നു.
white forms on a keyboard	ഒരു കീബോർഡിൽ വെളുത്ത ഫോമുകൾ
knife on the chopping block	ചോപ്പിംഗ് ബ്ലോക്കിലെ കത്തി
Black block with number on it	നമ്പറുള്ള കറുത്ത ബ്ലോക്ക്
Two press buttons of the sweater	സ്വെറ്ററിന്റെ രണ്ട് പ്രസ്സ് ബട്ടണുകൾ
Screen of second laptop on desk	ഡെസ്‌കിലെ രണ്ടാമത്തെ ലാപ്‌ടോപ്പിന്റെ സ്‌ക്രീൻ
date in red letters and numerals	ചുവന്ന അക്ഷരങ്ങളിലും അക്കങ്ങളിലും ഉള്ള തീയതി
a block, yellow, and white baseball uniform	ഒരു ബ്ലോക്ക്, മഞ്ഞ, വെള്ള ബേസ്ബോൾ യൂണിഫോം
A tin container decorated with Star Wars characters and themes	സ്റ്റാർ വാർസ് പ്രതീകങ്ങളും തീമുകളും കൊണ്ട് അലങ്കരിച്ച ഒരു ടിൻ കണ്ടെയ്നർ
characters are posted in Chinese	പ്രതീകങ്ങൾ ചൈനീസ് ഭാഷയിൽ പോസ്റ്റുചെയ്‌തു
woman in back of a court	ഒരു കോർട്ടിന്റെ പിന്നിലുള്ള സ്ത്രീ
a romantic date night	ഒരു റൊമാന്റിക് ഡേറ്റ് രാത്രി
A skier going down fast on a slope	ഒരു ചരി വിൽ വേഗത്തിൽ താഴേക്ക് പോകുന്ന ഒരു സ്കയർ
Two tennis players standing together	രണ്ട് ടെന്നീസ് കളിക്കാർ ഒരുമിച്ച് നിൽക്കുന്നു
One person on the court	കളിസ്ഥലത്തു ഒരാൾ
Brown tennis court with white lines.	വെളുത്ത വരകളുള്ള ബ്രൗണ് ടെന്നീസ് കോർട്ട്.
two players in orange and white sitting on sidelines	ഓറഞ്ച്, വൈറ്റ് നിറങ്ങളിലുള്ള രണ്ട് കളിക്കാർ വശങ്ങളിലായി ഇരിക്കുന്നു
A person below the date	തീയതിക്ക് താഴെയുള്ള ഒരു വ്യക്തി
english muffin with egg and hollandaise	മുട്ടയും ഹോളണ്ടൈസും ഉള്ള ഇംഗ്ലീഷ് മഫിൻ
silver and black French press coffee pot	വെള്ളിയും, കറുപ്പും ഫ്രഞ്ച് പ്രസ്സ് കോഫി പോട്ട്
a motorcycle side stand	ഒരു മോട്ടോർസൈക്കിൾ സൈഡ് സ്റ്റാൻഡ്
wood cross	മരം കുരിശ്
a blue and white cross walk sign	നീലയും വെള്ളയും ക്രോസ് വാക്ക് ചിഹ്നം
section of fine gray sand	ചാരനിറത്തിലുള്ള മണലിന്റെ ഭാഗം
a wooden block of knives	കത്തികളുടെ തടി
fast food chicken patty	ഫാസ്റ്റ് ഫുഡ് ചിക്കൻ പാറ്റി
A motorcyclist driving very fast	ഒരു മോട്ടോർ സൈക്കിൾ യാത്രക്കാരൻ വളരെ വേഗത്തിൽ ഓടിക്കുന്നു
stone block building side	കല്ല് കൊണ്ട് നിർമിതമായ കെട്ടിടം
Number of court on the wall.	ചുമരിലെ കോർട്ടിന്റെ എണ്ണം.
logo stamp on the door	വാതിലിലെ ലോഗോ സ്റ്റാമ്പ്
tennis court in bounds area for doubles play	ടെന്നീസ് കോർട്ടിലെ ഡബിൾസ് കളിക്കാനായിട്ടുള്ള ബൌഡറി ഏരിയ
fine white spray against nose of craft	കരകൗശലത്തിന്റെ മൂക്കിന് നേരെ വെളുത്ത സ്പ്രേ
box springs with flower print	പുഷ്പ പ്രിന്റുള്ള ബോക്സ് സ്പ്രിങ്ങുകൾ
White boundary lines on the tennis court.	ടെന്നീസ് കോർട്ടിൽ വെളുത്ത അതിർത്തി ലൈനുകൾ.
block behind the woman	സ്ത്രീയുടെ പിന്നിൽ ബ്ലോക്ക്
A grey rock wall forms a boundary of the enclosure	ചാരനിറത്തിലുള്ള ഒരു പാറ മതിൽ ചുറ്റുമതിലിന്റെ അതിർത്തിയായി മാറുന്നു
the sign has white characters	ചിഹ്നത്തിൽ വെളുത്ത പ്രതീകങ്ങളുണ്ട്
a white line a cross the field	ഫീൽഡിനു കുറുകെ ഒരു വെളുത്ത വര
the judge's chair by the court	കളിസ്ഥലത്തു വിധികർത്താവിന്റെ കസേര
An electronic display showing the date	തീയതി കാണിക്കുന്ന ഒരു ഇലക്ട്രോണിക് ഡിസ്പ്ലേ
window planters outside second story	രണ്ടാമത്തെ നിലക്ക് പുറത്തുള്ള ജനാല ഉദ്യാനം
Windows logo stamp on laptop.	ലാപ്‌ടോപ്പിൽ വിൻഡോസ് ലോഗോ സ്റ്റാമ്പ്.
The characters 9F on the side of a plane	ഒരു വിമാനത്തിന്റെ വശത്തുള്ള 9 എഫ് പ്രതീകങ്ങൾ
A second sandwich on a wrapper.	ഒരു റാപ്പറിൽ രണ്ടാമത്തെ സാൻഡ്‌വിച്ച്.
tennis court marked with white color	വെളുത്ത നിറത്തിൽ അടയാളപ്പെടുത്തിയ ടെന്നീസ് കോർട്ട്
women waiting to cross	കടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീകൾ
fast food in the backgrond	ബാക്ക്ഗ്രൗണ്ടിലെ ഫാസ്റ്റ് ഫുഡ്
foreign characters on the vehicle's side	വാഹനത്തിന്റെ വശത്തുള്ള വിദേശ പ്രതീകങ്ങൾ
Blue garbage can on second floor.	രണ്ടാം നിലയിൽ നീല ചവറ്റുകുട്ട.
large patch of grass next to fast food restaurant	ഫാസ്റ്റ്ഫുഡ് റെസ്റ്റോറന്റിന് അടുത്തുള്ള വലിയ പറമ്പ്
white Asian language characters painted on middle of street	തെരുവിന്റെ മധ്യത്തിൽ വരച്ച വെളുത്ത ഏഷ്യൻ ഭാഷാ പ്രതീകങ്ങൾ
brown wooden stairs leading to second floor	രണ്ടാം നിലയിലേക്ക് നയിക്കുന്ന തവിട്ട് തടി പടികൾ
a green part of a tennis court.	ടെന്നീസ് കോർട്ടിന്റെ ഒരു പച്ച ഭാഗം.
A man stand next to a jeep.	ഒരാൾ ജീപ്പിന്റെ അരികിൽ നിൽക്കുന്നു.
ginger with fair skin, orange hair, billions of freckles, and glasses	ചുണയുള്ള വെളുത്ത നിറം, ഓറഞ്ച് മുടി, നിറയെ കാക്കപ്പുള്ളികലും കണ്ണാടിയും
black metal cross-walk light	കറുത്ത മെറ്റൽ ക്രോസ്സ്-വാക്ക് ലൈറ്റ്
Oranges on a fruit stand	ഫ്രൂട്ട് സ്റ്റാൻഡിലെ ഓറഞ്ച്
a man in front of a produce stand	ഒരു മനുഷ്യൻ കടയുടെ മുന്നിൽ നിൽക്കുന്നു
a green Christmas tree stand	ഒരു പച്ച ക്രിസ്മസ് ട്രീ സ്റ്റാൻഡ്
books in a black stand	കറുത്ത സ്റ്റാന്റിലെ പുസ്തകങ്ങൾ
Red and white Stop sign with characters in a non-English language	ഇംഗ്ലീഷ് ഇതര ഭാഷയിൽ ചുവപ്പും വെള്ളയും നിർത്തുക പ്രതീകങ്ങളുള്ള അടയാളം
a block lower half of a wall	ഒരു മതിലിന്റെ താഴത്തെ പകുതി
date and time of picture	ചിത്രത്തിന്റെ തീയതിയും സമയവും
power lines cross in the air	വൈദ്യുതി ലൈനുകൾ വായുവിൽ കടന്നുപോകുന്നു
The items on the top shelf have painted characters on them	മുകളിലെ ഷെൽഫിലെ ഇനങ്ങളിൾ പ്രതീകങ്ങൾ വരച്ചിട്ടുണ്ട്
microphone on the court	കോർട്ടിൽ മൈക്രോഫോൺ
second man looking over first's shoulder	ആദ്യ മനുഷ്യന്റെ തോളിൽ നോക്കുന്ന രണ്ടാമത്തെ മനുഷ്യൻ
thumb press into a doughnut	ഒരു ഡോണറ്റിലേക്ക് തള്ളവിരൽ അമർത്തിയത്
name and date in the corner	മൂലയിലുള്ള പേരും തീയതിയും
a colorful display lighted characters	വർണ്ണാഭമായ ഡിസ്‌പ്ലേ ലൈറ്റ് ചെയ്ത പ്രതീകങ്ങൾ
a block wall behind the man	മനുഷ്യന്റെ പുറകിൽ ഒരു മതിൽ
The speaker on the stand	സ്‌പീക്കർ സ്റ്റാൻഡിൽ നിൽക്കുന്നു
the time stamp sitting in the corner	മൂലയിൽ ഇരിക്കുന്ന ടൈം സ്റ്റാമ്പ്
guy's hand trying to block the camera	ക്യാമറ തടയാൻ ശ്രമിക്കുന്ന ആളുടെ കൈ
a cross sign on top of the tower	ഗോപുരത്തിന് മുകളിൽ ഒരു ക്രോസ് ചിഹ്നം
train going by fast	വേഗത്തിൽ പോകുന്ന ട്രെയിൻ
The white ice models in the room.	മുറിയിലെ വെളുത്ത ഐസ് മോഡലുകൾ.
black remote on the tv stand	ടിവി സ്റ്റാൻഡിലെ കറുത്ത റിമോട്ട്
second hand on clock	ക്ലോക്കിലെ മിനിറ്റ് സൂചി
a red sign advertising a fun fair	രസകരമായ മേള പരസ്യം ചെയ്യുന്ന ചുവന്ന ചിഹ്നം
top glass block in wall	മതിലിലെ ടോപ്പ് ഗ്ലാസ് ബ്ലോക്ക്
green baseball field with players on it	പച്ച ബേസ്ബോൾ ഫീൽഡിൽ കളിക്കാർ
A large pipe extending from the wall of the court.	കോർട്ടിന്റെ മതിലിൽ നിന്ന് നീളുന്ന ഒരു വലിയ പൈപ്പ്.
a fine skateboard	ഒരു ഫൈൻ സ്കേറ്റ്ബോർഡ്
french press coffee maker on the table	ഫ്രഞ്ച് പ്രസ്സ് കോഫി നിർമാതാവ് മേശപ്പുറത്ത്
fast moving ball towards home plate	ഹോം പ്ലേറ്റിലേക്ക് വേഗത്തിൽ നീങ്ങുന്ന പന്ത്
A stand with devices on it and wires behind it.	അതിൽ ഉപകരണങ്ങളും പിന്നിൽ വയറുകളുമുള്ള ഒരു തട്ട്
a a block in a wall	ആ ഒരു ബ്ലോക്ക് ഉള്ള മതിൽ
fine china plate with gold rim	സ്വർണ്ണ വരയുള്ള ചൈന പ്ലേറ്റ്
the combs are fine	നല്ല ചീപ്പുകൾ
two players watching the batter	രണ്ട് കളിക്കാർ ബാറ്റർ കാണുന്നു
Yellow criss cross on the street by train.	ട്രെയിനിൽ നിന്ന് തെരുവിലേക്ക് മഞ്ഞ ക്രിസ്സ് ക്രോസ്.
time and date stamp on the photograph	ഫോട്ടോയിലെ സമയവും തീയതിയും സ്റ്റാമ്പ്
black iron gate with white cross	വെളുത്ത കുരിശുള്ള കറുത്ത ഇരുമ്പ് ഗേറ്റ്
the white cross on the flag	പതാകയിലെ വെളുത്ത കുരിശ്
a pole of a lamp stand	വിളക്ക് സ്റ്റാന്റിന്റെ ഒരു പോൾ
neutral makeup on both rain models	രണ്ട് മോഡലുകളിലും ന്യൂട്രൽ മേക്കപ്പ്
large green bench press on the table	വലിയ പച്ച ബെഞ്ച് പ്രസ്സ് മേശപ്പുറത്ത്
a red cross on the paper	കടലാസിലെ ഒരു ചുവന്ന കുരിശ്
cartoon characters on the bottle	കുപ്പിയിലെ കാർട്ടൂൺ പ്രതീകങ്ങൾ
ridged metal pole stand to a large clock	വരമ്പുകൾ ഉള്ള മെറ്റൽ പോൾ ഒരു വലിയ ക്ലോക്കിലേക്ക് നിൽക്കുന്നു
the second hand on the clock	ക്ലോക്കിന്റെ രണ്ടാമത്തെ കൈ
red ground of a tennis court	ഒരു ടെന്നീസ് കോർട്ടിന്റെ ചുവന്ന നിലം
the players lean on the fence	കളിക്കാർ വേലിയിൽ ചാഞ്ഞു നില്ക്കുന്നു
A small grey block on the median	മീഡിയനിലെ ഒരു ചെറിയ ചാരനിറത്തിലുള്ള ബ്ലോക്ക്
pole behind second baseman	രണ്ടാമത്തെ ബേസ്മാന്റെ പിന്നിലുള്ള പോൾ
a plate with white characters	വെളുത്ത പ്രതീകങ്ങളുള്ള ഒരു പ്ലേറ്റ്
cross section of a broccoli stem	ഒരു ബ്രൊക്കോളി തണ്ടിന്റെ ക്രോസ്സ് സെക്ഷൻ
large date palm in the distance	ദൂരത്തുള്ള വലിയ ഈന്തപ്പന
Three baseball players at first base	ആദ്യ അടിത്തട്ടിൽ മൂന്ന് ബേസ്ബോൾ കളിക്കാർ
hairy arm with fair pale skin	രോമമുള്ള നേർത്ത ഇളം ചർമ്മο
Time and date stamp in corner	കോണിലുള്ള സമയവും തീയതിയും സ്റ്റാമ്പ്
stop sign in english and farsi	ഇംഗ്ലീഷിലും ഫാർസിയിലും സ്റ്റോപ്പ് ചിഹ്നം
second story of house	വീടിന്റെ രണ്ടാമത്തെ സ്റ്റോറി
The stand of the t.v.	ടിവിയുടെ സ്റ്റാന്റ്
bird second in line	രണ്ടാം വരിയിലെ പക്ഷി
this couple is on a date	ഈ ദമ്പതികൾ ഒരു ഡേറ്റിലാണ്
base ball opponent players	ബേസ് ബോൾ കളിക്കുന്ന എതിരാളി
Laptop on a stand	ഒരു സ്റ്റാന്റിൽ ലാപ്‌ടോപ്പ്
Knives in a wooden block behind the stove.	സ്റ്റവ്വിന് പിന്നിലെ ഒരു വുഡൻ ബ്ലോക്കിലെ കത്തികൾ.
the bird is stand on a tree branch	പക്ഷി ഒരു മരക്കൊമ്പിൽ നിൽക്കുന്നു
A sideways rendered date stamp	ഒരു വശത്ത് റെൻഡർ ചെയ്ത തീയതി സ്റ്റാമ്പ്
fast pass tickets on bus window	ബസ്സ് വിൻഡോയിൽ ഫാസ്റ്റ് പാസ് ടിക്കറ്റുകൾ
stamp on boy's left hand	ആൺകുട്ടിയുടെ ഇടതു കൈയിലെ സ്റ്റാമ്പ്
a weed growing up from the tennis court	ടെന്നീസ് കോർട്ടിൽ വളരുന്ന ഒരു കള
Chinese characters on the window	വിൻഡോയിലെ ചൈനീസ് പ്രതീകങ്ങൾ
long net across the court	കോർട്ടിന് കുറുകെ നീളമുള്ള വല
a block on the ground	നിലത്ത് ഒരു ബ്ലോക്ക്
Man getting ready for a penalty kick	മനുഷ്യൻ ഒരു പെനാൽറ്റി കിക്കിന് തയ്യാറാകുന്നു
base ball diamond with players	കളിക്കാർക്കൊപ്പം ബേസ് ബോൾ ഡയമണ്ട്
two long and narrow panes below cross bar	ക്രോസ് ബാറിന് താഴെ നീളമുള്ളതും ഇടുങ്ങിയതുമായ രണ്ട് പാളികൾ
Oriole on front of players hat	കളിക്കാരന്റെ തൊപ്പിക്ക് മുന്നിൽ ഓറിയോൾ
a red cross decal	ഒരു ചുവന്ന ക്രോസ് ഡെക്കൽ
time and date stamp on the picture	ചിത്രത്തിലെ സമയവും തീയതിയും ഉള്ള സ്റ്റാമ്പ്
a green fence at a tennis court	ഒരു ടെന്നീസ് കോർട്ടിലെ പച്ച വേലി
yellow sticker with asian characters	ഏഷ്യൻ പ്രതീകങ്ങളുള്ള മഞ്ഞ സ്റ്റിക്കർ
A large screen with information about the players.	കളിക്കാരെക്കുറിച്ചുള്ള വിവരങ്ങളുള്ള ഒരു വലിയ സ്ക്രീൻ.
baseball players dressed in gray and orange	ഗ്രേ, ഓറഞ്ച് നിറത്തിലുള്ള ഡ്രസ്സ് ധരിച്ച ബേസ്ബോൾ കളിക്കാർ
sydney written in white letters on court	മൈതാനത്തു വെളുത്ത അക്ഷരങ്ങളിൽ എഴുതിയ സിഡ്നി
A white stand mixer	ഒരു വൈറ്റ് സ്റ്റാൻഡ് മിക്സർ
charger stand on a desk	ചാർജർ സ്റ്റാന്റ് ഒരു മേശപ്പുറത്ത്
Another stand and its owner	മറ്റൊരു തട്ടും അതിന്റെ ഉടമയും
White lamp shade on tall stand	ഉയരമുള്ള സ്റ്റാൻഡിൽ വെളുത്ത വിളക്കിന്റെ നിഴൽ
Child sitting cross-legged on the floor	കുട്ടി തറയിൽ ചമ്രം പടഞ്ഞിരിക്കുന്നു
the wave moves fast	തിരമാല അതിവേഗം നീങ്ങുന്നു
red characters on top of blue building	നീല കെട്ടിടത്തിന്റെ മുകളിൽ ചുവന്ന പ്രതീകങ്ങൾ
stand of bamboo	മുളയുടെ കൂട്ടം
a purple umbrella with little cartoon characters	ചെറിയ കാർട്ടൂൺ പ്രതീകങ്ങളുള്ള പർപ്പിൾ കുട
the players glove is black	കളിക്കാരുടെ കയ്യുറ കറുത്തതാണ്
The water bottle on the side of the court.	കോർട്ടിന്റെ വശത്തുള്ള വാട്ടർ ബോട്ടിൽ.
fine metal safety netting	മികച്ച മെറ്റൽ സുരക്ഷാ നെറ്റിംഗ്
two lemons together on a block	ഒരു ബ്ലോക്കിൽ രണ്ട് നാരങ്ങകൾ
ground where bike stand	ബൈക്ക് നിൽക്കുന്ന സ്ഥലം
black lamp with floor stand	ഫ്ലോർ സ്റ്റാൻഡുള്ള കറുത്ത വിളക്ക്
this shop sells fine ales	ഈ ഷോപ്പ് ഫൈൻ എൻസ് വിൽക്കുന്നു
empire near second base	രണ്ടാമത്തെ അടിത്തറയ്ക്ക് സമീപമുള്ള എംപയർ
players watch from the dugout	ഡഗ ഔട്ടിൽ നിന്ന് കളിക്കാർ കാണുന്നു
second animal in the back	പിന്നിലെ രണ്ടാമത്തെ മൃഗം
Cement block outdoor flooring.	സിമന്റ് ബ്ലോക്ക് ഔട്ട്‌ഡോർ ഫ്ലോറിംഗ്.
The yellow vase on the second shelf on the right.	വലതുവശത്തെ രണ്ടാമത്തെ അലമാരയിലെ മഞ്ഞ അലങ്കാരപാത്രം
dirt ground elephants stand on	അഴുക്ക് നിലത്തു ആനകൾ നിൽക്കുന്നു
the players in the dugout	ഡഗഔട്ടിലെ കളിക്കാർ
adult on a tennis court	മുതിർന്നയാൾ ഒരു ടെന്നീസ് കോർട്ടിൽ
date stamp on the photo	ഫോട്ടോയിലെ തീയതി സ്റ്റാമ്പ്
the second young lady is wearing capri-style jeans	രണ്ടാമത്തെ യുവതി കാപ്രി-സ്റ്റൈൽ ജീൻസ് ധരിക്കുന്നു
cross section of fans at baseball game	ബേസ്ബോൾ ഗെയിമിൽ ആരാധകരുടെ ക്രോസ്സ് സെക്ഷൻ
Photo's date stamp.	ഫോട്ടോയുടെ തീയതി സ്റ്റാമ്പ്.
person has fair colored skin	വ്യക്തിക്ക് നല്ല നിറമുള്ള ചർമ്മമുണ്ട്
the players are on a field	കളിക്കാർ ഒരു കളത്തിലാണ്
baseball players white pants	ബേസ്ബോൾ കളിക്കാരന്റെ വൈറ്റ് പാന്റ്സ്
fast food soda cups	ഫാസ്റ്റ് ഫുഡ് സോഡ കപ്പുകൾ
coca cola international logo, written in english, probably repeated below	കൊക്കകോള ഇന്റർനാഷണൽ ലോഗോ, ഇംഗ്ലീഷിൽ എഴുതിയിരിക്കുന്നു, ഒരുപക്ഷേ ചുവടെ ആവർത്തിക്കുന്നു
gate/door to fence surrounding court	കോർട്ടിന് ചുറ്റുമുള്ള വേലിയിലേക്കുള്ള വാതിൽ / വാതിൽ
characters on the sign	ചിഹ്നത്തിലെ പ്രതീകങ്ങൾ
toy models of buses	ബസ്സുകളുടെ കളിപ്പാട്ട മോഡലുകൾ
second story of building holds two balconies	കെട്ടിടത്തിന്റെ രണ്ടാമത്തെ സ്റ്റോറിയിൽ രണ്ട് ബാൽക്കണി ഉണ്ട്
the players tennis shoes are white	കളിക്കാരുടെ ടെന്നീസ് ഷൂസ് വെളുത്തതാണ്
players playing base ball on field	കളിക്കാർ ബേസ് ബാൾ കളിക്കുന്നു
Cars moving at a very fast speed	വളരെ വേഗതത്തിൽ സഞ്ചരിക്കുന്ന കാറുകൾ
Television set on wooden stand	തടി സ്റ്റാൻഡിലെ ടെലിവിഷൻ സെറ്റ്
Helmet on the second horse rider.	രണ്ടാമത്തെ കുതിര സവാരിക്കാരന്റെ ഹെൽമെറ്റ്.
walking so fast person is captured as a blur	വളരെ വേഗത്തിൽ നടക്കുന്നത് ഒരു മങ്ങലായി പിടിക്കപ്പെട്ടു
A white pot on the stand	സ്റ്റാൻഡിലെ ഒരു വെളുത്ത കലം
a white stand on road	റോഡിൽ ഒരു വെളുത്ത സ്റ്റാൻഡ്
a sign in a zoo, written in catalan - spanish – english	മൃഗശാലയിലെ ഒരു അടയാളം, കറ്റാലൻ - സ്പാനിഷ് - ഇംഗ്ലീഷിൽ എഴുതിയിരിക്കുന്നു
small food press on stove	സ്റ്റോവിൽ ചെറിയ ആഹാരം ഉണ്ടാക്കുന്ന അച്ച്
French coffee press	ഫ്രഞ്ച് കോഫി പ്രസ്സ്
mass sheep and woolcraft fair ribbon	കൂട്ട ആടുകളും കമ്പിളി ഫെയർ റിബണും
White paper on a black stand	കറുത്ത സ്റ്റാൻഡിൽ വെള്ള പേപ്പർ
curves of forms worn over shoes on snowboard	സ്നോബോർഡിൽ ഷൂസിന് മുകളിൽ ധരിക്കുന്ന ഫോമുകളുടെ കർവുകൾ
judge on side of court on blue platform	നീല പ്ലാറ്റ്ഫോമിലെ കളിസ്ഥലത്തിന്റെ അരികെ വിധികർത്താവ്
part of the ball field with players getting ready to play	കളിക്കാർ കളിക്കാൻ തയ്യാറാകുന്ന ബോൾ ഫീൽഡിന്റെ ഒരു ഭാഗം
a cross street sign	ഒരു ക്രോസ്സ് സ്ട്രീറ്റ് ചിഹ്നം
grass grows next to the block	ബ്ലോക്കിന് അടുത്തായി പുല്ല് വളരുന്നു
english flag printed umbrella	ഇംഗ്ലീഷ് പതാക അച്ചടിച്ച കുട
Blue cross window on second floor	രണ്ടാം നിലയിലെ നീല ക്രോസ്സ് വിൻഡോ
second set of closed umbrellas	അടച്ച കുടകളുടെ രണ്ടാമത്തെ കൂട്ടം
second base found directly behind the pitcher	പിച്ചറിന് പിന്നിൽ നേരിട്ട് കണ്ടെത്തിയ രണ്ടാമത്തെ അടിത്തറ
green field next to players	കളിക്കാർക്ക് അടുത്തുള്ള പച്ച ഫീൽഡ്
white stripes in road is a pedestrian cross walk	റോഡിലെ വെളുത്ത വരകൾ കാൽനടയാത്രക്കാരുടെ ക്രോസ് വാക്ക് ആണ്
white frisbee in players hands	കളിക്കാരുടെ കൈയിൽ വെളുത്ത ഫ്രിസ്ബീ
block tower on top of hill	കുന്നിൻ മുകളിലെ ബ്ലോക്ക് ടവർ
Brown stand holding bananas.	വാഴപ്പഴം പിടിച്ചിരിക്കുന്ന ബ്രൗൺ സ്റ്റാൻഡ്.
a clock on a wooden block	തടിക്കഷണത്തിലെ ഘടികാരം
Soccer players sitting on a bench	ഒരു ബെഞ്ചിലിരിക്കുന്ന കാല്പന്ത് കളിക്കാർ
book of forms on desk	ഫോമുകളുടെ പുസ്തകം മേശപ്പുറത്ത്
A dirty white dish towel with red cross stripes	ചുവന്ന ക്രോസ് വരകളുള്ള വൃത്തികെട്ട വെളുത്ത ഡിഷ് ടൌവൽ
Dirt on the players pants.	കളിക്കാരന്റെ പാന്റിലെ അഴുക്ക്.
white engraved cross	വെളുത്ത കൊത്തുപണി ചെയ്ത കുരിശ്
man on a tennis court on a sunny day	ഒരു സണ്ണി ദിവസം ടെന്നീസ് കോർട്ടിൽ ഉള്ള മനുഷ്യൻ
wood platform for bird to stand on	പക്ഷിക്ക് നിൽക്കാൻ വുഡൻ പ്ലാറ്റ്ഫോം
White second story porch	വെളുത്ത രണ്ടാമത്തെ സ്റ്റോറി പോർച്ച്
person setting in second seat of bus	ബസ്സിന്റെ രണ്ടാം സീറ്റിൽ വ്യക്തി ഇരിക്കുന്നു
The second train car	രണ്ടാമത്തെ ട്രെയിൻ കാർ
a red newspaper stand	ഒരു ചുവന്ന പത്ര സ്റ്റാന്റ്
grill press	ഗ്രിൽ പ്രസ്സ്
Calendar has star wars characters on it	കലണ്ടറിൽ സ്റ്റാർ വാർസ് പ്രതീകങ്ങളുണ്ട്
The car is moving fast.	കാർ അതിവേഗം നീങ്ങുന്നു.
blue wall of the court	കളിസ്ഥലത്തെ നീല മതിൽ
orange date print	ഓറഞ്ച് തീയതി പ്രിന്റ്
front of military plane is pointed and fast	സൈനിക വിമാനത്തിന്റെ മുൻവശം കൂർത്തതും വേഗതയുള്ളതുമാണ്
very fine fabric and material	വളരെ മികച്ച തുണിത്തരങ്ങളും മെറ്റീരിയലും
railed porch on the second floor of a home	ഒരു വീടിന്റെ രണ്ടാം നിലയിലെ പൂമുഖം
soccer players red shirt	സോക്കർ കളിക്കാരുടെ ചുവന്ന ഷർട്ട്
tennis match in progress on outdoor court	വെളിയിലുള്ള ടെന്നീസ് മൈതാനത്തു ടെന്നീസ് മത്സരം പുരോഗമിക്കുന്നു
waves forms behind the boat	ബോട്ടിന് പിന്നിൽ തിരമാലകൾ രൂപം കൊള്ളുന്നു
hedge bush growing outside of the tennis court	ടെന്നീസ് കോർട്ടിന് പുറത്ത് വളരുന്ന ഹെഡ്ജ് ബുഷ്
Gated street fair	ഗേറ്റ് ഉള്ള തെരുവ് മേള
man standing in a tennis court	ഒരു ടെന്നീസ് കോർട്ടിൽ നിൽക്കുന്ന മനുഷ്യൻ
tennis court floor is blue	ടെന്നീസ് കോർട്ട് തറ നീലയാണ്
The second sign says 4 way.	രണ്ടാമത്തെ ചിഹ്നം നാല് വഴി പറയുന്നു.
a man trying to cross	കടക്കാൻ ശ്രമിക്കുന്ന ഒരാൾ
a fast moving hand	വേഗത്തിൽ ചലിക്കുന്ന കൈ
computer monitor on stand	സ്റ്റാൻഡിലിരിക്കുന്ന കമ്പ്യൂട്ടർ മോണിറ്റർ
A man taking a picture of the players.	കളിക്കാരുടെ ചിത്രം എടുക്കുന്ന ഒരാൾ.
two players in ground	മൈതാനത്ത് രണ്ട് കളിക്കാർ
Thick white wooden cross.	കട്ടിയുള്ള വെളുത്ത തടി കുരിശ്.
a group of game officials at the corner of tennis court	ഒരു കൂട്ടം ഗെയിം ഓഫീസർമാർ ടെന്നീസ് കോർട്ടിന്റെ മൂലയിൽ
a red dirt tennis court	ചുവന്ന അഴുക്ക് ഉള്ള ടെന്നീസ് കോർട്ട്
brick building on a city block	ഒരു സിറ്റി ബ്ലോക്കിലെ ഇഷ്ടിക കെട്ടിടം
gloves are in the players back pocket	കയ്യുറകൾ കളിക്കാരുടെ പിന്നിലെ പോക്കറ്റിൽ ആണ്
bicycle stamp on road	റോഡിൽ സൈക്കിൾ സ്റ്റാമ്പ്
The cave the wave forms.	ഗുഹ തരംഗമായി മാറുന്നു.
awning for food stand	ഭക്ഷണ സ്റ്റാൻറുകൾ
White second hand on the clock.	ക്ലോക്കിൽ വെളുത്ത സെക്കന്റ്‌ സൂചി
Knob above knife block	കത്തി ബ്ലോക്കിന് മുകളിൽ കൈപ്പിടി
a lava lamp on stand	സ്റ്റാൻഡിൽ ഒരു ലാവ വിളക്ക്
a non english sign	ഇംഗ്ലീഷ് അല്ലാത്ത ചിഹ്നം
a motorcycle going fast	ഒരു മോട്ടോർ സൈക്കിൾ വേഗത്തിൽ പോകുന്നു
Some people are at the county fair	ചില ആളുകൾ കൗണ്ടി മേളയിൽ ഉണ്ട്
Gray television on stand	ഗ്രേ ടെലിവിഷൻ സ്റ്റാൻഡിൽ
a small dark brown night stand	ഒരു ചെറിയ ഇരുണ്ട തവിട്ടുനിറത്തിലുള്ള രാത്രി സ്റ്റാൻഡ്
An audience witnessing a press conference	പത്രസമ്മേളനത്തിന് സാക്ഷിയായ പ്രേക്ഷകർ
stand for trays	ട്രേകൾക്കായുള്ള തട്ട്
The train is traveling in fair weather	നല്ല കാലാവസ്ഥയിൽ യാത്ര ചെയ്യുന്ന ട്രെയിൻ
