image_idx	en	hi	obj_tags
2350151	walking so fast person is captured as a blur	बहुत तेजी से चल रहा ईन्सान एक धुंधले रूप में व्य्क्त हुआ है	person,person,person,person,car,car,umbrella,person,umbrella,traffic light,car,car,car,car,car,car,car,handbag,car,person,traffic light,car,car,car,car,car,car,car,car,car,person,potted plant,car,car,car,traffic light,person,handbag
2051	the knife block is filled	एक चाकू का ब्लॉक भरा हुआ है	oven,refrigerator,microwave,cup,spoon,spoon
2324417	Long forks and springs	लंबे कांटे और स्प्रिंग्स	person,person,truck,person,car,motorcycle,truck,truck,chair
2402258	baseball players dressed in red and gray	बेसबॉल खिलाड़ी लाल और धूसर रंग के कपड़ों में	person,person,person,person,baseball bat,person,person,person,chair,person,person,chair,chair,person,chair,person,chair,chair,chair,chair,chair,chair,chair,chair,chair,chair,baseball glove,chair,baseball bat,person,chair,chair,chair,skateboard,chair,bench,chair,chair,chair,chair
2966	second paper notice in a row	एक पंक्ति में दूसरा पेपर नोटिस	tv,suitcase
713626	second story seating area	दूसरी मन्ज़ील पर बैठने की जगह	bus,dining table,dining table,chair,chair,chair,chair,chair,person,dining table,chair,chair,bench,dining table,chair,chair,bench,chair,dining table,bench
2373225	a cross country skier bending low	नीचे झुकता हुआ एक क्रॉस कंट्री स्कीयर	person,person,person,person,person,person,person,skis,skis,skis,person,snowboard,skis,skis,skis,person,person
2383964	Shadow running across a tennis court	एक टेनिस कोर्ट के पार जाती हुई परछाई	person,tennis racket
2384783	Coolers in front of the players.	खिलाड़ियों के सामने कूलरें।	person,person,person,baseball bat,person,person,baseball glove,person,sports ball,person,person,chair,person
2319737	Cartoon characters on top of the building.	इमारत के शीर्ष पर कार्टून पात्र।	car,donut,person,person,person,cake,car,person,person,person
2347557	black lamp with floor stand	स्टैंड के साथ काला दीपक	laptop,tv,keyboard,mouse,chair,keyboard,spoon,person
498231	Security officer making sure everyone is safe at the fair	सुरक्षा अधिकारी सुनिश्चित करते हुए कि सभी लोग मेले में सुरक्षित हैं	person,person,bottle,person,person,person,person,person,person,person,person,person,person,person,person,person,person,handbag,person,person,person,person,person,person,person,person,person,person,person,person,person,sandwich,person,person,spoon,person,person,person
2379450	the springs are silver	स्प्रिंग्स चांदी के रंग के हैं	motorcycle,person,handbag,person,person,person,person,handbag,truck,person,car,banana
2322139	sticker is blue+white and i think written in English+kanji	स्टिकर नीला + सफेद है और मुझे लगता है कि अंग्रेजी+कन्जि में लिखा गया है	teddy bear,skis,kite
2414804	a white sign not in English	एक सफेद चिह्न अंग्रेजी में नहीं	person,boat,boat,boat,boat,potted plant,person,boat,boat,boat,boat,boat
2375544	man working at stand	स्टैंड पर काम कर रहा आदमी	person,person,person,person,person,person,person,bus,umbrella,motorcycle,umbrella,person,person,person,car,truck,person,person,umbrella
2353573	man standing in a tennis court	एक टेनिस कोर्ट में खड़ा आदमी	person,bench,car,car,tennis racket,bench,sports ball,person,traffic light
2325870	black band on players wrist	खिलाड़ी की कलाई पर काली पट्टी	person,tennis racket,sports ball,person
2398026	Name and date on the bottom right corner.	नीचे दाएं कोने पर नाम और दिनांक।	motorcycle,car,motorcycle,car,person,motorcycle,motorcycle,car,motorcycle,person,person,motorcycle,person,person,person,person,person
2410913	red second hand	लाल सैक्डं कांटा	clock
2379558	orange line on court	कोर्ट पर नारंगी लकीर	person,sports ball,person,bench,person,bench
2362255	date on the screen	स्क्रीन पर तारीख	cell phone,mouse,person,person
2381949	Baseball cap to block sun	सूरज को ब्लॉक करने के लिए बेसबॉल टोपी	person,sports ball,baseball bat,bench
2384893	a missing cider block opening to the outside	बाहर की ओर खुलता हुआ एक लापता साइडर ब्लॉक	toilet,boat
2372700	a cross on the top of the church	चर्च के शीर्ष पर एक क्रॉस	clock,traffic light,traffic light,car,traffic light,potted plant,car,traffic light,traffic light,traffic light,traffic light,car,car,traffic light,traffic light,car,car,car,car,traffic light,car,traffic light,traffic light,traffic light,car,car,car,traffic light,traffic light,truck,car,traffic light,traffic light,traffic light,traffic light,traffic light,car,car,traffic light,car,traffic light,car,traffic light,traffic light,traffic light,car,car
2405647	green grass by tennis court	टेनिस कोर्ट के पास हरी घास	person,person,tennis racket,tennis racket,bench,person,person
2330833	Some traffic is moving very fast	कुछ वाहन बहुत तेजी से आगे बढ़ रहे हैं	person,motorcycle,car
2416323	Large blue flag above the entire fair	पूरे मेले के ऊपर बड़ा नीला झंडा	horse,horse,horse,horse,horse,person,horse,person,horse,person,person,person,person,horse,horse,person,person,person,person,person,person,person,truck,person,person,horse,person,person,car,person,car,person,car,person,person,car,truck,person,car,person,car
2359829	A crack on the court	कोर्ट में दरार	person,person,person,person,person,tennis racket,tennis racket,person,tennis racket,tennis racket,tennis racket,apple,motorcycle,sports ball,apple,apple
2405015	The tennis players arm extended.	टेनिस खिलाड़ी का हाथ बढ़ा हुआ।	person,tennis racket,sports ball,potted plant,chair,chair,person
2359275	concrete block near street.	सड़क के पास कंक्रीट ब्लॉक।	truck,car,car,person
2335249	Number of court on the wall.	दीवार पर कोर्ट की संख्या।	person,tennis racket,tennis racket
2417491	wooden sign with white letters on second bus	दूसरी बस में सफेद अक्षरों के साथ लकड़ी का चिन्ह	person,bus,person,person,person,person,person,person,person,person,person,bus,truck,bus,person,person,truck,parking meter,person,truck,person,person,motorcycle,person,person,car,person,handbag
2406837	exte stamp on yellow metal	पीली धातु पर exte स्टैम्प	train,train,person,bus,person,boat
2407279	tree root jutting out in jagged forms	दांतेदार रूपों में उभ्रे हुए पेड़ की जड़	bear
1159354	microphones are lined up on stand	माइक्रोफोन स्टैंड पर पंक्तिबद्ध हैं	person,person,person,person,person,person,tie,tie,person,person,potted plant,person,person,potted plant,tie,tie,tie,person,cell phone,tie,surfboard,person,person,tie,tie,tie,remote,person
2341591	the white cross on the flag	ध्वज पर सफेद क्रॉस	person,tennis racket,person,person,tennis racket
2361960	the yellow block in the parking stall	पार्किंग स्टाल में पीला ब्लॉक	person,person,person,cup,bottle,cell phone,bottle,dining table,cup,baseball bat,chair,car,person,cell phone,book
2391408	a sign that forms an X	एक चिन्ह जो X बनाता है	traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light
2365585	Land forms in the distance	दूरी में भूभाग	person,person,skis
2319209	playing on green and blue court	हरे और नीले कोर्ट पर खेल	person,tennis racket,sports ball
2396952	the sport is cross country	यह खेल क्रॉस कंट्री है	person,person,skis,skis
2329004	this wall forms a stall	यह दीवार एक स्टाल बनाती है	sink,toilet
107937	A metal and stone column holding a bell and cross.	एक धातु और पत्थर के स्तंभ एक घंटी और क्रॉस के आधार बनें हुए।	clock
2414300	a tea set on a wooden stand	एक लकड़ी के स्टैंड पर एक चाय का सेट	person,cup,vase,chair,cup,dining table,cup,bowl,cake,cup,dining table,bowl,bowl,bowl,bowl,chair
2320665	this is a press conference	यह एक प्रेस कॉन्फ्रेंस है	person,person,tie,person,car,car,tie,person,person,car,bottle,car,car,car,car
2386241	second airplane leaves smoke trail	दूसरा हवाई जहाज धुआँ छोड़ता हुआ	airplane,airplane,airplane,airplane
285873	white characters on the street	सड़क पर सफेद अक्षर	person,person,stop sign,bicycle,potted plant,potted plant,bench,parking meter
2363931	people eating fast food	फास्ट फूड खाते हुए लोग	person,person,person,person,chair,person,person,chair,person,person,chair,person,dining table,cup,cup,person,dining table,dining table,cup,chair,dining table,chair,chair,chair
2320039	date in the corner	कोने में तारीख	person,person,kite,kite,kite
2369533	Silver cross necklace	चाँदी का क्रॉस हार	person,tennis racket
2329623	block of snow on a hill	एक पहाड़ पर बर्फ का ब्लॉक	person,person,person,person,person,skis,person,skis,skis,kite
2409866	a red and white county fair tent	एक लाल और सफेद काउंटी मेले का तम्बू	person,skateboard,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,truck,person,person,person,person,handbag,person,bench,umbrella
2392445	long fine whiskers on a cat	एक बिल्ली पर लंबे सुक्ष्म मूंछ	cat,fork
2374284	man in a white hat on the tennis court	टेनिस कोर्ट पर एक सफेद टोपी पहने आदमी	person,tennis racket,person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball
2412365	a man in a yellow t-shirt sitting cross-legged	पीले टी-शर्ट में एक आदमी पैर मोड़्कर बैठा है	person,person,person,person,person,umbrella,person,person,person,person,person,person,person,person,chair,person,person,person,person,person,person,umbrella,person,bottle,person,person,person,person,person,bottle,person,person,person
2317625	long single block in row	पंक्ति में एक लंबा खंड	banana
2387873	Two fine drinking glasses	दो बढिया ठीक पीने के गिलास	person,wine glass,person,person,wine glass,wine glass,person,wine glass,wine glass,bottle,cup,bowl,wine glass,wine glass,wine glass,dining table,chair,dining table,wine glass,wine glass,wine glass,potted plant,wine glass
2340476	green baseball field with players on it	हरी बेसबॉल की मैदान खिलाड़ियों के साथ	person,person,person,baseball bat,baseball bat,cell phone,cell phone,person
2400829	Man stand in crane	आदमी क्रेन में खड़ा है	traffic light,traffic light,truck,truck,car,car,car,car,car,car,traffic light,fire hydrant,traffic light,person,car,car,car
2336320	The characters 9F on the side of a plane	एक विमान के किनारे पर अक्षर 9F	airplane
2417918	English city bus on the road	सड़क पर अंग्रेजी सिटी बस	bus
2384961	the date is probably somehow, somewhat primitively digitally conveyed	तारीख शायद किसी तरह कुछ हद तक डिजिटल रूप से बताई गई है	clock,potted plant
2333175	blue plastic hot dog stand	नीले प्लास्टिक का हॉट डॉग स्टैंड	fork,bottle,cup,cup,knife,dining table,hot dog,fork,cake,pizza
2351910	A dirty white dish towel with red cross stripes	लाल क्रॉस धारियों के साथ एक गंदा सफेद डिश तौलिया	oven,laptop,bottle,refrigerator,cup,bottle
2377804	Two baseball players talking to each other	बेसबॉल के दो खिलाड़ी आपस में बात करते हुए	person,person,person,person,person,sports ball,baseball bat,baseball bat,chair,chair,chair,chair,chair,chair,person,chair,person,chair,chair,handbag,chair,skis,person,chair,chair,chair,handbag,chair
2344870	long net across the court	कोर्ट के आरपार लंबा जाल	person,person,sports ball,person,person,person,tennis racket
2376708	a person cross country skiing in the background	पृष्ठभूमि में क्रॉस कटंरी स्कीइंग करता हुआ एक व्यक्ति	person,person,person,skis,person,person,person,skis,person,car,person
2409743	baseball players on field	मैदान पर बेसबॉल खिलाड़ी	person,person,person,person,sports ball,baseball glove,person,person,baseball glove,baseball glove
713739	Yellow and black pole with a yellow cross.	एक पीले क्रॉस के साथ पीले और काले पोल।	train,person,train,traffic light,traffic light,traffic light,traffic light,train,train,train,person,truck,person,person,train,person,person,bird,train
2379722	A white box with a red cross.	लाल क्रॉस के साथ एक सफेद बॉक्स।	toilet,sink,hair drier,cup
2403093	Bread dough cross hatched design	ब्रेड आटा क्रॉस हैच डिज़ाइन	oven,person,person,knife
2335387	White boundary lines on the tennis court.	टेनिस कोर्ट पर सफेद सीमा रेखाएं।	person,tennis racket
2353410	waves forms behind the boat	नाव के पीछे लहरें	boat,person,person,person,person,person
3014	second floor balcony	दूसरी मंजिल की बालकनी	car
2404539	fast food hot dogs and onion rings	फास्ट फूड हॉट डॉग और प्याज के छल्ले	person,hot dog,hot dog,cup,donut,dining table,donut,bowl
2412156	Time date stamp is bottom right	समय की तारीख की मोहर दाहिने नीचे है	airplane,airplane,boat,airplane,boat
2375576	12/22/2006 date stamp	12/22/2006 तारीख की मुहर	person,book,book,book,book,book,book,chair,book,book,book
2368566	fine grey gravel under players' legs	खिलाड़ियों के पैरों के नीचे बारीक ग्रे बजरी	person,frisbee,person
2356436	lamp stand light	दीपक स्टैडं की रोशनी	bed,book,clock,book
2325259	a professional tennis court	एक पेशेवर टेनिस कोर्ट	person,tennis racket,sports ball
2357383	Tall date palm	ऊंचा खजूर	clock
2400592	Dresser with dinosaur models on top	शीर्ष पर डायनासोर मॉडल के साथ ड्रेसर	bed,potted plant,couch,clock
2384140	top of tennis court	टेनिस कोर्ट की जाली का ऊपरी हिस्सा	tennis racket,person,person,tennis racket,chair
2417690	Woman dressed as a maiden at the fair	मेले में युवती की तरह कपड़े पहने महिला	person,person,horse,horse,person,person,person,person,person,person,person,person,person,person,person,person,horse,person,umbrella,person,person,person,person,person,person
2362896	characters apart on stage set	स्टेज सेट पर अलग से पात्र	tv,person,remote,person,person,person,person,handbag,book,person,toothbrush,person,person,person
2370406	Chinese characters on the back of the truck	ट्रक के पीछे चीनी अक्षर	car,truck,car,motorcycle,car,bus,person,car,traffic light,traffic light,truck,person,person,person
2410877	fast blue and white train	तेज नीली और सफेद ट्रेन	person,train,tv,suitcase,handbag,person,person,car
2398066	players name on his shirt	खिलाड़ी के शर्ट पर उसक़ा नाम	person,person,person,baseball glove,person,person,baseball bat,baseball bat,person
2408497	College baseball players on the field.	मैदान पर कॉलेज के बेसबॉल खिलाड़ी।	person,person,person,person,baseball glove,person,person,person,person,person,person,person,person,person,person
2369623	blue court on the ground	जमीन पर नीला कोर्ट	person,sports ball,tennis racket
2321955	Two toasted English muffins on a plate.	एक प्लेट पर दो अंग्रेजी टोस्ट मफिन।	bottle,cup,dining table,person,person,cup,cup,refrigerator,person,cup,bowl,spoon,cup,cup,cup,spoon,bowl,cup,spoon,refrigerator,bowl,orange,chair,donut,donut
3028	Bag on the cement block	सीमेंट ब्लॉक पर थैला	bottle,sink
2321520	flower on ice block	बर्फ के ब्लॉक पर फूल	teddy bear,oven,person,train
2380912	yellow tennis balls on court	कोर्ट पर पीली टेनिस की गेंद	person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball
1592702	A person waiting to cross the street	एक व्यक्ति सड़क पार करने की प्रतीक्षा में	person,traffic light,traffic light,person,traffic light,car,car,potted plant,car,car,car,traffic light,person,person,traffic light,car,car,car,car,person,traffic light,car,traffic light,traffic light,person,traffic light,backpack,car
2390885	tan colored brick block wall	ताम्र रंग की ईंट ब्लॉक दीवार	traffic light,person,person
2384018	A dark wooden cross with a small sign attached	एक छोटे संकेत के साथ एक लकड़ी का क्रॉस	stop sign,person,skateboard,dining table
2333262	A clock with cartoon characters on	कार्टून पात्रों के साथ एक घड़ी	person,person,person,person,clock,book,bird,book,book,book,bowl,tv
2361309	rocky and rectangular block with openings on dirt	चट्टानी और आयताकार छेद वाले ब्लॉक मिट्टी पर	giraffe,giraffe,giraffe
2348313	adult on a tennis court	एक टेनिस कोर्ट पर वयस्क	person,person,person,tennis racket,person,person,tennis racket,person,person,person,tennis racket,person,sports ball,tennis racket,person,sports ball,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball,person,sports ball,sports ball,tennis racket
2332205	Knives in a wooden block on the countertop.	काउंटरटॉप पर एक लकड़ी के ब्लॉक में चाकू।	refrigerator,oven,bowl,dining table,knife,orange,fork,knife,knife,knife,sink,sink,sink,knife,knife,knife,orange
2328080	leg of the second person	दूसरे व्यक्ति का पैर	person,bird,bird
2355303	awning for food stand	फूड स्टैंड के लिए शामियाना	cup,person,person,umbrella,person,person,person,person,person,person,person,cup,person,person,umbrella,dining table,bench,person,bench,dining table,person,dining table,dining table,cup,person,umbrella,dining table
2344140	Knives in a wooden block behind the stove.	चूल्हे के पीछे एक लकड़ी के ब्लॉक में चाकू।	oven,knife,bottle,bottle,bottle,knife,bottle,bottle,microwave,knife,bottle,potted plant,bottle,knife,bottle,bottle,bottle,vase,sink,bottle,knife,bottle,bottle,sink,oven,microwave,bottle,sink,bottle,vase,sink
2352554	a red newspaper stand	एक लाल अखबार स्टैंड	car,car,car,traffic light,car,car,car
1591900	Brown block and white house with pitched black roof.	ब्राउन ब्लॉक और सफेद घर जिसमें काली छत है।	bus,person,person,person,person,bus,person,person
2356081	The train is traveling in fair weather	ट्रेन उचित मौसम में यात्रा कर रही है	train,person,person,traffic light,train,traffic light,traffic light,person,person
2317733	fast food on white plate	सफेद प्लेट पर फास्ट फूड	cup,hot dog,oven,dining table
2377017	air forces flag	वायु सेना का झंडा	airplane,truck,airplane
2321584	some watery plant forms	कुछ गिले पौधे	elephant,person,person,person,bench
2350744	curves of forms worn over shoes on snowboard	स्नोबोर्ड पर जूतों के ऊपर पहने जाने वाले रूपों के वक्र	person,person,snowboard,snowboard,skis,skis,snowboard,bicycle,skis
2380515	woman sitting on a stone block	पत्थर के ब्लॉक पर बैठी महिला	person,suitcase,person,person,person,suitcase,bench,remote,person
2393060	black lamb second from right	दाईं ओर से दूसरा का्ले भेड़ का बच्चा	person,sheep,person,tie,sheep,sheep,dog,sheep,dog,dog,sheep,sheep,sheep
2352715	blue wall of the court	कोर्ट की नीली दीवार	person,tennis racket
2405459	a wood night stand.	एक लकड़ी की नाईट स्टैंड।	bed,bed
2329457	the wall is cement block	दीवार सीमेंट ब्लॉक है	train,person
2415725	the court is dark blue	कोर्ट गहरा नीला है	person,tennis racket,person,person,person,person,person
2358061	The man's black shadow on the court	कोर्ट पर आदमी की काली छाया	person,person,tennis racket,tennis racket,person,person,sports ball,person,person,person,person,sports ball,sports ball,person,person,traffic light,sports ball,bench,sports ball
2317741	Woman standing on tennis court	टेनिस कोर्ट पर खड़ी महिला	person,tennis racket
2367009	a music stand on a curb	एक वक्र पर एक संगीत स्टैंड	stop sign,person,person,car,person,person
2344553	a weed growing up from the tennis court	एक खरपतवार टेनिस कोर्ट से ऊग रहा है	person,sports ball,tennis racket,car
2323571	The military plane has a cross on the tail.	सैन्य विमान की पूंछ पर एक क्रॉस है।	airplane
2350390	small food press on stove	स्टोव पर छोटा भोजन प्रेस	donut,oven,pizza,donut,oven,cake,hot dog
2399251	two bicyclists waiting to cross intersection	चौराहा पार करने का इंतजार कर रहे दो साइकिल सवार	bicycle,traffic light,traffic light,person,traffic light,traffic light,car,traffic light,person,person,car,traffic light
2325421	cross nailed to a wall	कील से ठुकी हुई दीवार पर एक क़्रॉस	person,person,tie,teddy bear,tie
2372859	Wooden butcher block on kitchen sink.	रसोई के सिंक पर लकड़ी का कसाई ब्लॉक।	oven,oven,sink,oven,oven,oven,bench
2401690	three black Japanese characters	तीन काले जापानी वर्ण	airplane
2403021	microphone on angled stand	एंगल्ड स्टैंड पर माइक्रोफोन	person,person,person,person,person,person,person,person,tie,person,person,person,tie,chair
2393138	Look of concentration on game players face	खेल खिलाड़ियों के चेहरे पर दिखाई देती हुई एकाग्रता	person,person,remote,remote,remote,remote,couch,couch,chair,chair,tie,chair
2327413	blue cross on front of car	कार के सामने नीली क्रॉस	teddy bear,person,teddy bear,car,teddy bear,teddy bear,bicycle
2395014	the blue painted do not cross line on the train platform	ब्लू पेंट निषिद्ध करने हेतु लकीर ट्रेन प्लेटफॉर्म पर	train,train,person,person,person,person,person
2353370	tennis match in progress on outdoor court	आउटडोर कोर्ट पर टेनिस मैच चल रहा है	person,person,tennis racket
2330959	Two men on a tennis court playing tennis	टेनिस खेलने वाले टेनिस कोर्ट पर दो आदमी	person,person,tennis racket,tennis racket,tennis racket,sports ball
2356398	wood block of knives	चाकू की लकड़ी ब्लॉक	bottle,wine glass,knife,knife,vase,microwave,wine glass,knife,person,remote,knife,dining table,knife,knife
498221	A block of brown stones.	भूरे पत्थरों का एक ब्लॉक।	person,car,car,car,car,car,car,car,car,car,surfboard,car,truck,person,car,person,car,car
2316200	players' names in black on yellow background	पीले रंग की पृष्ठभूमि पर खिलाड़ियों के नाम	person,person,sports ball,person,tennis racket,chair,tennis racket
2332490	an off white set of box springs	बॉक्स स्प्रिंग्स का एक ऑफ व्हाइट सेट	person,bed,teddy bear,bottle,chair
2366228	Blue characters on a white background	एक सफेद पृष्ठभूमि पर नीले वर्ण	laptop,book,book,cell phone,book,dining table
2359943	TV on the stand.	स्टैंड पर टी.वी.	person,person,chair,book,book,book,book,bottle,book,book,book,book,book,bottle,book,bottle,book,book,book,bottle,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book
2378831	Yellow ball on the court.	कोर्ट पर पीली गेंद।	person,person,person,person,person,person,tennis racket,sports ball,tennis racket,tennis racket,tennis racket,sports ball,sports ball,tennis racket,sports ball,person
2367954	Electrical wire stand	बिजली के तारों क स्टैंड	traffic light,traffic light,traffic light,stop sign,traffic light,traffic light,kite
713613	cross made of stone	पत्थर से बना क्रॉस	person,person,person,bird,dining table,person,person,person,person,bird,bowl,person,umbrella,person,dog,suitcase
2324038	The traffic light has a red cross.	ट्रैफिक लाइट में लाल क्रॉस है।	person,traffic light,train,person,person,person,person,person,person,person,person,person,person,traffic light,car,person,person,person,person,person
2356820	ball on a tennis court	एक टेनिस कोर्ट पर गेंद	person,sports ball,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball
2416779	cross walk area painted on the street	सड़क पर चित्रित क्रॉस वॉक एरिया	traffic light,car,fire hydrant,traffic light
2351277	Brown stand holding bananas.	केले के साथ ब्राउन स्टैंड।	banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana,banana
2327715	the line that shows foul or fair	रेखा जो बेईमानी या निष्पक्षता दिखाती है	person,person,baseball bat,baseball glove,person,person,person,person,person,person,person,person,person,person,person,baseball glove,baseball glove,person,person,person,chair,person,person,person,person,person,person,person
2355369	Knob above knife block	चाकू ब्लॉक के ऊपर घुंडी	person,oven,cup,tie,microwave,dining table,oven,knife,bowl,oven,knife
2321307	A time stamp on a video.	एक वीडियो पर समय की मोहर।	person,backpack,cell phone,backpack,bench,handbag,bench,potted plant
2324167	a clock on a glass stand	एक ग्लास स्टैंड पर एक घड़ी	person,person,person,person,clock,person,person,person,person,person,handbag,handbag,person,person,person,handbag,handbag,backpack,person
2334424	One person on the court	कोर्ट पर एक व्यक्ति	person,tennis racket,chair,person,person,person,person,person,person,person,person,person,chair,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,chair,person,person,person,person,person,person,bottle
2357480	Road block submerged by water	पानी में डूबा रोड ब्लॉक	
2353698	tennis court floor is blue	टेनिस कोर्ट की सतह नीली है	person,tennis racket,person,person
2396106	baseball players signing autographs	हस्ताक्षर करने वाले बेसबॉल खिलाड़ी	person,person,person,baseball glove,baseball glove,cell phone,person,potted plant,cell phone,person,person,remote,book,handbag
2347268	fine metal safety netting	बढिया धातु का सुरक्षा जाल	person,person,person,person,bench,baseball glove,person,person,baseball glove,person,person,person,person,person,person,person,person,person,person,person,person,person,person,bench,person,person,person,baseball bat,person
2355690	An audience witnessing a press conference	एक प्रेस कॉन्फ्रेंस के साक्षी बने दर्शक	person,person,tv,person,tv,tv,person,laptop,person,tv,person,chair,person,person,person,person,person,person,tv
2409566	players in team dugout	खिलाड़ी टीम डगआउट में	person,person,person,baseball bat,baseball glove,person,chair,chair,person,person,person,bench,person,person,person,person,bench
2351176	white frisbee in players hands	खिलाड़ियों के हाथों में सफेद फ्रिसबी	frisbee,person,person,person,person,umbrella
2364176	time and date stamp	समय और तारीख की मोहर	car,car,car,car,truck,car,car,truck,truck
2395657	A TV stand	एक टीवी स्टैंड	tv,couch,chair,vase,bench,book,book,book,book,potted plant,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,book,clock,person,book,book,couch,book,book,book,book,book
2329859	The time stamp display window on the meter on the left.	बाईं ओर मीटर पर टाइम स्टैम्प डिस्प्ले विंडो।	parking meter,parking meter,person,person
2335046	a wooden block of knives	चाकूओं का एक लकड़ी का ब्लॉक	knife,knife,knife,knife,knife,bowl,bowl,spoon,bowl,knife,knife,knife,spoon,cup,oven,hair drier,knife,spoon,knife,knife,knife,cup
2356165	a second story railing	एक दूसरे मन्ज़िल की रेलिंग	truck,chair,person
2372171	This is a picture of Chinese characters	यह चीनी पात्रों की एक तस्वीर है	person,person,person
2413506	fast super jet hovers in the sky	आकाश में घूमता हुआ तेज सुपर जेट	airplane
498294	the players are moving	खिलाड़ी आगे बढ़ रहे हैं	person,person,person,person,person,person,baseball glove,backpack,sports ball,baseball glove,baseball glove,baseball glove
2323211	two guys in the background are observing the movements of the players	पृष्ठ्भूमी के दो लोग खिलाड़ियों की हरकतों को देख रहे हैं	person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,person,handbag,person,person,person,person,sports ball,baseball glove
2371402	Curled metal legs on a candle stand	कैंडल स्टैंड पर धातु के घुमावदार पैर	person,person,bed,person,bowl
2340794	two players watching the batter	बैटर को देखते दो खिलाड़ी	person,person,person,baseball glove,person,person,person,baseball bat,person,person,person,person,person,person,person,person,person,person,person,person,person,person,chair,chair,chair,chair,person,chair,person,bench
2335347	fine white spray against nose of craft	विमान की नाक पर सुक्ष्म सफेद स्प्रे	boat,surfboard
2358292	Brown tennis court floor	भुरी टेनिस कोर्ट का फर्श	person,person,tennis racket,chair,chair,person,person,sports ball,person,person,person,bench,person,tennis racket,person,backpack,chair,baseball bat
1809	cross on top of church	चर्च के शीर्ष पर क़्रॉस	person,bench,bench,person,chair,car
2413611	copyright and date	कॉपीराइट और दिनांक	bench,bench,bench,bench,bench
2404051	A sign for the 550 west block of Bliss Ct.	ब्लिस सीटी के 550 पश्चिम ब्लॉक के लिए एक संकेत।	
2361073	Opponent Reaching Out to block	विरोधी ब्लॉक करने की कोशिश करते हुए	person,person,frisbee,person,person,person,person,person,person,person,person,person,person,person,person,person,person,chair,person,person,chair,person,backpack,person
2343947	Laptop on a stand	एक स्टैंड पर लैपटॉप	keyboard,laptop,mouse,cup,cup,person,tv,chair,person,tv,keyboard,cup,chair,mouse,dining table,bowl,chair,chair
2403343	a wooden block sitting on the table	टेबल पर एक लकड़ी का ब्लॉक	person,person,dining table,vase,bowl,book,bottle
2404210	Part of the tennis court is green.	टेनिस कोर्ट का एक हिस्सा हरा है।	person,tennis racket,sports ball
2334619	two players in orange and white sitting on sidelines	किनारे पर बैठे नारंगी और सफेद में दो खिलाड़ी	person,person,person,person,person,person,person,person,person,person,person,person,person,bird,person,chair,person,person,chair,chair,baseball bat,person,person,person,person,person,person,person,person,person,person,baseball glove,person,person,chair,person,person,person,chair,person,person,person,person,person,person,person,person,chair,person,person,person,person,person,person,person,person,person,person,bench,person,person,chair,person,person,person
2403331	date stamp of photo	फोटो की तारीख मोहर	cat,bowl,bowl,refrigerator
2341674	a pole of a lamp stand	एक दीपक स्टैंड की एक पोल	potted plant,clock
3037	the door of second floor is brown	दूसरी मंजिल का दरवाजा भूरा है	car,car,car,car,motorcycle,motorcycle,car,car,car,car,person
2324756	Front wheel on second white truck.	दूसरा सफेद ट्रक पर सामने का पहिया।	stop sign,truck,car,potted plant
2387901	the second gold horse	दूसरा सोने का घोड़ा	horse,horse,horse,horse,umbrella,person,person,person
2342478	A small grey block on the median	माध्यिका पर एक छोटा ग्रे ब्लॉक	clock,clock,bench,potted plant,fire hydrant
2367064	Woman on a tennis court	टेनिस कोर्ट पर महिला	person,tennis racket,sports ball
2346968	red characters on top of blue building	नीली इमारत के शीर्ष पर लाल वर्ण	
2412966	the collar decoration of a fair isle type sweater	एक बढिया आइल प्रकार स्वेटर की कॉलर की सजावट	person,person,person,cake,dining table,chair,dining table,chair,person,cup,cake,cup,bowl,cup,cup,knife,chair,chair,spoon
1592639	Woman wearing a cross on her neck	महिला ने गले में क्रॉस पहना हुआ है	person,person,person,person,wine glass,wine glass,wine glass,person,wine glass,chair,cup,dining table,cake,bottle,cup,chair,wine glass,bench,potted plant,cup
2338340	a colorful display lighted characters	रोशन पात्रों का एक रंगीन प्रदर्शन	clock,car,person,person,horse,person,person,person
2352539	The second train car	दूसरी ट्रेन की गाड़ी	train,train
2413616	the players arm is ready to throw	खिलाड़ी का हाथ फेंकने के लिए तैयार है	person,baseball glove
2412842	date and time stamp in corner	कोने में तारीख और समय की मोहर	donut,donut,donut,dining table,donut,cake
2410158	Two characters on the television	टेलीविजन पर दो किरदार	tv,chair,mouse,remote,person,chair,person,dining table,clock,keyboard
