en	bn
date 2008 printed on the label##bottle,wine glass,person,bottle,person,dining table,person	তারিখ 2008 লেবেলে মুদ্রিত
grass tennis court##person,tennis racket,person,chair,person,person,person,person,person,person	গ্রাস টেনিস কোর্ট
colored springs on truck##truck,truck,person,truck,truck,truck,truck,person,truck,person	ট্রাকে রঙিন স্প্রিং
white cement block wall##toilet,skateboard	সাদা সিমেন্ট ব্লক প্রাচীর
a cats closed eye forms a slit##cat,couch	একটি বিড়াল বদ্ধ চোখ একটি চেরা গঠন
the judge's chair by the court##person,person,person,tennis racket,person,person,person,person,person,person	কোর্ট এর পাশে বিচারক এর চেয়ার
a white surfboard stand next to yellow one##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,skateboard,skateboard	হলুদ রঙের পাশে একটি সাদা সার্ফবোর্ড
a layer of fine sweet chocolate##donut,donut,donut,donut,donut,donut,person,donut,donut	সূক্ষ্ম মিষ্টি চকোলেট একটি স্তর
the watermark is a block font##traffic light,clock	ওয়াটারমার্ক একটি ব্লক ফন্ট
red second hand on top of other hands##clock,horse,horse	অন্য কাঁটার উপর লাল সেকেন্ডের কাঁটা
long fine hairs on chin##horse,bear	চিবুকের উপর দীর্ঘ সূক্ষ্ম চুল
Single white line drawn on tennis court##person,tennis racket	টেনিস কোর্টে টানা একক সাদা লাইন
a red cross decal##airplane,person,airplane	একটি রেড ক্রস ডেসাল
Blue garbage can on second floor.##person,person,person,person,cell phone,cup	নীল আবর্জনা দ্বিতীয় তলায় করতে পারেন।
front of military plane is pointed and fast##airplane	সামরিক বিমানের সামনে পয়েন্ট এবং দ্রুত হয়
signature of artist and date##horse,horse,banana,cow,bird,horse	শিল্পীর স্বাক্ষর এবং তারিখ
book of forms on desk##pizza,knife,pizza,pizza,pizza,pizza,person,pizza,pizza,pizza	ডেস্কে ফর্ম বই
Silver french press coffee maker##cup,cup,chair,umbrella,chair,dining table,umbrella,spoon,chair,spoon	সিলভার ফরাসি প্রেস কফি প্রস্তুতকারক
orange date stamp on photo##giraffe	ছবির উপর কমলা তারিখ স্ট্যাম্প
woman in back of a court##person,tennis racket,person,bicycle	কোর্টের পিছনে মহিলা
the date of the picture##person,dining table,tie,bottle,book,sports ball	ছবির তারিখ
gray color on court##person,person,person,person,tennis racket,tennis racket,tennis racket,tennis racket,car,car	কোর্টে ধূসর রঙ
small models boats on TV##tv,cup,potted plant,vase,person,skateboard,book,bowl,vase,book	ছোট মডেল টিভিতে নৌকা
glass block privacy wall##chair,cup,tv,book,mouse,dining table,book,dining table,dining table,dining table	কাচ ব্লক গোপনীয়তা প্রাচীর
red painted lines on wooden court floor##person,person,tennis racket,tennis racket	কাঠের কোর্ট ফ্লোরে লাল আঁকা লাইন
red cross with a white background##clock,clock	একটি সাদা পটভূমি সঙ্গে রেড ক্রস
soccer players in a light blue uniforms##person,person,person,person,person,person,sports ball,person,person,person	হালকা নীল রঙের ইউনিফর্মে ফুটবল খেলোয়াড়
car moving incredibly fast##car,car,motorcycle	অবিশ্বাস্যভাবে দ্রুত গাড়ী চলমান
a small dark brown night stand##bed,chair,book,dining table,laptop,book	একটি ছোট গাঢ় বাদামী নাইট স্ট্যান্ড
a sign in a language that isn't English##	ইংরাজী নয় এমন একটি ভাষায় সাইন
silver and black French press coffee pot##cup,cup,cup,cup,bowl,dining table,chair,cup,cup,cup	সিলভার এবং কালো ফরাসি প্রেস কফি পাত্র
green bench on court##person,person,chair,tennis racket,person,sports ball,person,chair,cup,bench	কোর্টে সবুজ বেঞ্চ
pendent on a fine chain##person,person,cake,person,cake,dining table,cake,chair,person	একটি সূক্ষ্ম চেইন উপর দুল
Paper forms on the table.##banana,sandwich,dining table	টেবিলে কাগজের ফর্মগুলি।
A ball girl at the back of a tennis court##person,person,person,person,chair,tennis racket,tennis racket,chair,person,person	টেনিস কোর্টের পিছনে একটি বালিকা
Thick white wooden cross.##person,car,cell phone,bus,truck,car	ঘন সাদা কাঠের ক্রস।
the second cushioned seat##chair,chair,chair,book,bench,book,book,book,book,book	দ্বিতীয় কুশনযুক্ত আসন
A black barrier stand.##person,person,tv,person,person,person,person,cell phone,person	একটি কালো বাধা স্ট্যান্ড।
green surface surrounding tennis court##person,tennis racket,person	টেনিস কোর্টের চারপাশে সবুজ পৃষ্ঠ
Silhouette of tennis player on court.##person,person,person,chair,tennis racket,tennis racket,person,sports ball,tennis racket	কোর্টে টেনিস খেলোয়াড়ের সিলুয়েট।
black electric clock on night stand##vase,bed,bed,couch,couch,cell phone,cell phone,bowl	নাইট স্ট্যান্ডে কালো বৈদ্যুতিন ঘড়ি
a skate boarder going fast##person,skateboard,person,person,person,person,train,person,person	একজন স্কেট বোর্ডার দ্রুত যাচ্ছেন
5 cars of varying models parked on the street##stop sign,car,car,car,car,car,car,car,truck	রাস্তায় পার্কিং বিভিন্ন মডেলের 5 টি গাড়ি
Signs on signpost naming streets and block numbers##	সাইনপোস্ট নামকরণ রাস্তায় এবং ব্লক নম্বরগুলিতে চিহ্ন
big hairy fair laps##person,refrigerator,bottle,bottle,banana	বড় লোমশ ফর্সা কোল
white edge of white tennis court##person,person,tennis racket,sports ball,sports ball,tennis racket	সাদা টেনিস কোর্ট সাদা প্রান্ত
name and date in the corner##person,umbrella,person,person,boat,umbrella,person,person	কোণে নাম এবং তারিখ
yellowish green grass over fine tan sand##horse,horse,horse	সূক্ষ্ম ট্যান বালির উপরে হলুদ সবুজ ঘাস
small child cross country skiing##person,skis	ছোট শিশু ক্রস কান্ট্রি স্কিইং
a net divides the court##person,person,person,person,tennis racket,tennis racket,bottle,sports ball,person,sports ball	একটি নেট কোর্ট বিভক্ত
walking so fast person is captured as a blur##person,person,person,person,car,car,umbrella,person,umbrella,traffic light	এত তাড়াতাড়ি হাঁটলে একজন মানুষকে ঝাপসা হয়ে যায়
the knife block is filled##oven,refrigerator,microwave,cup,spoon,spoon	ছুরির ব্লকটি ভরে গেছে
Long forks and springs##person,person,truck,person,car,motorcycle,truck,truck,chair	দীর্ঘ কাঁটাচামচ এবং ঝর্ণা
baseball players dressed in red and gray##person,person,person,person,baseball bat,person,person,person,chair,person	বেসবল খেলোয়াড়রা লাল এবং ধূসর পোশাকে
second paper notice in a row##tv,suitcase	পরপর দ্বিতীয় কাগজ নোটিশ
second story seating area##bus,dining table,dining table,chair,chair,chair,chair,chair,person,dining table	দ্বিতীয় গল্পের বসার জায়গা
a cross country skier bending low##person,person,person,person,person,person,person,skis,skis,skis	কম ক্রস কান্ট্রি স্কাইয়ার
Shadow running across a tennis court##person,tennis racket	টেনিস কোর্ট জুড়ে ছায়া চলছে
Coolers in front of the players.##person,person,person,baseball bat,person,person,baseball glove,person,sports ball,person	খেলোয়াড়দের সামনে কুলার।
Cartoon characters on top of the building.##car,donut,person,person,person,cake,car,person,person,person	বিল্ডিংয়ের উপরে কার্টুন চরিত্রগুলি।
black lamp with floor stand##laptop,tv,keyboard,mouse,chair,keyboard,spoon,person	মেঝে স্ট্যান্ড সহ কালো বাতি
Security officer making sure everyone is safe at the fair##person,person,bottle,person,person,person,person,person,person,person	সুরক্ষার আধিকারিক নিশ্চিত করছেন মেলায় সবাই নিরাপদে আছেন
the springs are silver##motorcycle,person,handbag,person,person,person,person,handbag,truck,person	ঝর্ণা রূপা হয়
sticker is blue+white and i think written in English+kanji##teddy bear,skis,kite	স্টিকারটি নীল + সাদা এবং আমার মনে হয় ইংরেজিতে + কঞ্জি লেখা আছে
a white sign not in English##person,boat,boat,boat,boat,potted plant,person,boat,boat,boat	একটি সাদা চিহ্ন ইংরাজীতে নয়
man working at stand##person,person,person,person,person,person,person,bus,umbrella,motorcycle	লোক স্ট্যান্ড এ কাজ
man standing in a tennis court##person,bench,car,car,tennis racket,bench,sports ball,person,traffic light	টেনিস কোর্টে দাঁড়িয়ে লোক
black band on players wrist##person,tennis racket,sports ball,person	খেলোয়াড়ের কব্জিতে কালো ব্যান্ড
Name and date on the bottom right corner.##motorcycle,car,motorcycle,car,person,motorcycle,motorcycle,car,motorcycle,person	নীচে ডান কোণে নাম এবং তারিখ।
red second hand##clock	লাল দ্বিতীয় হাত
orange line on court##person,sports ball,person,bench,person,bench	কোর্টে কমলা রেখা
date on the screen##cell phone,mouse,person,person	পর্দায় তারিখ
Baseball cap to block sun##person,sports ball,baseball bat,bench	বেসবল ক্যাপ রোদে ব্লক
a missing cider block opening to the outside##toilet,boat	বাইরে থেকে একটি অনুপস্থিত সাইডার ব্লক
a cross on the top of the church##clock,traffic light,traffic light,car,traffic light,potted plant,car,traffic light,traffic light,traffic light	গির্জার উপরে একটি ক্রস
green grass by tennis court##person,person,tennis racket,tennis racket,bench,person,person	টেনিস কোর্ট দ্বারা সবুজ ঘাস
Some traffic is moving very fast##person,motorcycle,car	কিছু ট্র্যাফিক খুব দ্রুত চলছে
Large blue flag above the entire fair##horse,horse,horse,horse,horse,person,horse,person,horse,person	পুরো মেলার উপরে বড় বড় নীল পতাকা
A crack on the court##person,person,person,person,person,tennis racket,tennis racket,person,tennis racket,tennis racket	কোর্টে একটি ফাটল
The tennis players arm extended.##person,tennis racket,sports ball,potted plant,chair,chair,person	টেনিস খেলোয়াড়দের হাত বাড়ানো।
concrete block near street.##truck,car,car,person	রাস্তার কাছে কংক্রিট ব্লক
Number of court on the wall.##person,tennis racket,tennis racket	দেয়ালে কোর্টের সংখ্যা।
wooden sign with white letters on second bus##person,bus,person,person,person,person,person,person,person,person	দ্বিতীয় বাসে সাদা বর্ণের সাথে কাঠের চিহ্ন
exte stamp on yellow metal##train,train,person,bus,person,boat	হলুদ ধাতু উপর স্ট্যাম্প exte
tree root jutting out in jagged forms##bear	ঝাঁকুনিযুক্ত ফর্মগুলিতে গাছের শিকড় কাটছে
microphones are lined up on stand##person,person,person,person,person,person,tie,tie,person,person	মাইক্রোফোনগুলি স্ট্যান্ডে রেখাযুক্ত থাকে
the white cross on the flag##person,tennis racket,person,person,tennis racket	পতাকা সাদা ক্রস
the yellow block in the parking stall##person,person,person,cup,bottle,cell phone,bottle,dining table,cup,baseball bat	পার্কিং স্টলে হলুদ ব্লক
a sign that forms an X##traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light	এমন একটি চিহ্ন যা একটি এক্স গঠন করে
Land forms in the distance##person,person,skis	দূরত্বে জমি ফর্ম
playing on green and blue court##person,tennis racket,sports ball	সবুজ এবং নীল কোর্টে বাজানো
the sport is cross country##person,person,skis,skis	খেলাটি ক্রস কান্ট্রি
this wall forms a stall##sink,toilet	এই প্রাচীর একটি স্টল গঠন
A metal and stone column holding a bell and cross.##clock	একটি ধাতু এবং পাথর কলাম একটি ঘন্টা এবং ক্রস ধারণ করে।
a tea set on a wooden stand##person,cup,vase,chair,cup,dining table,cup,bowl,cake,cup	একটি কাঠের স্ট্যান্ডে একটি চা সেট
this is a press conference##person,person,tie,person,car,car,tie,person,person,car	এটি একটি সংবাদ সম্মেলন
second airplane leaves smoke trail##airplane,airplane,airplane,airplane	দ্বিতীয় বিমান ধোঁয়া ট্রেল ছেড়ে
white characters on the street##person,person,stop sign,bicycle,potted plant,potted plant,bench,parking meter	রাস্তায় সাদা অক্ষর
people eating fast food##person,person,person,person,chair,person,person,chair,person,person	লোকেরা ফাস্টফুড খাচ্ছে
date in the corner##person,person,kite,kite,kite	কোণে তারিখ
Silver cross necklace##person,tennis racket	সিলভার ক্রস নেকলেস
block of snow on a hill##person,person,person,person,person,skis,person,skis,skis,kite	একটি পাহাড়ে তুষার ব্লক
a red and white county fair tent##person,skateboard,person,person,person,person,person,person,person,person	একটি লাল এবং সাদা কাউন্টি ফর্সা তাঁবু
long fine whiskers on a cat##cat,fork	একটি বিড়াল উপর দীর্ঘ সূক্ষ্ম ফিসফিসার
man in a white hat on the tennis court##person,tennis racket,person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	টেনিস কোর্টে একটি সাদা টুপি লোক
a man in a yellow t-shirt sitting cross-legged##person,person,person,person,person,umbrella,person,person,person,person	হলুদ টি-শার্টের এক লোক ক্রস লেগে বসে আছে
long single block in row##banana	সারিবদ্ধ দীর্ঘ একক ব্লক
Two fine drinking glasses##person,wine glass,person,person,wine glass,wine glass,person,wine glass,wine glass,bottle	দুটো সূক্ষ্ম মদ্যপান
green baseball field with players on it##person,person,person,baseball bat,baseball bat,cell phone,cell phone,person	গ্রিন বেসবল মাঠে এটি খেলোয়াড়দের সাথে
Man stand in crane##traffic light,traffic light,truck,truck,car,car,car,car,car,car	মানুষ ক্রেনে দাঁড়িয়ে আছে
The characters 9F on the side of a plane##airplane	একটি বিমানের পাশে 9F অক্ষর
English city bus on the road##bus	রাস্তায় ইংলিশ সিটি বাস
the date is probably somehow, somewhat primitively digitally conveyed##clock,potted plant	তারিখটি সম্ভবত একরকম, কিছুটা প্রাথমিকভাবে ডিজিটালভাবে জানানো হয়েছে
blue plastic hot dog stand##fork,bottle,cup,cup,knife,dining table,hot dog,fork,cake,pizza	নীল প্লাস্টিকের হট ডগ স্ট্যান্ড
A dirty white dish towel with red cross stripes##oven,laptop,bottle,refrigerator,cup,bottle	রেড ক্রস স্ট্রাইপযুক্ত একটি নোংরা সাদা ডিশ তোয়ালে
Two baseball players talking to each other##person,person,person,person,person,sports ball,baseball bat,baseball bat,chair,chair	দুই বেসবল খেলোয়াড় একে অপরের সাথে কথা বলছে
long net across the court##person,person,sports ball,person,person,person,tennis racket	কোর্ট জুড়ে দীর্ঘ নেট
a person cross country skiing in the background##person,person,person,skis,person,person,person,skis,person,car	একজন ব্যক্তি পটভূমিতে দেশ স্কিইং ক্রস করে
baseball players on field##person,person,person,person,sports ball,baseball glove,person,person,baseball glove,baseball glove	মাঠে বেসবল খেলোয়াড়
Yellow and black pole with a yellow cross.##train,person,train,traffic light,traffic light,traffic light,traffic light,train,train,train	একটি হলুদ ক্রস সহ হলুদ এবং কালো পোল।
A white box with a red cross.##toilet,sink,hair drier,cup	একটি লাল ক্রসযুক্ত একটি সাদা বাক্স।
Bread dough cross hatched design##oven,person,person,knife	রুটি ময়দার ক্রস হ্যাচড ডিজাইন
White boundary lines on the tennis court.##person,tennis racket	টেনিস কোর্টে সাদা সীমানা লাইন।
waves forms behind the boat##boat,person,person,person,person,person	তরঙ্গ নৌকা পিছনে ফর্ম
second floor balcony##car	দ্বিতীয় তল বারান্দা
fast food hot dogs and onion rings##person,hot dog,hot dog,cup,donut,dining table,donut,bowl	ফাস্ট ফুড হট কুকুর এবং পেঁয়াজ রিং
Time date stamp is bottom right##airplane,airplane,boat,airplane,boat	সময় তারিখ স্ট্যাম্প নীচে ডান
12/22/2006 date stamp##person,book,book,book,book,book,book,chair,book,book	12/22/2006 তারিখ স্ট্যাম্প
fine grey gravel under players' legs##person,frisbee,person	খেলোয়াড়দের পায়ের নীচে জরিমানা ধূসর কঙ্কর
lamp stand light##bed,book,clock,book	বাতি স্ট্যান্ড আলো
a professional tennis court##person,tennis racket,sports ball	একটি পেশাদার টেনিস কোর্ট
Tall date palm##clock	লম্বা খেজুর
Dresser with dinosaur models on top##bed,potted plant,couch,clock	শীর্ষে ডাইনোসর মডেল সহ ড্র্রেসার
top of tennis court##tennis racket,person,person,tennis racket,chair	টেনিস কোর্ট শীর্ষ
Woman dressed as a maiden at the fair##person,person,horse,horse,person,person,person,person,person,person	মেলায় প্রথম মেয়েটির পোশাক পরা মহিলা
characters apart on stage set##tv,person,remote,person,person,person,person,handbag,book,person	মঞ্চে সেট অক্ষর পৃথক
Chinese characters on the back of the truck##car,truck,car,motorcycle,car,bus,person,car,traffic light,traffic light	ট্রাকের পেছনে চীনা অক্ষর
fast blue and white train##person,train,tv,suitcase,handbag,person,person,car	দ্রুত নীল এবং সাদা ট্রেন
players name on his shirt##person,person,person,baseball glove,person,person,baseball bat,baseball bat,person	তার শার্টে খেলোয়াড়দের নাম
College baseball players on the field.##person,person,person,person,baseball glove,person,person,person,person,person	মাঠে কলেজ বেসবল খেলোয়াড়।
blue court on the ground##person,sports ball,tennis racket	মাটিতে নীল কোর্ট
Two toasted English muffins on a plate.##bottle,cup,dining table,person,person,cup,cup,refrigerator,person,cup	একটি প্লেটে দুটি টোস্টেড ইংলিশ মাফিনস।
Bag on the cement block##bottle,sink	সিমেন্ট ব্লকে ব্যাগ
flower on ice block##teddy bear,oven,person,train	আইস ব্লকে ফুল
yellow tennis balls on court##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	কোর্টে হলুদ টেনিস বল
A person waiting to cross the street##person,traffic light,traffic light,person,traffic light,car,car,potted plant,car,car	রাস্তা পার হওয়ার অপেক্ষায় থাকা এক ব্যক্তি
tan colored brick block wall##traffic light,person,person	ট্যান রঙিন ইট ব্লক প্রাচীর
A dark wooden cross with a small sign attached##stop sign,person,skateboard,dining table	একটি গাঢ় কাঠের ক্রস যার সাথে একটি ছোট চিহ্ন যুক্ত রয়েছে
A clock with cartoon characters on##person,person,person,person,clock,book,bird,book,book,book	কার্টুন চরিত্রগুলি সহ একটি ঘড়ি
rocky and rectangular block with openings on dirt##giraffe,giraffe,giraffe	ময়লা উপর খোলার সঙ্গে পাথুরে এবং আয়তক্ষেত্রাকার ব্লক
adult on a tennis court##person,person,person,tennis racket,person,person,tennis racket,person,person,person	টেনিস কোর্টে প্রাপ্তবয়স্ক
Knives in a wooden block on the countertop.##refrigerator,oven,bowl,dining table,knife,orange,fork,knife,knife,knife	কাউন্টারটপের একটি কাঠের ব্লকে ছুরিগুলি।
leg of the second person##person,bird,bird	দ্বিতীয় ব্যক্তির পা
awning for food stand##cup,person,person,umbrella,person,person,person,person,person,person	খাদ্য স্ট্যান্ড জন্য সজাগ
Knives in a wooden block behind the stove.##oven,knife,bottle,bottle,bottle,knife,bottle,bottle,microwave,knife	চুলার পিছনে কাঠের ব্লকে ছুরি।
a red newspaper stand##car,car,car,traffic light,car,car,car	একটি লাল সংবাদপত্র স্ট্যান্ড
Brown block and white house with pitched black roof.##bus,person,person,person,person,bus,person,person	কালো ছাদযুক্ত ব্রাউন ব্লক এবং সাদা ঘর।
The train is traveling in fair weather##train,person,person,traffic light,train,traffic light,traffic light,person,person	ট্রেনটি ন্যায্য আবহাওয়ায় ভ্রমণ করছে
fast food on white plate##cup,hot dog,oven,dining table	সাদা প্লেটে ফাস্টফুড
air forces flag##airplane,truck,airplane	বিমান বাহিনী পতাকা
some watery plant forms##elephant,person,person,person,bench	কিছু জলযুক্ত উদ্ভিদ ফর্ম
curves of forms worn over shoes on snowboard##person,person,snowboard,snowboard,skis,skis,snowboard,bicycle,skis	স্নোবোর্ডে জুতো পরে ফর্মের বক্ররেখা
woman sitting on a stone block##person,suitcase,person,person,person,suitcase,bench,remote,person	পাথরের ব্লকে বসে মহিলা 
black lamb second from right##person,sheep,person,tie,sheep,sheep,dog,sheep,dog,dog	ডান থেকে দ্বিতীয় মেষশাবক
blue wall of the court##person,tennis racket	কোর্টের নীল প্রাচীর
a wood night stand.##bed,bed	একটি কাঠ নাইট স্ট্যান্ড
the wall is cement block##train,person	প্রাচীর সিমেন্ট ব্লক
the court is dark blue##person,tennis racket,person,person,person,person,person	কোর্ট গাঢ় নীল
The man's black shadow on the court##person,person,tennis racket,tennis racket,person,person,sports ball,person,person,person	কোর্টে লোকটির কালো ছায়া
Woman standing on tennis court##person,tennis racket	টেনিস কোর্টে দাঁড়িয়ে মহিলা
a music stand on a curb##stop sign,person,person,car,person,person	একটি সংকোচনের উপর একটি সঙ্গীত স্ট্যান্ড
a weed growing up from the tennis court##person,sports ball,tennis racket,car	টেনিস কোর্ট থেকে আগাছা বাড়ছে
The military plane has a cross on the tail.##airplane	সামরিক বিমানের লেজটিতে একটি ক্রস রয়েছে।
small food press on stove##donut,oven,pizza,donut,oven,cake,hot dog	চুলায় ছোট খাবার প্রেস
two bicyclists waiting to cross intersection##bicycle,traffic light,traffic light,person,traffic light,traffic light,car,traffic light,person,person	চৌরাস্তা পার হওয়ার অপেক্ষায় দুজন সাইকেল চালক
cross nailed to a wall##person,person,tie,teddy bear,tie	ক্রস একটি প্রাচীরে গাঁথা
Wooden butcher block on kitchen sink.##oven,oven,sink,oven,oven,oven,bench	রান্নাঘরের বেসিন এর উপর কাঠের বুচার ব্লক
three black Japanese characters##airplane	তিনটি কালো জাপানি অক্ষর
microphone on angled stand##person,person,person,person,person,person,person,person,tie,person	কোণযুক্ত স্ট্যান্ডে মাইক্রোফোন
Look of concentration on game players face##person,person,remote,remote,remote,remote,couch,couch,chair,chair	গেম খেলোয়াড়দের মুখের প্রতি একাগ্রতার চেহারা
blue cross on front of car##teddy bear,person,teddy bear,car,teddy bear,teddy bear,bicycle	গাড়ির সামনে নীল ক্রস
the blue painted do not cross line on the train platform##train,train,person,person,person,person,person	নীল রঙে আঁকা ট্রেনের প্ল্যাটফর্মে লাইনটি অতিক্রম করে না
tennis match in progress on outdoor court##person,person,tennis racket	আউটডোর কোর্টে টেনিস ম্যাচ চলছে
Two men on a tennis court playing tennis##person,person,tennis racket,tennis racket,tennis racket,sports ball	টেনিস খেলতে টেনিস কোর্টে দুজন লোক
wood block of knives##bottle,wine glass,knife,knife,vase,microwave,wine glass,knife,person,remote	ছুরির কাঠের ব্লক
A block of brown stones.##person,car,car,car,car,car,car,car,car,car	বাদামী পাথর একটি ব্লক।
players' names in black on yellow background##person,person,sports ball,person,tennis racket,chair,tennis racket	হলুদ পটভূমিতে কালো রঙের প্লেয়ারদের নাম
an off white set of box springs##person,bed,teddy bear,bottle,chair	বক্স স্প্রিংস একটি সাদা সাদা সেট
Blue characters on a white background##laptop,book,book,cell phone,book,dining table	একটি সাদা পটভূমিতে নীল অক্ষর
TV on the stand.##person,person,chair,book,book,book,book,bottle,book,book	স্ট্যান্ডে টিভি।
Yellow ball on the court.##person,person,person,person,person,person,tennis racket,sports ball,tennis racket,tennis racket	কোর্টে হলুদ বল।
Electrical wire stand##traffic light,traffic light,traffic light,stop sign,traffic light,traffic light,kite	বৈদ্যুতিক তারের স্ট্যান্ড
cross made of stone##person,person,person,bird,dining table,person,person,person,person,bird	পাথরের তৈরি ক্রস
The traffic light has a red cross.##person,traffic light,train,person,person,person,person,person,person,person	ট্র্যাফিক লাইটের একটি রেড ক্রস রয়েছে।
ball on a tennis court##person,sports ball,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	টেনিস কোর্টে বল
cross walk area painted on the street##traffic light,car,fire hydrant,traffic light	রাস্তায় আঁকা ক্রস ওয়াক এরিয়া
Brown stand holding bananas.##banana,banana,banana,banana,banana,banana,banana,banana,banana,banana	কলা বাদামী স্ট্যান্ড।
the line that shows foul or fair##person,person,baseball bat,baseball glove,person,person,person,person,person,person	লাইনটি অশ্লীল বা ফর্সা দেখায়
Knob above knife block##person,oven,cup,tie,microwave,dining table,oven,knife,bowl,oven	ছুরি ব্লক উপরে গিঁট
A time stamp on a video.##person,backpack,cell phone,backpack,bench,handbag,bench,potted plant	একটি ভিডিওতে টাইম স্ট্যাম্প।
a clock on a glass stand##person,person,person,person,clock,person,person,person,person,person	কাচের স্ট্যান্ডের একটি ঘড়ি
One person on the court##person,tennis racket,chair,person,person,person,person,person,person,person	কোর্টে একজন ব্যক্তি
Road block submerged by water##	জলে নিমজ্জিত রোড ব্লক
tennis court floor is blue##person,tennis racket,person,person	টেনিস কোর্ট ফ্লোর নীল
baseball players signing autographs##person,person,person,baseball glove,baseball glove,cell phone,person,potted plant,cell phone,person	বেসবল খেলোয়াড় অটোগ্রাফ স্বাক্ষর
fine metal safety netting##person,person,person,person,bench,baseball glove,person,person,baseball glove,person	সূক্ষ্ম ধাতু সুরক্ষা জাল
An audience witnessing a press conference##person,person,tv,person,tv,tv,person,laptop,person,tv	এক সংবাদ সম্মেলনের সাক্ষী শ্রোতা
players in team dugout##person,person,person,baseball bat,baseball glove,person,chair,chair,person,person	টীম ডাগআউট এ খেলোয়াড়রা
white frisbee in players hands##frisbee,person,person,person,person,umbrella	খেলোয়াড়দের হাতে সাদা ফ্রিসবি
time and date stamp##car,car,car,car,truck,car,car,truck,truck	সময় এবং তারিখ স্ট্যাম্প
A TV stand##tv,couch,chair,vase,bench,book,book,book,book,potted plant	একটি টিভি স্ট্যান্ড
The time stamp display window on the meter on the left.##parking meter,parking meter,person,person	বামদিকে মিটারে সময় স্ট্যাম্প প্রদর্শন উইন্ডো।
a wooden block of knives##knife,knife,knife,knife,knife,bowl,bowl,spoon,bowl,knife	ছুরি একটি কাঠের ব্লক
a second story railing##truck,chair,person	একটি দ্বিতীয় গল্প রেলিং
This is a picture of Chinese characters##person,person,person	এটি চাইনিজ চরিত্রগুলির একটি ছবি
fast super jet hovers in the sky##airplane	দ্রুত সুপার জেট আকাশে ঘোরাফেরা করে
the players are moving##person,person,person,person,person,person,baseball glove,backpack,sports ball,baseball glove	খেলোয়াড়রা চলাফেরা করছে
two guys in the background are observing the movements of the players##person,person,person,person,person,person,person,person,person,person	পটভূমির দু'জন খেলোয়াড় খেলোয়াড়দের চলন পর্যবেক্ষণ করছে 
Curled metal legs on a candle stand##person,person,bed,person,bowl	একটি মোমবাতি স্ট্যান্ডের উপর কার্ল ধাতব পা
two players watching the batter##person,person,person,baseball glove,person,person,person,baseball bat,person,person	দুই খেলোয়াড় ব্যাটার দেখছেন
fine white spray against nose of craft##boat,surfboard	নৈপুণ্যের নাকের বিরুদ্ধে সূক্ষ্ম সাদা স্প্রে
Brown tennis court floor##person,person,tennis racket,chair,chair,person,person,sports ball,person,person	ব্রাউন টেনিস কোর্ট ফ্লোর
cross on top of church##person,bench,bench,person,chair,car	গির্জার উপরে ক্রস
copyright and date##bench,bench,bench,bench,bench	কপিরাইট এবং তারিখ
A sign for the 550 west block of Bliss Ct.##	ব্লিস সিটি-এর 550 পশ্চিম ব্লকের জন্য একটি চিহ্ন।
Opponent Reaching Out to block##person,person,frisbee,person,person,person,person,person,person,person	প্রতিপক্ষ ব্লক করতে পৌঁছেছে
Laptop on a stand##keyboard,laptop,mouse,cup,cup,person,tv,chair,person,tv	একটি স্ট্যান্ডে ল্যাপটপ
a wooden block sitting on the table##person,person,dining table,vase,bowl,book,bottle	টেবিলের উপর বসে একটি কাঠের ব্লক
Part of the tennis court is green.##person,tennis racket,sports ball	টেনিস কোর্টের কিছু অংশ সবুজ।
two players in orange and white sitting on sidelines##person,person,person,person,person,person,person,person,person,person	কমলা এবং সাদা দুই খেলোয়াড় সাইড লাইনে বসে on
date stamp of photo##cat,bowl,bowl,refrigerator	ছবির তারিখ স্ট্যাম্প
a pole of a lamp stand##potted plant,clock	একটি বাতি স্ট্যান্ডের একটি খুঁটি
the door of second floor is brown##car,car,car,car,motorcycle,motorcycle,car,car,car,car	দ্বিতীয় তলার দরজাটি বাদামী
Front wheel on second white truck.##stop sign,truck,car,potted plant	দ্বিতীয় সাদা ট্রাকে সম্মুখ চাকা।
the second gold horse##horse,horse,horse,horse,umbrella,person,person,person	দ্বিতীয় সোনার ঘোড়া
A small grey block on the median##clock,clock,bench,potted plant,fire hydrant	মিডিয়ানের উপর একটি ছোট ধূসর ব্লক
Woman on a tennis court##person,tennis racket,sports ball	টেনিস কোর্টে মহিলা
red characters on top of blue building##	নীল ভবনের উপরে লাল অক্ষর
the collar decoration of a fair isle type sweater##person,person,person,cake,dining table,chair,dining table,chair,person,cup	ফেয়ার আইল টাইপের সোয়েটারের কলার সজ্জা
Woman wearing a cross on her neck##person,person,person,person,wine glass,wine glass,wine glass,person,wine glass,chair	গলায় ক্রস পরা মহিলা
a colorful display lighted characters##clock,car,person,person,horse,person,person,person	একটি বর্ণময় প্রদর্শন আলোকিত অক্ষর
The second train car##train,train	দ্বিতীয় ট্রেনের গাড়ি
