en	ml
this wall forms a stall##person,person,person,person,person,person,person,person,person,banana	ഈ മതിൽ ഒരു സ്റ്റാളായി മാറുന്നു
green grass behind players##person,tennis racket,person,person,person	കളിക്കാർക്ക് പിന്നിൽ പച്ച പുല്ല്
Grate over a concrete block##clock,person,person,person,person,person,person	ഒരു കോൺക്രീറ്റ് ബ്ലോക്കിന് മുകളിൽ ഗ്രേറ്റ്
the Asian characters are red##clock	ഏഷ്യൻ പ്രതീകങ്ങൾ ചുവപ്പാണ്
an english muffin sandwich##person,person,dog,frisbee,potted plant,clock	ഒരു ഇംഗ്ലീഷ് മഫിൻ സാൻഡ്‌വിച്ച്
players in dirt circle##person,tennis racket	അഴുക്ക് സർക്കിളിലെ കളിക്കാർ
the wall is cement block##bench,bench,bench,person,bench,bench,bench,chair,bench,chair	മതിൽ സിമന്റ് ബ്ലോക്കാണ്
a layer of fine sweet chocolate##tv,person,book,book,book,book,book,book,book,book	മനോഹരമായ മധുരമുള്ള ചോക്ലേറ്റ് പാളി
rapid in fast water##person	വേഗത്തിലുള്ള വെള്ളം ദ്രുതഗതിയിൽ
date when taken in yellow##cup,dining table,chair,sandwich,sandwich,dining table,cup	മഞ്ഞനിറത്തിൽ എടുത്ത തീയതി
block of snow on a hill##tv,bed,chair,potted plant,dining table,chair,bed,oven,dining table,dining table	ഒരു കുന്നിലെ മഞ്ഞിന്റെ ബ്ലോക്ക്
The time stamp display window on the meter on the left.##tv,chair,bottle,chair,bed,chair,chair,bottle,chair,bottle	ഇടതുവശത്തുള്ള മീറ്ററിലെ ടൈം സ്റ്റാമ്പ് ഡിസ്പ്ലേ വിൻഡോ.
blue net around tennis court##bicycle,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,car,traffic light	ടെന്നീസ് കോർട്ടിന് ചുറ്റും നീല വല
fast train moving along track##person,surfboard	വേഗത്തിലുള്ള ട്രെയിൻ ട്രാക്കിലൂടെ നീങ്ങുന്നു
box springs under a bed##person,bottle,bowl,sink,knife,knife,bottle,spoon,cup,bottle	ഒരു കട്ടിലിനടിയിൽ സ്പ്രിങ്ങുകൾ
Large tv on black stand.##kite,kite,kite,kite,person,kite,person,person,person,person	കറുത്ത സ്റ്റാൻഡിൽ വലിയ ടിവി.
date stamp in the corner##apple,apple,apple,person,apple,apple,apple,apple,apple,apple	മൂലയിലെ തീയതി സ്റ്റാമ്പ്
fading on the court##person,person,person,person,person,handbag,orange,person,person,orange	കോർട്ടിലെ മങ്ങൽ
concrete or cinder block walls##tv,remote,remote,person,person,person,book,keyboard,book,person	കോൺക്രീറ്റ് അല്ലെങ്കിൽ സിൻഡർ ബ്ലോക്ക് മതിലുകൾ
person in black with a camera at the side of the court##laptop,bottle,cell phone,bottle,mouse,book,cell phone,book,book,book	കളിസ്ഥലത്തിന്റെ ഒരു വശത്ത് ക്യാമറയുള്ള കറുത്ത വ്യക്തി
Some traffic is moving very fast##laptop,person,person,laptop,potted plant,person,vase,chair,cup,couch	ചില ട്രാഫിക് വളരെ വേഗത്തിൽ നീങ്ങുന്നു
Two men on a tennis court playing tennis##person,tie,book,tie	ടെന്നീസ് കോർട്ടിൽ രണ്ടുപേർ ടെന്നീസ് കളിക്കുന്നു
poles that block entrance by large vehicles##bus,traffic light,traffic light,bus,bus,person,person,person,person,car	വലിയ വാഹനങ്ങളുടെ പ്രവേശനം തടയുന്ന പോളുകൾ
The stand in the background with products the color white.##person,person,person,person,banana,banana,person,person,banana,banana	ഉൽപ്പന്നങ്ങളുടെ വർണ്ണത്തിന്റെ പശ്ചാത്തലത്തിലുള്ള സ്റ്റാൻഡ്
unfinished wood block under freezer##person,sports ball,person,person,sports ball,sports ball,person,sports ball,person,person	ഫ്രീസറിനു കീഴിലുള്ള പൂർത്തിയാകാത്ത മരം ബ്ലോക്ക്
a date stamp for 2010/02/07##person,tennis racket	2010/02/07 ലെ തീയതി സ്റ്റാമ്പ്
the banana hanging from the stand##motorcycle,person,person	വാഴപ്പഴം സ്റ്റാൻഡിൽ തൂക്കിയിരിക്കുന്നു
People on the court playing tennis.##person,baseball bat,sports ball,backpack,chair	കോർട്ടിൽ ആളുകൾ ടെന്നീസ് കളിക്കുന്നു.
three baseball players standing in a row##person,tie,person,person,person,person,tie,person,person,person	മൂന്ന് ബേസ്ബോൾ കളിക്കാർ വരിയിൽ നിൽക്കുന്നു
the date stamp in the corner of the pic##car,car,car,truck,truck,car,car,traffic light,traffic light,truck	ചിത്രത്തിന്റെ കോണിലുള്ള തീയതി സ്റ്റാമ്പ്
the fence covered in netting at the end of the court##motorcycle,person,car	കോർട്ടിന്റെ അവസാനം വലയിൽ പൊതിഞ്ഞ വേലി
a very fast baseball##person,person,person,sports ball,person,person,car	വളരെ വേഗതയുള്ള ബേസ്ബോൾ
big hairy fair laps##bottle,wine glass,person,bottle,person,dining table,person	വലിയ രോമമുള്ള ഫെയർ ലാപ്‌സ്
Knives in a wooden block on the countertop.##person,tennis racket,person,chair,person,person,person,person,person,person	കൗണ്ടർ‌ടോപ്പിലെ ഒരു വുഡൻ ബ്ലോക്കിലെ കത്തികൾ.
an off white set of box springs##truck,truck,person,truck,truck,truck,truck,person,truck,person	വെളുത്ത നിറത്തിലുള്ള ബോക്സ്
a knife block on the shelf##toilet,skateboard	അലമാരയിലെ ഒരു കത്തി ബ്ലോക്ക്
a business man waiting to cross the street##cat,couch	തെരുവ് മുറിച്ചുകടക്കാൻ കാത്തിരിക്കുന്ന ഒരു ബിസ്സിനസ്സുകാരൻ
blue plastic hot dog stand##person,person,person,tennis racket,person,person,person,person,person,person	നീല പ്ലാസ്റ്റിക് ഹോട്ട് ഡോഗ് സ്റ്റാൻഡ്
large green and purple tennis court##surfboard,surfboard,surfboard,surfboard,surfboard,surfboard,skateboard,skateboard	വലിയ പച്ചയും, പർപ്പിളും ഉള്ള ടെന്നീസ് കോർട്ട്
ink stamp print##donut,donut,donut,donut,donut,donut,person,donut,donut	മഷി സ്റ്റാമ്പ് പ്രിന്റ്
chain-linked fence behind players##traffic light,clock	കളിക്കാർക്ക് പിന്നിൽ ചങ്ങല വേലി
A clock with cartoon characters on##clock,horse,horse	കാർട്ടൂൺ പ്രതീകങ്ങളുള്ള ഒരു ക്ലോക്ക്
Dirt is on the baseball players outfit##horse,bear	ബേസ്ബോൾ കളിക്കാരുടെ വസ്ത്രത്തിലാണ് അഴുക്ക്
grey characters on a sign##person,tennis racket	ഒരു ചിഹ്നത്തിലെ ചാരനിറത്തിലുള്ള പ്രതീകങ്ങൾ
players are playing baseball.##airplane,person,airplane	കളിക്കാർ ബേസ്ബോൾ കളിക്കുന്നു.
block for bench feet##person,person,person,person,cell phone,cup	ബെഞ്ച് ഫീറ്റിനായുള്ള ബ്ലോക്കുകൾ
cross structures for bridge support##airplane	ബ്രിഡ്ജ് പിന്തുണയ്ക്കുള്ള ക്രോസ്സ് സ്ട്രക്ചറുകൾ
A small wave forms on the water.##horse,horse,banana,cow,bird,horse	ഒരു ചെറിയ തരംഗം വെള്ളത്തിൽ രൂപം കൊള്ളുന്നു.
white forms on a keyboard##pizza,knife,pizza,pizza,pizza,pizza,person,pizza,pizza,pizza	ഒരു കീബോർഡിൽ വെളുത്ത ഫോമുകൾ
knife on the chopping block##cup,cup,chair,umbrella,chair,dining table,umbrella,spoon,chair,spoon	ചോപ്പിംഗ് ബ്ലോക്കിലെ കത്തി
Black block with number on it##giraffe	നമ്പറുള്ള കറുത്ത ബ്ലോക്ക്
Two press buttons of the sweater##person,tennis racket,person,bicycle	സ്വെറ്ററിന്റെ രണ്ട് പ്രസ്സ് ബട്ടണുകൾ
Screen of second laptop on desk##person,dining table,tie,bottle,book,sports ball	ഡെസ്‌കിലെ രണ്ടാമത്തെ ലാപ്‌ടോപ്പിന്റെ സ്‌ക്രീൻ
date in red letters and numerals##person,person,person,person,tennis racket,tennis racket,tennis racket,tennis racket,car,car	ചുവന്ന അക്ഷരങ്ങളിലും അക്കങ്ങളിലും ഉള്ള തീയതി
a block, yellow, and white baseball uniform##tv,cup,potted plant,vase,person,skateboard,book,bowl,vase,book	ഒരു ബ്ലോക്ക്, മഞ്ഞ, വെള്ള ബേസ്ബോൾ യൂണിഫോം
A tin container decorated with Star Wars characters and themes##chair,cup,tv,book,mouse,dining table,book,dining table,dining table,dining table	സ്റ്റാർ വാർസ് പ്രതീകങ്ങളും തീമുകളും കൊണ്ട് അലങ്കരിച്ച ഒരു ടിൻ കണ്ടെയ്നർ
characters are posted in Chinese##person,person,tennis racket,tennis racket	പ്രതീകങ്ങൾ ചൈനീസ് ഭാഷയിൽ പോസ്റ്റുചെയ്‌തു
woman in back of a court##clock,clock	ഒരു കോർട്ടിന്റെ പിന്നിലുള്ള സ്ത്രീ
a romantic date night##person,person,person,person,person,person,sports ball,person,person,person	ഒരു റൊമാന്റിക് ഡേറ്റ് രാത്രി
A skier going down fast on a slope##car,car,motorcycle	ഒരു ചരി വിൽ വേഗത്തിൽ താഴേക്ക് പോകുന്ന ഒരു സ്കയർ
Two tennis players standing together##bed,chair,book,dining table,laptop,book	രണ്ട് ടെന്നീസ് കളിക്കാർ ഒരുമിച്ച് നിൽക്കുന്നു
One person on the court##	കളിസ്ഥലത്തു ഒരാൾ
Brown tennis court with white lines.##cup,cup,cup,cup,bowl,dining table,chair,cup,cup,cup	വെളുത്ത വരകളുള്ള ബ്രൗണ് ടെന്നീസ് കോർട്ട്.
two players in orange and white sitting on sidelines##person,person,chair,tennis racket,person,sports ball,person,chair,cup,bench	ഓറഞ്ച്, വൈറ്റ് നിറങ്ങളിലുള്ള രണ്ട് കളിക്കാർ വശങ്ങളിലായി ഇരിക്കുന്നു
A person below the date##person,person,cake,person,cake,dining table,cake,chair,person	തീയതിക്ക് താഴെയുള്ള ഒരു വ്യക്തി
english muffin with egg and hollandaise##banana,sandwich,dining table	മുട്ടയും ഹോളണ്ടൈസും ഉള്ള ഇംഗ്ലീഷ് മഫിൻ
silver and black French press coffee pot##person,person,person,person,chair,tennis racket,tennis racket,chair,person,person	വെള്ളിയും, കറുപ്പും ഫ്രഞ്ച് പ്രസ്സ് കോഫി പോട്ട്
a motorcycle side stand##person,car,cell phone,bus,truck,car	ഒരു മോട്ടോർസൈക്കിൾ സൈഡ് സ്റ്റാൻഡ്
wood cross##chair,chair,chair,book,bench,book,book,book,book,book	മരം കുരിശ്
a blue and white cross walk sign##person,person,tv,person,person,person,person,cell phone,person	നീലയും വെള്ളയും ക്രോസ് വാക്ക് ചിഹ്നം
section of fine gray sand##person,tennis racket,person	ചാരനിറത്തിലുള്ള മണലിന്റെ ഭാഗം
a wooden block of knives##person,person,person,chair,tennis racket,tennis racket,person,sports ball,tennis racket	കത്തികളുടെ തടി
fast food chicken patty##vase,bed,bed,couch,couch,cell phone,cell phone,bowl	ഫാസ്റ്റ് ഫുഡ് ചിക്കൻ പാറ്റി
A motorcyclist driving very fast##person,skateboard,person,person,person,person,train,person,person	ഒരു മോട്ടോർ സൈക്കിൾ യാത്രക്കാരൻ വളരെ വേഗത്തിൽ ഓടിക്കുന്നു
stone block building side##stop sign,car,car,car,car,car,car,car,truck	കല്ല് കൊണ്ട് നിർമിതമായ കെട്ടിടം
Number of court on the wall.##	ചുമരിലെ കോർട്ടിന്റെ എണ്ണം.
logo stamp on the door##person,refrigerator,bottle,bottle,banana	വാതിലിലെ ലോഗോ സ്റ്റാമ്പ്
tennis court in bounds area for doubles play##person,person,tennis racket,sports ball,sports ball,tennis racket	ടെന്നീസ് കോർട്ടിലെ ഡബിൾസ് കളിക്കാനായിട്ടുള്ള ബൌഡറി ഏരിയ
fine white spray against nose of craft##person,umbrella,person,person,boat,umbrella,person,person	കരകൗശലത്തിന്റെ മൂക്കിന് നേരെ വെളുത്ത സ്പ്രേ
box springs with flower print##horse,horse,horse	പുഷ്പ പ്രിന്റുള്ള ബോക്സ് സ്പ്രിങ്ങുകൾ
White boundary lines on the tennis court.##person,skis	ടെന്നീസ് കോർട്ടിൽ വെളുത്ത അതിർത്തി ലൈനുകൾ.
block behind the woman##person,person,person,person,tennis racket,tennis racket,bottle,sports ball,person,sports ball	സ്ത്രീയുടെ പിന്നിൽ ബ്ലോക്ക്
A grey rock wall forms a boundary of the enclosure##person,person,person,person,car,car,umbrella,person,umbrella,traffic light	ചാരനിറത്തിലുള്ള ഒരു പാറ മതിൽ ചുറ്റുമതിലിന്റെ അതിർത്തിയായി മാറുന്നു
the sign has white characters##oven,refrigerator,microwave,cup,spoon,spoon	ചിഹ്നത്തിൽ വെളുത്ത പ്രതീകങ്ങളുണ്ട്
a white line a cross the field##person,person,truck,person,car,motorcycle,truck,truck,chair	ഫീൽഡിനു കുറുകെ ഒരു വെളുത്ത വര
the judge's chair by the court##person,person,person,person,baseball bat,person,person,person,chair,person	കളിസ്ഥലത്തു വിധികർത്താവിന്റെ കസേര
An electronic display showing the date##tv,suitcase	തീയതി കാണിക്കുന്ന ഒരു ഇലക്ട്രോണിക് ഡിസ്പ്ലേ
window planters outside second story##bus,dining table,dining table,chair,chair,chair,chair,chair,person,dining table	രണ്ടാമത്തെ നിലക്ക് പുറത്തുള്ള ജനാല ഉദ്യാനം
Windows logo stamp on laptop.##person,person,person,person,person,person,person,skis,skis,skis	ലാപ്‌ടോപ്പിൽ വിൻഡോസ് ലോഗോ സ്റ്റാമ്പ്.
The characters 9F on the side of a plane##person,tennis racket	ഒരു വിമാനത്തിന്റെ വശത്തുള്ള 9 എഫ് പ്രതീകങ്ങൾ
A second sandwich on a wrapper.##person,person,person,baseball bat,person,person,baseball glove,person,sports ball,person	ഒരു റാപ്പറിൽ രണ്ടാമത്തെ സാൻഡ്‌വിച്ച്.
tennis court marked with white color##car,donut,person,person,person,cake,car,person,person,person	വെളുത്ത നിറത്തിൽ അടയാളപ്പെടുത്തിയ ടെന്നീസ് കോർട്ട്
women waiting to cross##laptop,tv,keyboard,mouse,chair,keyboard,spoon,person	കടക്കാൻ കാത്തിരിക്കുന്ന സ്ത്രീകൾ
fast food in the backgrond##person,person,bottle,person,person,person,person,person,person,person	ബാക്ക്ഗ്രൗണ്ടിലെ ഫാസ്റ്റ് ഫുഡ്
foreign characters on the vehicle's side##motorcycle,person,handbag,person,person,person,person,handbag,truck,person	വാഹനത്തിന്റെ വശത്തുള്ള വിദേശ പ്രതീകങ്ങൾ
Blue garbage can on second floor.##teddy bear,skis,kite	രണ്ടാം നിലയിൽ നീല ചവറ്റുകുട്ട.
large patch of grass next to fast food restaurant##person,boat,boat,boat,boat,potted plant,person,boat,boat,boat	ഫാസ്റ്റ്ഫുഡ് റെസ്റ്റോറന്റിന് അടുത്തുള്ള വലിയ പറമ്പ്
white Asian language characters painted on middle of street##person,person,person,person,person,person,person,bus,umbrella,motorcycle	തെരുവിന്റെ മധ്യത്തിൽ വരച്ച വെളുത്ത ഏഷ്യൻ ഭാഷാ പ്രതീകങ്ങൾ
brown wooden stairs leading to second floor##person,bench,car,car,tennis racket,bench,sports ball,person,traffic light	രണ്ടാം നിലയിലേക്ക് നയിക്കുന്ന തവിട്ട് തടി പടികൾ
a green part of a tennis court.##person,tennis racket,sports ball,person	ടെന്നീസ് കോർട്ടിന്റെ ഒരു പച്ച ഭാഗം.
A man stand next to a jeep.##motorcycle,car,motorcycle,car,person,motorcycle,motorcycle,car,motorcycle,person	ഒരാൾ ജീപ്പിന്റെ അരികിൽ നിൽക്കുന്നു.
ginger with fair skin, orange hair, billions of freckles, and glasses##clock	ചുണയുള്ള വെളുത്ത നിറം, ഓറഞ്ച് മുടി, നിറയെ കാക്കപ്പുള്ളികലും കണ്ണാടിയും
black metal cross-walk light##person,sports ball,person,bench,person,bench	കറുത്ത മെറ്റൽ ക്രോസ്സ്-വാക്ക് ലൈറ്റ്
Oranges on a fruit stand##cell phone,mouse,person,person	ഫ്രൂട്ട് സ്റ്റാൻഡിലെ ഓറഞ്ച്
a man in front of a produce stand##person,sports ball,baseball bat,bench	ഒരു മനുഷ്യൻ കടയുടെ മുന്നിൽ നിൽക്കുന്നു
a green Christmas tree stand##toilet,boat	ഒരു പച്ച ക്രിസ്മസ് ട്രീ സ്റ്റാൻഡ്
books in a black stand##clock,traffic light,traffic light,car,traffic light,potted plant,car,traffic light,traffic light,traffic light	കറുത്ത സ്റ്റാന്റിലെ പുസ്തകങ്ങൾ
Red and white Stop sign with characters in a non-English language##person,person,tennis racket,tennis racket,bench,person,person	ഇംഗ്ലീഷ് ഇതര ഭാഷയിൽ ചുവപ്പും വെള്ളയും നിർത്തുക പ്രതീകങ്ങളുള്ള അടയാളം
a block lower half of a wall##person,motorcycle,car	ഒരു മതിലിന്റെ താഴത്തെ പകുതി
date and time of picture##horse,horse,horse,horse,horse,person,horse,person,horse,person	ചിത്രത്തിന്റെ തീയതിയും സമയവും
power lines cross in the air##person,person,person,person,person,tennis racket,tennis racket,person,tennis racket,tennis racket	വൈദ്യുതി ലൈനുകൾ വായുവിൽ കടന്നുപോകുന്നു
The items on the top shelf have painted characters on them##person,tennis racket,sports ball,potted plant,chair,chair,person	മുകളിലെ ഷെൽഫിലെ ഇനങ്ങളിൾ പ്രതീകങ്ങൾ വരച്ചിട്ടുണ്ട്
microphone on the court##truck,car,car,person	കോർട്ടിൽ മൈക്രോഫോൺ
second man looking over first's shoulder##person,tennis racket,tennis racket	ആദ്യ മനുഷ്യന്റെ തോളിൽ നോക്കുന്ന രണ്ടാമത്തെ മനുഷ്യൻ
thumb press into a doughnut##person,bus,person,person,person,person,person,person,person,person	ഒരു ഡോണറ്റിലേക്ക് തള്ളവിരൽ അമർത്തിയത്
name and date in the corner##train,train,person,bus,person,boat	മൂലയിലുള്ള പേരും തീയതിയും
a colorful display lighted characters##bear	വർണ്ണാഭമായ ഡിസ്‌പ്ലേ ലൈറ്റ് ചെയ്ത പ്രതീകങ്ങൾ
a block wall behind the man##person,person,person,person,person,person,tie,tie,person,person	മനുഷ്യന്റെ പുറകിൽ ഒരു മതിൽ
The speaker on the stand##person,tennis racket,person,person,tennis racket	സ്‌പീക്കർ സ്റ്റാൻഡിൽ നിൽക്കുന്നു
the time stamp sitting in the corner##person,person,person,cup,bottle,cell phone,bottle,dining table,cup,baseball bat	മൂലയിൽ ഇരിക്കുന്ന ടൈം സ്റ്റാമ്പ്
guy's hand trying to block the camera##traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light,traffic light	ക്യാമറ തടയാൻ ശ്രമിക്കുന്ന ആളുടെ കൈ
a cross sign on top of the tower##person,person,skis	ഗോപുരത്തിന് മുകളിൽ ഒരു ക്രോസ് ചിഹ്നം
train going by fast##person,tennis racket,sports ball	വേഗത്തിൽ പോകുന്ന ട്രെയിൻ
The white ice models in the room.##person,person,skis,skis	മുറിയിലെ വെളുത്ത ഐസ് മോഡലുകൾ.
black remote on the tv stand##sink,toilet	ടിവി സ്റ്റാൻഡിലെ കറുത്ത റിമോട്ട്
second hand on clock##clock	ക്ലോക്കിലെ മിനിറ്റ് സൂചി
a red sign advertising a fun fair##person,cup,vase,chair,cup,dining table,cup,bowl,cake,cup	രസകരമായ മേള പരസ്യം ചെയ്യുന്ന ചുവന്ന ചിഹ്നം
top glass block in wall##person,person,tie,person,car,car,tie,person,person,car	മതിലിലെ ടോപ്പ് ഗ്ലാസ് ബ്ലോക്ക്
green baseball field with players on it##airplane,airplane,airplane,airplane	പച്ച ബേസ്ബോൾ ഫീൽഡിൽ കളിക്കാർ
A large pipe extending from the wall of the court.##person,person,stop sign,bicycle,potted plant,potted plant,bench,parking meter	കോർട്ടിന്റെ മതിലിൽ നിന്ന് നീളുന്ന ഒരു വലിയ പൈപ്പ്.
a fine skateboard##person,person,person,person,chair,person,person,chair,person,person	ഒരു ഫൈൻ സ്കേറ്റ്ബോർഡ്
french press coffee maker on the table##person,person,kite,kite,kite	ഫ്രഞ്ച് പ്രസ്സ് കോഫി നിർമാതാവ് മേശപ്പുറത്ത്
fast moving ball towards home plate##person,tennis racket	ഹോം പ്ലേറ്റിലേക്ക് വേഗത്തിൽ നീങ്ങുന്ന പന്ത്
A stand with devices on it and wires behind it.##person,person,person,person,person,skis,person,skis,skis,kite	അതിൽ ഉപകരണങ്ങളും പിന്നിൽ വയറുകളുമുള്ള ഒരു തട്ട്
a a block in a wall##person,skateboard,person,person,person,person,person,person,person,person	ആ ഒരു ബ്ലോക്ക് ഉള്ള മതിൽ
fine china plate with gold rim##cat,fork	സ്വർണ്ണ വരയുള്ള ചൈന പ്ലേറ്റ്
the combs are fine##person,tennis racket,person,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	നല്ല ചീപ്പുകൾ
two players watching the batter##person,person,person,person,person,umbrella,person,person,person,person	രണ്ട് കളിക്കാർ ബാറ്റർ കാണുന്നു
Yellow criss cross on the street by train.##banana	ട്രെയിനിൽ നിന്ന് തെരുവിലേക്ക് മഞ്ഞ ക്രിസ്സ് ക്രോസ്.
time and date stamp on the photograph##person,wine glass,person,person,wine glass,wine glass,person,wine glass,wine glass,bottle	ഫോട്ടോയിലെ സമയവും തീയതിയും സ്റ്റാമ്പ്
black iron gate with white cross##person,person,person,baseball bat,baseball bat,cell phone,cell phone,person	വെളുത്ത കുരിശുള്ള കറുത്ത ഇരുമ്പ് ഗേറ്റ്
the white cross on the flag##traffic light,traffic light,truck,truck,car,car,car,car,car,car	പതാകയിലെ വെളുത്ത കുരിശ്
a pole of a lamp stand##airplane	വിളക്ക് സ്റ്റാന്റിന്റെ ഒരു പോൾ
neutral makeup on both rain models##bus	രണ്ട് മോഡലുകളിലും ന്യൂട്രൽ മേക്കപ്പ്
large green bench press on the table##clock,potted plant	വലിയ പച്ച ബെഞ്ച് പ്രസ്സ് മേശപ്പുറത്ത്
a red cross on the paper##fork,bottle,cup,cup,knife,dining table,hot dog,fork,cake,pizza	കടലാസിലെ ഒരു ചുവന്ന കുരിശ്
cartoon characters on the bottle##oven,laptop,bottle,refrigerator,cup,bottle	കുപ്പിയിലെ കാർട്ടൂൺ പ്രതീകങ്ങൾ
ridged metal pole stand to a large clock##person,person,person,person,person,sports ball,baseball bat,baseball bat,chair,chair	വരമ്പുകൾ ഉള്ള മെറ്റൽ പോൾ ഒരു വലിയ ക്ലോക്കിലേക്ക് നിൽക്കുന്നു
the second hand on the clock##person,person,sports ball,person,person,person,tennis racket	ക്ലോക്കിന്റെ രണ്ടാമത്തെ കൈ
red ground of a tennis court##person,person,person,skis,person,person,person,skis,person,car	ഒരു ടെന്നീസ് കോർട്ടിന്റെ ചുവന്ന നിലം
the players lean on the fence##person,person,person,person,sports ball,baseball glove,person,person,baseball glove,baseball glove	കളിക്കാർ വേലിയിൽ ചാഞ്ഞു നില്ക്കുന്നു
A small grey block on the median##train,person,train,traffic light,traffic light,traffic light,traffic light,train,train,train	മീഡിയനിലെ ഒരു ചെറിയ ചാരനിറത്തിലുള്ള ബ്ലോക്ക്
pole behind second baseman##toilet,sink,hair drier,cup	രണ്ടാമത്തെ ബേസ്മാന്റെ പിന്നിലുള്ള പോൾ
a plate with white characters##oven,person,person,knife	വെളുത്ത പ്രതീകങ്ങളുള്ള ഒരു പ്ലേറ്റ്
cross section of a broccoli stem##person,tennis racket	ഒരു ബ്രൊക്കോളി തണ്ടിന്റെ ക്രോസ്സ് സെക്ഷൻ
large date palm in the distance##boat,person,person,person,person,person	ദൂരത്തുള്ള വലിയ ഈന്തപ്പന
Three baseball players at first base##car	ആദ്യ അടിത്തട്ടിൽ മൂന്ന് ബേസ്ബോൾ കളിക്കാർ
hairy arm with fair pale skin##person,hot dog,hot dog,cup,donut,dining table,donut,bowl	രോമമുള്ള നേർത്ത ഇളം ചർമ്മο
Time and date stamp in corner##airplane,airplane,boat,airplane,boat	കോണിലുള്ള സമയവും തീയതിയും സ്റ്റാമ്പ്
stop sign in english and farsi##person,book,book,book,book,book,book,chair,book,book	ഇംഗ്ലീഷിലും ഫാർസിയിലും സ്റ്റോപ്പ് ചിഹ്നം
second story of house##person,frisbee,person	വീടിന്റെ രണ്ടാമത്തെ സ്റ്റോറി
The stand of the t.v.##bed,book,clock,book	ടിവിയുടെ സ്റ്റാന്റ്
bird second in line##person,tennis racket,sports ball	രണ്ടാം വരിയിലെ പക്ഷി
this couple is on a date##clock	ഈ ദമ്പതികൾ ഒരു ഡേറ്റിലാണ്
base ball opponent players##bed,potted plant,couch,clock	ബേസ് ബോൾ കളിക്കുന്ന എതിരാളി
Laptop on a stand##tennis racket,person,person,tennis racket,chair	ഒരു സ്റ്റാന്റിൽ ലാപ്‌ടോപ്പ്
Knives in a wooden block behind the stove.##person,person,horse,horse,person,person,person,person,person,person	സ്റ്റവ്വിന് പിന്നിലെ ഒരു വുഡൻ ബ്ലോക്കിലെ കത്തികൾ.
the bird is stand on a tree branch##tv,person,remote,person,person,person,person,handbag,book,person	പക്ഷി ഒരു മരക്കൊമ്പിൽ നിൽക്കുന്നു
A sideways rendered date stamp##car,truck,car,motorcycle,car,bus,person,car,traffic light,traffic light	ഒരു വശത്ത് റെൻഡർ ചെയ്ത തീയതി സ്റ്റാമ്പ്
fast pass tickets on bus window##person,train,tv,suitcase,handbag,person,person,car	ബസ്സ് വിൻഡോയിൽ ഫാസ്റ്റ് പാസ് ടിക്കറ്റുകൾ
stamp on boy's left hand##person,person,person,baseball glove,person,person,baseball bat,baseball bat,person	ആൺകുട്ടിയുടെ ഇടതു കൈയിലെ സ്റ്റാമ്പ്
a weed growing up from the tennis court##person,person,person,person,baseball glove,person,person,person,person,person	ടെന്നീസ് കോർട്ടിൽ വളരുന്ന ഒരു കള
Chinese characters on the window##person,sports ball,tennis racket	വിൻഡോയിലെ ചൈനീസ് പ്രതീകങ്ങൾ
long net across the court##bottle,cup,dining table,person,person,cup,cup,refrigerator,person,cup	കോർട്ടിന് കുറുകെ നീളമുള്ള വല
a block on the ground##bottle,sink	നിലത്ത് ഒരു ബ്ലോക്ക്
Man getting ready for a penalty kick##teddy bear,oven,person,train	മനുഷ്യൻ ഒരു പെനാൽറ്റി കിക്കിന് തയ്യാറാകുന്നു
base ball diamond with players##person,tennis racket,sports ball,sports ball,sports ball,sports ball,sports ball,sports ball	കളിക്കാർക്കൊപ്പം ബേസ് ബോൾ ഡയമണ്ട്
two long and narrow panes below cross bar##person,traffic light,traffic light,person,traffic light,car,car,potted plant,car,car	ക്രോസ് ബാറിന് താഴെ നീളമുള്ളതും ഇടുങ്ങിയതുമായ രണ്ട് പാളികൾ
Oriole on front of players hat##traffic light,person,person	കളിക്കാരന്റെ തൊപ്പിക്ക് മുന്നിൽ ഓറിയോൾ
a red cross decal##stop sign,person,skateboard,dining table	ഒരു ചുവന്ന ക്രോസ് ഡെക്കൽ
time and date stamp on the picture##person,person,person,person,clock,book,bird,book,book,book	ചിത്രത്തിലെ സമയവും തീയതിയും ഉള്ള സ്റ്റാമ്പ്
a green fence at a tennis court##giraffe,giraffe,giraffe	ഒരു ടെന്നീസ് കോർട്ടിലെ പച്ച വേലി
yellow sticker with asian characters##person,person,person,tennis racket,person,person,tennis racket,person,person,person	ഏഷ്യൻ പ്രതീകങ്ങളുള്ള മഞ്ഞ സ്റ്റിക്കർ
A large screen with information about the players.##refrigerator,oven,bowl,dining table,knife,orange,fork,knife,knife,knife	കളിക്കാരെക്കുറിച്ചുള്ള വിവരങ്ങളുള്ള ഒരു വലിയ സ്ക്രീൻ.
baseball players dressed in gray and orange##person,bird,bird	ഗ്രേ, ഓറഞ്ച് നിറത്തിലുള്ള ഡ്രസ്സ് ധരിച്ച ബേസ്ബോൾ കളിക്കാർ
sydney written in white letters on court##cup,person,person,umbrella,person,person,person,person,person,person	മൈതാനത്തു വെളുത്ത അക്ഷരങ്ങളിൽ എഴുതിയ സിഡ്നി
